Industry,RS_Rating
Coal,99.16666666666667
Oil & Gas Production,95.34375
Integrated Oil,94.0
Marine Shipping,89.91666666666667
Contract Drilling,87.16666666666667
Investment Trusts/Mutual Funds,86.66666666666667
Chemicals: Agricultural,84.2
Pharmaceuticals: Generic,84.0
Oil & Gas Pipelines,83.38461538461539
Computer Communications,83.16666666666667
Food Retail,78.57142857142857
Managed Health Care,77.66666666666667
Steel,77.16666666666667
Water Utilities,76.5
Services to the Health Industry,75.5
Precious Metals,74.33333333333333
Insurance Brokers/Services,71.25
Other Metals/Minerals,70.44444444444444
Railroads,70.33333333333333
Home Improvement Chains,70.33333333333333
Drugstore Chains,69.5
Electric Utilities,68.66666666666667
Oilfield Services/Equipment,68.61538461538461
Personnel Services,67.625
Specialty Insurance,67.11111111111111
Medical Distributors,66.71428571428571
Financial Publishing/Services,66.0
Environmental Services,65.45454545454545
Forest Products,64.83333333333333
Gas Distributors,64.83333333333333
Aluminum,63.5
Major Banks,62.69230769230769
Real Estate Development,62.46666666666667
Publishing: Books/Magazines,62.0
Computer Processing Hardware,61.8
Food: Meat/Fish/Dairy,60.75
Trucking,60.75
Wholesale Distributors,60.666666666666664
Semiconductors,60.45454545454545
Aerospace & Defense,59.81481481481482
Multi-Line Insurance,59.23529411764706
Investment Banks/Brokers,58.88
Air Freight/Couriers,58.666666666666664
Electronic Production Equipment,58.07692307692308
Oil Refining/Marketing,57.666666666666664
Tobacco,56.75
Hospital/Nursing Management,56.55555555555556
Financial Conglomerates,56.1578947368421
Department Stores,56.0
Agricultural Commodities/Milling,55.7
Industrial Specialties,55.666666666666664
Engineering & Construction,55.578947368421055
Building Products,55.5
Investment Managers,55.40909090909091
Major Telecommunications,54.57142857142857
Property/Casualty Insurance,54.15
Computer Peripherals,53.55555555555556
Electronics Distributors,52.25
Medical Specialties,50.98717948717949
Life/Health Insurance,50.92307692307692
Chemicals: Specialty,50.48148148148148
Construction Materials,50.2
Food: Specialty/Candy,50.05555555555556
Specialty Stores,49.94117647058823
Beverages: Non-Alcoholic,49.625
Finance/Rental/Leasing,49.473684210526315
Information Technology Services,49.46875
Alternative Power Generation,49.333333333333336
Pharmaceuticals: Other,49.22727272727273
Containers/Packaging,49.05882352941177
Regional Banks,48.867924528301884
Chemicals: Major Diversified,48.75
Wireless Telecommunications,48.7
Other Transportation,48.5
Telecommunications Equipment,48.5
Electrical Products,48.43478260869565
Electronic Components,48.421052631578945
Food: Major Diversified,48.0
Food Distributors,47.0
Homebuilding,46.77777777777778
Specialty Telecommunications,45.833333333333336
Pharmaceuticals: Major,45.5
Movies/Entertainment,45.333333333333336
Household/Personal Care,45.2
Savings Banks,45.142857142857146
Textiles,45.0
Broadcasting,44.8
Miscellaneous Manufacturing,44.3
Hotels/Resorts/Cruise lines,43.75
Casinos/Gaming,43.0
Industrial Machinery,42.73809523809524
Metal Fabrication,41.77777777777778
Discount Stores,41.6
Automotive Aftermarket,41.5
Miscellaneous Commercial Services,40.816326530612244
Consumer Sundries,40.5
Beverages: Alcoholic,40.25
Pulp & Paper,39.0
Trucks/Construction/Farm Machinery,38.85
Motor Vehicles,38.3
Data Processing Services,38.28
Auto Parts: OEM,37.92857142857143
Other Consumer Services,37.80769230769231
Recreational Products,37.76470588235294
Advertising/Marketing Services,36.8
Office Equipment/Supplies,36.75
Industrial Conglomerates,36.142857142857146
Tools & Hardware,36.0
Electronic Equipment/Instruments,35.81818181818182
Biotechnology,35.50666666666667
Media Conglomerates,34.5
Restaurants,34.30434782608695
Publishing: Newspapers,34.0
Medical/Nursing Services,33.666666666666664
Internet Software/Services,32.86666666666667
Packaged Software,30.46451612903226
Internet Retail,29.285714285714285
Electronics/Appliance Stores,29.0
Apparel/Footwear Retail,28.27777777777778
Other Consumer Specialties,28.0
Electronics/Appliances,26.0
Cable/Satellite TV,24.444444444444443
Apparel/Footwear,24.285714285714285
Commercial Printing/Forms,23.666666666666668
Home Furnishings,15.2
Airlines,13.5
