Industry,RS_Rating
Coal,99.33333333333333
Aluminum,97.5
Oil & Gas Production,96.9090909090909
Contract Drilling,95.85714285714286
Integrated Oil,94.8
Chemicals: Agricultural,90.4
Marine Shipping,89.55555555555556
Pulp & Paper,89.0
Other Metals/Minerals,87.54545454545455
Oilfield Services/Equipment,86.76923076923077
Investment Trusts/Mutual Funds,86.0
Oil & Gas Pipelines,84.83333333333333
Oil Refining/Marketing,84.33333333333333
Steel,83.36363636363636
Insurance Brokers/Services,82.16666666666667
Managed Health Care,80.66666666666667
Food Retail,80.28571428571429
Medical Distributors,76.66666666666667
Agricultural Commodities/Milling,76.5
Pharmaceuticals: Major,76.08888888888889
Multi-Line Insurance,73.5
Computer Communications,73.16666666666667
Alternative Power Generation,71.83333333333333
Environmental Services,71.3
Food: Meat/Fish/Dairy,71.0
Real Estate Development,70.41666666666667
Precious Metals,70.0
Electric Utilities,69.76595744680851
Hospital/Nursing Management,69.33333333333333
Major Telecommunications,69.14285714285714
Water Utilities,69.0
Services to the Health Industry,69.0
Internet Software/Services,69.0
Property/Casualty Insurance,68.76470588235294
Personnel Services,68.28571428571429
Department Stores,68.0
Specialty Stores,67.55555555555556
Wholesale Distributors,66.57894736842105
Gas Distributors,66.53846153846153
Financial Publishing/Services,66.5
Biotechnology,66.3076923076923
Investment Banks/Brokers,66.26315789473684
Investment Managers,65.93333333333334
Advertising/Marketing Services,65.0
Casinos/Gaming,64.0
Aerospace & Defense,63.90909090909091
Industrial Specialties,63.733333333333334
Computer Peripherals,63.2
Information Technology Services,63.05555555555556
Publishing: Books/Magazines,63.0
Major Banks,62.32
Hotels/Resorts/Cruise lines,62.111111111111114
Finance/Rental/Leasing,62.0
Railroads,61.833333333333336
Data Processing Services,61.8
Life/Health Insurance,61.76923076923077
Food: Major Diversified,61.625
Discount Stores,61.25
Chemicals: Specialty,60.95238095238095
Auto Parts: OEM,60.8
Packaged Software,60.69047619047619
Food: Specialty/Candy,60.642857142857146
Computer Processing Hardware,60.6
Specialty Telecommunications,60.5
Motor Vehicles,60.5
Medical/Nursing Services,60.333333333333336
Electronic Production Equipment,59.666666666666664
Drugstore Chains,59.5
Medical Specialties,59.351851851851855
Telecommunications Equipment,59.0
Financial Conglomerates,58.875
Engineering & Construction,58.13333333333333
Metal Fabrication,58.0
Electrical Products,57.8125
Tobacco,57.75
Other Transportation,57.0
Movies/Entertainment,57.0
Beverages: Alcoholic,56.666666666666664
Wireless Telecommunications,56.666666666666664
Miscellaneous Manufacturing,56.4
Commercial Printing/Forms,56.0
Chemicals: Major Diversified,55.857142857142854
Pharmaceuticals: Other,55.5
Specialty Insurance,55.125
Semiconductors,55.05882352941177
Food Distributors,54.625
Home Improvement Chains,54.5
Other Consumer Services,54.05882352941177
Broadcasting,53.625
Miscellaneous Commercial Services,53.59375
Containers/Packaging,53.13333333333333
Beverages: Non-Alcoholic,52.285714285714285
Building Products,52.1
Construction Materials,51.666666666666664
Media Conglomerates,51.5
Household/Personal Care,51.0
Internet Retail,51.0
Air Freight/Couriers,50.75
Regional Banks,49.51648351648352
Electronic Components,49.46153846153846
Office Equipment/Supplies,49.0
Automotive Aftermarket,48.5
Industrial Machinery,48.30434782608695
Restaurants,48.166666666666664
Forest Products,47.5
Savings Banks,44.8
Trucks/Construction/Farm Machinery,44.07692307692308
Apparel/Footwear,43.42857142857143
Textiles,43.0
Electronic Equipment/Instruments,41.0
Homebuilding,40.5
Recreational Products,38.22222222222222
Tools & Hardware,38.0
Trucking,38.0
Cable/Satellite TV,37.4
Electronics Distributors,36.0
Electronics/Appliances,35.666666666666664
Industrial Conglomerates,35.0
Publishing: Newspapers,34.0
Other Consumer Specialties,32.0
Apparel/Footwear Retail,32.0
Airlines,31.2
Consumer Sundries,23.0
