Industry,RS_Rating
Coal,99.16666666666667
Oil & Gas Production,95.83870967741936
Investment Trusts/Mutual Funds,95.0
Aluminum,94.5
Contract Drilling,94.5
Integrated Oil,93.86666666666666
Chemicals: Agricultural,90.25
Marine Shipping,88.46666666666667
Insurance Brokers/Services,87.6
Other Metals/Minerals,84.85714285714286
Pulp & Paper,82.5
Oilfield Services/Equipment,81.375
Oil & Gas Pipelines,80.6923076923077
Computer Peripherals,80.25
Oil Refining/Marketing,78.66666666666667
Managed Health Care,78.2
Personnel Services,76.66666666666667
Other Transportation,76.5
Computer Communications,75.5
Casinos/Gaming,74.16666666666667
Steel,73.4
Agricultural Commodities/Milling,72.875
Multi-Line Insurance,72.23076923076923
Department Stores,71.5
Real Estate Development,70.3076923076923
Railroads,69.66666666666667
Environmental Services,69.5
Investment Banks/Brokers,68.66666666666667
Food Retail,68.625
Advertising/Marketing Services,68.33333333333333
Forest Products,68.25
Medical Distributors,67.83333333333333
Wholesale Distributors,67.05263157894737
Alternative Power Generation,66.66666666666667
Financial Publishing/Services,66.5
Water Utilities,66.5
Major Banks,66.33333333333333
Property/Casualty Insurance,66.22222222222223
Hotels/Resorts/Cruise lines,65.9090909090909
Computer Processing Hardware,65.6
Hospital/Nursing Management,65.5
Precious Metals,65.3529411764706
Specialty Stores,64.94736842105263
Internet Software/Services,64.94444444444444
Semiconductors,64.86111111111111
Publishing: Books/Magazines,64.5
Air Freight/Couriers,63.875
Engineering & Construction,63.285714285714285
Investment Managers,62.91428571428571
Pharmaceuticals: Major,62.906976744186046
Food: Meat/Fish/Dairy,62.0
Specialty Insurance,61.666666666666664
Electric Utilities,60.84090909090909
Aerospace & Defense,60.82608695652174
Media Conglomerates,60.5
Gas Distributors,60.38461538461539
Electronic Production Equipment,60.333333333333336
Major Telecommunications,60.285714285714285
Information Technology Services,60.27906976744186
Finance/Rental/Leasing,60.166666666666664
Building Products,60.0
Chemicals: Specialty,59.63636363636363
Industrial Specialties,59.2
Life/Health Insurance,59.07692307692308
Services to the Health Industry,59.0
Movies/Entertainment,58.94444444444444
Metal Fabrication,58.666666666666664
Medical/Nursing Services,58.44444444444444
Packaged Software,58.1764705882353
Motor Vehicles,57.25
Data Processing Services,57.25
Miscellaneous Manufacturing,57.166666666666664
Commercial Printing/Forms,57.0
Construction Materials,57.0
Electrical Products,56.705882352941174
Biotechnology,56.5625
Discount Stores,56.333333333333336
Drugstore Chains,56.0
Medical Specialties,55.96078431372549
Food: Specialty/Candy,54.8
Chemicals: Major Diversified,54.625
Other Consumer Services,53.94736842105263
Broadcasting,53.666666666666664
Home Improvement Chains,53.5
Containers/Packaging,53.333333333333336
Tobacco,53.0
Telecommunications Equipment,53.0
Apparel/Footwear Retail,52.5
Trucking,51.9
Specialty Telecommunications,51.75
Regional Banks,51.46875
Miscellaneous Commercial Services,51.266666666666666
Auto Parts: OEM,50.9
Electronic Components,50.857142857142854
Wireless Telecommunications,50.55555555555556
Restaurants,50.53333333333333
Food: Major Diversified,50.333333333333336
Food Distributors,49.55555555555556
Beverages: Non-Alcoholic,49.333333333333336
Financial Conglomerates,49.30434782608695
Industrial Machinery,48.464285714285715
Beverages: Alcoholic,48.0
Pharmaceuticals: Other,48.0
Textiles,48.0
Internet Retail,47.5
Apparel/Footwear,47.375
Automotive Aftermarket,47.0
Electronic Equipment/Instruments,45.55555555555556
Savings Banks,44.92857142857143
Electronics/Appliances,43.333333333333336
Household/Personal Care,43.15384615384615
Office Equipment/Supplies,42.333333333333336
Trucks/Construction/Farm Machinery,41.4
Recreational Products,40.72727272727273
Electronics Distributors,40.5
Homebuilding,36.833333333333336
Cable/Satellite TV,34.5
Industrial Conglomerates,34.285714285714285
Publishing: Newspapers,34.0
Tools & Hardware,33.0
Other Consumer Specialties,32.0
Airlines,31.0
Consumer Sundries,19.0
