Industry,RS_Rating
Coal,99.33333333333333
Oil & Gas Production,96.6969696969697
Contract Drilling,96.14285714285714
Aluminum,96.0
Integrated Oil,94.73333333333333
Chemicals: Agricultural,91.3
Pulp & Paper,90.0
Marine Shipping,89.44444444444444
Investment Trusts/Mutual Funds,87.0
Other Metals/Minerals,86.0909090909091
Oilfield Services/Equipment,85.53846153846153
Oil & Gas Pipelines,84.08333333333333
Oil Refining/Marketing,82.88888888888889
Insurance Brokers/Services,81.16666666666667
Steel,79.66666666666667
Food Retail,79.28571428571429
Managed Health Care,78.66666666666667
Medical Distributors,76.83333333333333
Agricultural Commodities/Milling,75.875
Department Stores,75.5
Multi-Line Insurance,73.85714285714286
Computer Communications,73.16666666666667
Precious Metals,72.71428571428571
Food: Meat/Fish/Dairy,72.5
Personnel Services,71.75
Pharmaceuticals: Major,71.69565217391305
Real Estate Development,71.33333333333333
Environmental Services,71.0
Casinos/Gaming,69.66666666666667
Internet Software/Services,69.26666666666667
Major Telecommunications,69.14285714285714
Hospital/Nursing Management,68.83333333333333
Hotels/Resorts/Cruise lines,68.77777777777777
Specialty Stores,68.55555555555556
Wholesale Distributors,68.21052631578948
Electric Utilities,67.06382978723404
Property/Casualty Insurance,67.0
Alternative Power Generation,66.66666666666667
Investment Banks/Brokers,65.83333333333333
Advertising/Marketing Services,65.66666666666667
Services to the Health Industry,65.66666666666667
Food: Specialty/Candy,64.92307692307692
Gas Distributors,64.84615384615384
Motor Vehicles,64.33333333333333
Publishing: Books/Magazines,64.0
Investment Managers,63.71875
Telecommunications Equipment,63.6
Aerospace & Defense,63.52173913043478
Packaged Software,63.0
Industrial Specialties,62.8
Railroads,62.5
Water Utilities,62.5
Food: Major Diversified,62.375
Finance/Rental/Leasing,62.08
Financial Publishing/Services,62.0
Tobacco,61.75
Life/Health Insurance,61.46153846153846
Computer Peripherals,61.2
Major Banks,61.083333333333336
Specialty Telecommunications,61.0
Other Transportation,61.0
Movies/Entertainment,60.94444444444444
Engineering & Construction,60.46666666666667
Computer Processing Hardware,60.2
Discount Stores,60.0
Biotechnology,59.92857142857143
Medical/Nursing Services,59.888888888888886
Chemicals: Specialty,59.708333333333336
Information Technology Services,59.578947368421055
Building Products,59.3
Metal Fabrication,59.0
Miscellaneous Manufacturing,58.4
Beverages: Alcoholic,58.333333333333336
Food Distributors,58.0
Data Processing Services,58.0
Drugstore Chains,57.5
Medical Specialties,57.34615384615385
Wireless Telecommunications,57.22222222222222
Financial Conglomerates,57.0
Auto Parts: OEM,56.666666666666664
Electrical Products,55.93333333333333
Chemicals: Major Diversified,55.142857142857146
Commercial Printing/Forms,55.0
Other Consumer Services,55.0
Containers/Packaging,54.86666666666667
Miscellaneous Commercial Services,54.32258064516129
Pharmaceuticals: Other,54.0
Forest Products,53.75
Home Improvement Chains,53.5
Beverages: Non-Alcoholic,52.857142857142854
Specialty Insurance,52.75
Broadcasting,52.25
Air Freight/Couriers,51.5
Media Conglomerates,51.5
Household/Personal Care,50.666666666666664
Electronic Components,50.61538461538461
Apparel/Footwear,50.166666666666664
Semiconductors,50.142857142857146
Regional Banks,50.01075268817204
Construction Materials,49.75
Restaurants,49.416666666666664
Automotive Aftermarket,48.5
Industrial Machinery,48.18181818181818
Electronic Production Equipment,46.0
Internet Retail,45.75
Textiles,45.0
Homebuilding,43.333333333333336
Trucks/Construction/Farm Machinery,43.214285714285715
Apparel/Footwear Retail,43.0
Savings Banks,43.0
Trucking,41.42857142857143
Office Equipment/Supplies,41.0
Electronics/Appliances,40.333333333333336
Tools & Hardware,40.0
Electronic Equipment/Instruments,38.0
Cable/Satellite TV,37.4
Recreational Products,36.55555555555556
Publishing: Newspapers,35.0
Electronics Distributors,33.666666666666664
Airlines,32.5
Industrial Conglomerates,32.333333333333336
Other Consumer Specialties,29.0
Consumer Sundries,26.0
