Industry,RS_Rating
Coal,99.5
Oil & Gas Production,95.09375
Aluminum,95.0
Integrated Oil,93.13333333333334
Contract Drilling,90.5
Marine Shipping,87.1
Investment Trusts/Mutual Funds,87.0
Chemicals: Agricultural,84.55555555555556
Oilfield Services/Equipment,83.08333333333333
Insurance Brokers/Services,81.71428571428571
Other Transportation,81.5
Other Metals/Minerals,80.88888888888889
Home Improvement Chains,79.5
Department Stores,79.33333333333333
Pharmaceuticals: Generic,79.0
Oil & Gas Pipelines,78.21739130434783
Food Retail,77.57142857142857
Computer Communications,76.5
Steel,76.41666666666667
Managed Health Care,76.0
Pulp & Paper,75.5
Real Estate Development,74.61538461538461
Alternative Power Generation,74.16666666666667
Environmental Services,74.11111111111111
Casinos/Gaming,71.83333333333333
Specialty Stores,70.80952380952381
Publishing: Books/Magazines,70.5
Computer Peripherals,70.4
Medical Distributors,70.0
Personnel Services,70.0
Services to the Health Industry,69.66666666666667
Forest Products,69.25
Water Utilities,69.0
Oil Refining/Marketing,68.88888888888889
Hospital/Nursing Management,68.5
Pharmaceuticals: Major,67.8
Agricultural Commodities/Milling,67.75
Semiconductors,67.6875
Air Freight/Couriers,67.625
Electronic Production Equipment,67.55555555555556
Internet Software/Services,67.46666666666667
Multi-Line Insurance,67.35714285714286
Railroads,66.83333333333333
Major Banks,66.61538461538461
Financial Publishing/Services,65.0
Wholesale Distributors,64.71428571428571
Investment Banks/Brokers,64.47619047619048
Specialty Insurance,64.33333333333333
Engineering & Construction,64.1875
Discount Stores,64.0
Pharmaceuticals: Other,63.92307692307692
Trucking,63.833333333333336
Precious Metals,63.07142857142857
Finance/Rental/Leasing,62.925925925925924
Investment Managers,62.911764705882355
Major Telecommunications,62.0
Drugstore Chains,62.0
Electric Utilities,61.91111111111111
Information Technology Services,61.53846153846154
Specialty Telecommunications,61.0
Gas Distributors,60.666666666666664
Computer Processing Hardware,60.6
Metal Fabrication,60.5
Biotechnology,60.08695652173913
Hotels/Resorts/Cruise lines,59.9
Food: Specialty/Candy,59.5
Medical Specialties,59.395833333333336
Industrial Specialties,59.125
Advertising/Marketing Services,58.666666666666664
Property/Casualty Insurance,58.55555555555556
Motor Vehicles,58.5
Telecommunications Equipment,58.2
Construction Materials,58.0
Aerospace & Defense,57.82608695652174
Data Processing Services,57.733333333333334
Chemicals: Specialty,57.31818181818182
Commercial Printing/Forms,57.0
Packaged Software,56.825
Electrical Products,56.666666666666664
Medical/Nursing Services,56.44444444444444
Building Products,56.411764705882355
Financial Conglomerates,55.7
Homebuilding,55.583333333333336
Other Consumer Services,55.5
Food: Meat/Fish/Dairy,55.0
Life/Health Insurance,54.84615384615385
Electronics Distributors,54.75
Containers/Packaging,53.86666666666667
Tobacco,53.666666666666664
Food Distributors,52.75
Beverages: Non-Alcoholic,52.5
Miscellaneous Commercial Services,52.13793103448276
Miscellaneous Manufacturing,51.875
Chemicals: Major Diversified,51.375
Electronic Components,51.0
Movies/Entertainment,50.94444444444444
Regional Banks,50.93877551020408
Wireless Telecommunications,50.77777777777778
Apparel/Footwear Retail,50.333333333333336
Industrial Machinery,49.793103448275865
Auto Parts: OEM,47.9
Automotive Aftermarket,47.0
Textiles,47.0
Restaurants,46.84615384615385
Broadcasting,46.57142857142857
Media Conglomerates,46.5
Food: Major Diversified,45.44444444444444
Household/Personal Care,45.25
Apparel/Footwear,45.166666666666664
Beverages: Alcoholic,44.666666666666664
Savings Banks,43.285714285714285
Recreational Products,42.7
Electronics/Appliances,42.0
Electronic Equipment/Instruments,41.625
Trucks/Construction/Farm Machinery,41.588235294117645
Tools & Hardware,39.0
Internet Retail,38.0
Office Equipment/Supplies,37.666666666666664
Consumer Sundries,33.0
Industrial Conglomerates,30.714285714285715
Cable/Satellite TV,30.25
Publishing: Newspapers,29.666666666666668
Airlines,27.2
Other Consumer Specialties,24.0
