Industry,RS_Rating
Coal,99.33333333333333
Oil & Gas Production,96.9090909090909
Aluminum,96.5
Contract Drilling,95.85714285714286
Integrated Oil,95.0
Marine Shipping,90.44444444444444
Pulp & Paper,90.0
Chemicals: Agricultural,89.9
Other Metals/Minerals,87.63636363636364
Oilfield Services/Equipment,87.53846153846153
Investment Trusts/Mutual Funds,86.0
Oil & Gas Pipelines,85.45833333333333
Oil Refining/Marketing,83.55555555555556
Agricultural Commodities/Milling,83.42857142857143
Insurance Brokers/Services,80.83333333333333
Managed Health Care,79.83333333333333
Steel,79.83333333333333
Food Retail,79.28571428571429
Personnel Services,78.71428571428571
Medical Distributors,77.83333333333333
Real Estate Development,75.2
Multi-Line Insurance,74.64285714285714
Department Stores,73.5
Food: Meat/Fish/Dairy,73.5
Pharmaceuticals: Major,73.02222222222223
Computer Communications,72.5
Environmental Services,72.1
Hospital/Nursing Management,71.33333333333333
Major Telecommunications,71.0
Wholesale Distributors,70.23529411764706
Internet Software/Services,70.15384615384616
Precious Metals,69.35714285714286
Specialty Stores,69.05555555555556
Alternative Power Generation,69.0
Property/Casualty Insurance,68.76470588235294
Electric Utilities,68.65957446808511
Casinos/Gaming,68.33333333333333
Investment Banks/Brokers,67.6470588235294
Gas Distributors,67.07692307692308
Water Utilities,67.0
Services to the Health Industry,66.66666666666667
Aerospace & Defense,66.4090909090909
Advertising/Marketing Services,66.0
Food: Specialty/Candy,65.53846153846153
Investment Managers,64.41379310344827
Hotels/Resorts/Cruise lines,64.22222222222223
Finance/Rental/Leasing,64.125
Industrial Specialties,63.93333333333333
Chemicals: Specialty,63.6
Major Banks,63.52
Publishing: Books/Magazines,63.5
Computer Peripherals,63.2
Packaged Software,63.142857142857146
Railroads,63.0
Motor Vehicles,63.0
Financial Publishing/Services,62.5
Tobacco,62.25
Life/Health Insurance,62.23076923076923
Telecommunications Equipment,62.2
Food: Major Diversified,62.125
Information Technology Services,60.7027027027027
Specialty Telecommunications,60.5
Building Products,60.5
Engineering & Construction,60.46666666666667
Computer Processing Hardware,60.2
Medical/Nursing Services,60.111111111111114
Beverages: Alcoholic,59.666666666666664
Data Processing Services,59.6
Discount Stores,59.5
Movies/Entertainment,59.333333333333336
Biotechnology,59.083333333333336
Auto Parts: OEM,59.0
Medical Specialties,58.857142857142854
Miscellaneous Manufacturing,58.6
Drugstore Chains,58.5
Financial Conglomerates,58.375
Other Transportation,57.0
Other Consumer Services,56.4375
Chemicals: Major Diversified,56.285714285714285
Wireless Telecommunications,56.22222222222222
Beverages: Non-Alcoholic,55.57142857142857
Food Distributors,55.25
Electrical Products,54.93333333333333
Miscellaneous Commercial Services,54.67741935483871
Specialty Insurance,54.625
Forest Products,54.5
Pharmaceuticals: Other,54.5
Containers/Packaging,54.333333333333336
Broadcasting,53.875
Home Improvement Chains,53.5
Commercial Printing/Forms,53.0
Metal Fabrication,52.4
Household/Personal Care,52.333333333333336
Regional Banks,52.266666666666666
Construction Materials,51.666666666666664
Media Conglomerates,51.5
Automotive Aftermarket,51.0
Internet Retail,51.0
Air Freight/Couriers,50.75
Electronic Components,50.46153846153846
Semiconductors,50.0
Industrial Machinery,49.36363636363637
Restaurants,49.18181818181818
Textiles,48.0
Savings Banks,47.2
Apparel/Footwear,46.666666666666664
Trucks/Construction/Farm Machinery,46.38461538461539
Electronic Production Equipment,46.0
Homebuilding,43.5
Office Equipment/Supplies,41.333333333333336
Tools & Hardware,41.0
Electronics/Appliances,40.666666666666664
Electronic Equipment/Instruments,38.888888888888886
Recreational Products,36.77777777777778
Cable/Satellite TV,36.6
Apparel/Footwear Retail,36.5
Trucking,35.333333333333336
Publishing: Newspapers,35.333333333333336
Electronics Distributors,34.333333333333336
Industrial Conglomerates,32.833333333333336
Airlines,31.833333333333332
Other Consumer Specialties,30.0
Consumer Sundries,27.0
