Industry,RS_Rating
Coal,99.66666666666667
Oil & Gas Production,93.6774193548387
Aluminum,92.5
Integrated Oil,92.06666666666666
Marine Shipping,88.6
Contract Drilling,87.5
Investment Trusts/Mutual Funds,87.0
Chemicals: Agricultural,85.88888888888889
Insurance Brokers/Services,84.14285714285714
Oilfield Services/Equipment,81.91666666666667
Home Improvement Chains,81.5
Oil & Gas Pipelines,80.80952380952381
Pharmaceuticals: Generic,80.0
Food Retail,79.14285714285714
Managed Health Care,78.83333333333333
Steel,78.5
Computer Communications,78.5
Other Transportation,78.0
Other Metals/Minerals,77.33333333333333
Environmental Services,76.55555555555556
Publishing: Books/Magazines,76.5
Pulp & Paper,76.0
Real Estate Development,74.78571428571429
Electronic Production Equipment,74.66666666666667
Agricultural Commodities/Milling,74.42857142857143
Forest Products,74.0
Medical Distributors,73.5
Specialty Stores,73.21052631578948
Services to the Health Industry,73.0
Water Utilities,72.5
Multi-Line Insurance,72.35714285714286
Personnel Services,72.0
Air Freight/Couriers,70.83333333333333
Hospital/Nursing Management,70.83333333333333
Internet Software/Services,70.54545454545455
Major Banks,70.15384615384616
Pharmaceuticals: Major,69.57142857142857
Alternative Power Generation,69.5
Wholesale Distributors,69.38888888888889
Railroads,69.0
Casinos/Gaming,68.0
Engineering & Construction,67.92307692307692
Specialty Insurance,67.77777777777777
Investment Banks/Brokers,67.73684210526316
Financial Conglomerates,67.375
Precious Metals,66.92857142857143
Industrial Specialties,66.64285714285714
Department Stores,66.5
Pharmaceuticals: Other,66.16666666666667
Computer Peripherals,66.0
Finance/Rental/Leasing,65.75
Aerospace & Defense,65.71428571428571
Major Telecommunications,65.66666666666667
Specialty Telecommunications,65.33333333333333
Hotels/Resorts/Cruise lines,65.0
Investment Managers,64.76666666666667
Medical/Nursing Services,64.75
Semiconductors,64.55555555555556
Drugstore Chains,64.5
Electric Utilities,64.37777777777778
Tobacco,64.33333333333333
Computer Processing Hardware,63.8
Financial Publishing/Services,63.0
Oil Refining/Marketing,62.666666666666664
Property/Casualty Insurance,62.55555555555556
Trucking,62.54545454545455
Information Technology Services,62.542857142857144
Food: Specialty/Candy,62.2
Gas Distributors,61.833333333333336
Construction Materials,61.2
Biotechnology,61.19047619047619
Medical Specialties,61.083333333333336
Discount Stores,60.666666666666664
Advertising/Marketing Services,60.333333333333336
Metal Fabrication,60.333333333333336
Food: Meat/Fish/Dairy,60.0
Electrical Products,59.785714285714285
Telecommunications Equipment,59.5
Auto Parts: OEM,59.285714285714285
Packaged Software,59.0
Containers/Packaging,58.642857142857146
Life/Health Insurance,58.07692307692308
Beverages: Non-Alcoholic,58.0
Homebuilding,57.81818181818182
Other Consumer Services,57.2
Miscellaneous Manufacturing,57.0
Building Products,56.46666666666667
Regional Banks,56.101010101010104
Electronics Distributors,56.0
Chemicals: Specialty,55.95
Data Processing Services,55.642857142857146
Chemicals: Major Diversified,55.5
Textiles,55.0
Broadcasting,54.333333333333336
Miscellaneous Commercial Services,53.65384615384615
Industrial Machinery,53.0
Movies/Entertainment,51.44444444444444
Electronic Components,50.76923076923077
Wireless Telecommunications,50.55555555555556
Food: Major Diversified,50.333333333333336
Apparel/Footwear,50.25
Office Equipment/Supplies,50.0
Food Distributors,50.0
Motor Vehicles,49.666666666666664
Automotive Aftermarket,49.5
Savings Banks,49.42857142857143
Household/Personal Care,49.27272727272727
Beverages: Alcoholic,49.0
Restaurants,48.72727272727273
Airlines,46.5
Internet Retail,46.0
Trucks/Construction/Farm Machinery,45.25
Media Conglomerates,44.0
Tools & Hardware,43.0
Electronics/Appliances,41.75
Apparel/Footwear Retail,40.75
Recreational Products,40.111111111111114
Electronic Equipment/Instruments,38.833333333333336
Cable/Satellite TV,38.0
Industrial Conglomerates,36.333333333333336
Consumer Sundries,32.0
Publishing: Newspapers,29.0
Other Consumer Specialties,27.0
