Industry,RS_Rating
Coal,99.66666666666667
Oil & Gas Production,95.0625
Aluminum,94.0
Integrated Oil,93.8
Chemicals: Agricultural,92.125
Marine Shipping,91.18181818181819
Contract Drilling,91.16666666666667
Food Retail,87.16666666666667
Investment Trusts/Mutual Funds,87.0
Oil & Gas Pipelines,85.41666666666667
Forest Products,85.0
Oilfield Services/Equipment,84.0909090909091
Environmental Services,82.375
Home Improvement Chains,82.0
Computer Peripherals,81.66666666666667
Computer Communications,81.16666666666667
Pharmaceuticals: Generic,81.0
Insurance Brokers/Services,80.83333333333333
Steel,80.72727272727273
Telecommunications Equipment,80.0
Personnel Services,79.66666666666667
Managed Health Care,78.0
Major Telecommunications,78.0
Electronic Production Equipment,76.8
Air Freight/Couriers,76.6
Precious Metals,76.42857142857143
Other Transportation,76.0
Other Metals/Minerals,75.875
Real Estate Development,74.83333333333333
Data Processing Services,74.14285714285714
Agricultural Commodities/Milling,74.0
Pharmaceuticals: Major,73.375
Water Utilities,73.16666666666667
Engineering & Construction,72.76923076923077
Hospital/Nursing Management,72.66666666666667
Medical Distributors,72.66666666666667
Financial Conglomerates,72.57142857142857
Industrial Specialties,72.2
Gas Distributors,71.9
Department Stores,71.0
Media Conglomerates,71.0
Internet Software/Services,70.16666666666667
Services to the Health Industry,70.0
Wholesale Distributors,69.92857142857143
Aerospace & Defense,69.9047619047619
Specialty Stores,69.29411764705883
Wireless Telecommunications,69.2
Investment Banks/Brokers,69.125
Multi-Line Insurance,69.0
Railroads,68.0
Major Banks,67.76
Electric Utilities,67.37777777777778
Pharmaceuticals: Other,67.33333333333333
Drugstore Chains,67.0
Publishing: Books/Magazines,67.0
Homebuilding,66.83333333333333
Biotechnology,66.71428571428571
Oil Refining/Marketing,66.33333333333333
Advertising/Marketing Services,66.0
Investment Managers,65.875
Hotels/Resorts/Cruise lines,65.71428571428571
Financial Publishing/Services,65.5
Casinos/Gaming,65.4
Tobacco,65.33333333333333
Specialty Telecommunications,65.33333333333333
Alternative Power Generation,65.33333333333333
Specialty Insurance,65.22222222222223
Medical/Nursing Services,65.14285714285714
Trucking,65.11111111111111
Computer Processing Hardware,64.8
Semiconductors,64.72222222222223
Information Technology Services,64.26666666666667
Miscellaneous Manufacturing,63.8
Finance/Rental/Leasing,63.388888888888886
Auto Parts: OEM,63.333333333333336
Property/Casualty Insurance,63.0
Medical Specialties,62.67741935483871
Packaged Software,62.42307692307692
Food: Meat/Fish/Dairy,62.25
Beverages: Non-Alcoholic,62.25
Chemicals: Specialty,61.86666666666667
Electrical Products,61.583333333333336
Food: Specialty/Candy,60.9
Life/Health Insurance,60.9
Containers/Packaging,60.54545454545455
Building Products,60.46153846153846
Metal Fabrication,60.333333333333336
Broadcasting,59.4
Discount Stores,58.666666666666664
Other Consumer Services,58.583333333333336
Pulp & Paper,57.0
Chemicals: Major Diversified,57.0
Construction Materials,56.75
Industrial Machinery,56.23809523809524
Electronic Components,55.75
Miscellaneous Commercial Services,55.18181818181818
Food: Major Diversified,54.714285714285715
Apparel/Footwear,54.666666666666664
Electronics Distributors,53.75
Regional Banks,53.670212765957444
Movies/Entertainment,53.25
Household/Personal Care,52.44444444444444
Restaurants,50.0
Beverages: Alcoholic,50.0
Savings Banks,49.07692307692308
Tools & Hardware,49.0
Trucks/Construction/Farm Machinery,48.23076923076923
Office Equipment/Supplies,47.0
Textiles,47.0
Apparel/Footwear Retail,46.5
Food Distributors,46.166666666666664
Recreational Products,45.714285714285715
Electronics/Appliances,45.5
Cable/Satellite TV,44.5
Internet Retail,42.0
Airlines,41.5
Industrial Conglomerates,39.333333333333336
Automotive Aftermarket,39.0
Electronic Equipment/Instruments,39.0
Publishing: Newspapers,33.666666666666664
Other Consumer Specialties,28.0
