Industry,RS_Rating
Coal,99.16666666666667
Contract Drilling,96.42857142857143
Oil & Gas Production,95.79411764705883
Integrated Oil,95.0
Chemicals: Agricultural,91.6
Oilfield Services/Equipment,90.64285714285714
Marine Shipping,88.53846153846153
Oil Refining/Marketing,87.55555555555556
Investment Trusts/Mutual Funds,87.0
Other Metals/Minerals,85.9090909090909
Oil & Gas Pipelines,84.92
Department Stores,84.0
Steel,83.0
Agricultural Commodities/Milling,82.85714285714286
Insurance Brokers/Services,81.33333333333333
Food Retail,78.71428571428571
Medical Distributors,77.33333333333333
Aluminum,77.0
Managed Health Care,76.33333333333333
Environmental Services,76.22222222222223
Food: Meat/Fish/Dairy,75.25
Multi-Line Insurance,74.5
Real Estate Development,72.4
Pharmaceuticals: Major,72.3076923076923
Computer Communications,71.83333333333333
Casinos/Gaming,71.83333333333333
Hotels/Resorts/Cruise lines,71.77777777777777
Precious Metals,69.8
Alternative Power Generation,69.66666666666667
Major Telecommunications,69.0
Specialty Stores,68.55555555555556
Personnel Services,68.42857142857143
Wholesale Distributors,67.85
Hospital/Nursing Management,67.66666666666667
Electric Utilities,67.29166666666667
Internet Software/Services,67.07142857142857
Aerospace & Defense,67.0
Metal Fabrication,65.8
Investment Managers,65.78571428571429
Finance/Rental/Leasing,65.42307692307692
Gas Distributors,65.38461538461539
Advertising/Marketing Services,65.33333333333333
Industrial Specialties,65.3076923076923
Publishing: Books/Magazines,65.0
Property/Casualty Insurance,64.44444444444444
Railroads,64.16666666666667
Investment Banks/Brokers,64.10526315789474
Tobacco,63.75
Packaged Software,63.53846153846154
Food: Specialty/Candy,63.38461538461539
Auto Parts: OEM,62.2
Life/Health Insurance,62.07692307692308
Computer Peripherals,62.0
Wireless Telecommunications,61.857142857142854
Engineering & Construction,61.6
Food: Major Diversified,61.5
Movies/Entertainment,61.470588235294116
Specialty Telecommunications,61.25
Major Banks,61.25
Motor Vehicles,61.0
Chemicals: Specialty,60.34782608695652
Other Transportation,60.0
Biotechnology,59.84615384615385
Discount Stores,59.75
Services to the Health Industry,59.666666666666664
Building Products,59.44444444444444
Financial Publishing/Services,59.0
Information Technology Services,59.0
Financial Conglomerates,58.375
Data Processing Services,58.0
Drugstore Chains,58.0
Medical/Nursing Services,57.888888888888886
Miscellaneous Manufacturing,57.4
Food Distributors,57.375
Computer Processing Hardware,57.2
Pulp & Paper,57.0
Electrical Products,56.57142857142857
Telecommunications Equipment,56.5
Media Conglomerates,56.5
Water Utilities,56.333333333333336
Other Consumer Services,55.55555555555556
Medical Specialties,55.38
Beverages: Alcoholic,55.333333333333336
Miscellaneous Commercial Services,54.333333333333336
Specialty Insurance,53.625
Chemicals: Major Diversified,53.57142857142857
Air Freight/Couriers,52.666666666666664
Semiconductors,52.57142857142857
Internet Retail,52.0
Containers/Packaging,51.666666666666664
Broadcasting,51.25
Electronic Components,50.53846153846154
Pharmaceuticals: Other,50.5
Regional Banks,50.46236559139785
Beverages: Non-Alcoholic,50.0
Apparel/Footwear,48.5
Forest Products,48.5
Automotive Aftermarket,48.5
Electronics/Appliances,48.0
Industrial Machinery,47.77272727272727
Household/Personal Care,47.75
Construction Materials,47.333333333333336
Home Improvement Chains,46.5
Electronic Production Equipment,46.5
Restaurants,45.4
Textiles,45.0
Trucks/Construction/Farm Machinery,44.42857142857143
Apparel/Footwear Retail,43.57142857142857
Savings Banks,43.4
Tools & Hardware,43.0
Homebuilding,42.666666666666664
Trucking,41.142857142857146
Office Equipment/Supplies,40.0
Recreational Products,39.875
Airlines,38.125
Cable/Satellite TV,34.833333333333336
Electronics Distributors,34.0
Industrial Conglomerates,34.0
Publishing: Newspapers,31.666666666666668
Other Consumer Specialties,28.0
Consumer Sundries,26.0
Electronic Equipment/Instruments,25.4
