Industry,RS_Rating
Coal,99.16666666666667
Oil & Gas Production,96.81818181818181
Contract Drilling,96.28571428571429
Integrated Oil,95.0
Chemicals: Agricultural,91.7
Pulp & Paper,91.0
Marine Shipping,90.88888888888889
Oilfield Services/Equipment,87.61538461538461
Investment Trusts/Mutual Funds,87.0
Other Metals/Minerals,84.9
Oil & Gas Pipelines,84.66666666666667
Department Stores,84.33333333333333
Oil Refining/Marketing,83.88888888888889
Insurance Brokers/Services,82.0
Steel,82.0
Food Retail,79.57142857142857
Medical Distributors,78.33333333333333
Personnel Services,77.85714285714286
Managed Health Care,77.66666666666667
Aluminum,77.66666666666667
Agricultural Commodities/Milling,77.625
Food: Meat/Fish/Dairy,75.75
Environmental Services,75.22222222222223
Multi-Line Insurance,74.42857142857143
Computer Communications,72.0
Pharmaceuticals: Major,71.95454545454545
Hotels/Resorts/Cruise lines,71.44444444444444
Casinos/Gaming,71.0
Hospital/Nursing Management,71.0
Precious Metals,70.78571428571429
Major Telecommunications,70.5
Real Estate Development,69.45454545454545
Specialty Stores,69.0
Alternative Power Generation,68.33333333333333
Wholesale Distributors,67.78947368421052
Internet Software/Services,67.5
Metal Fabrication,67.4
Electric Utilities,67.19148936170212
Investment Banks/Brokers,66.61111111111111
Advertising/Marketing Services,66.0
Investment Managers,65.6
Gas Distributors,65.53846153846153
Aerospace & Defense,65.08695652173913
Railroads,64.83333333333333
Publishing: Books/Magazines,64.5
Packaged Software,64.25
Property/Casualty Insurance,64.17647058823529
Food: Major Diversified,64.125
Industrial Specialties,64.0
Finance/Rental/Leasing,63.833333333333336
Specialty Telecommunications,63.75
Services to the Health Industry,63.666666666666664
Life/Health Insurance,63.53846153846154
Tobacco,63.5
Motor Vehicles,63.333333333333336
Major Banks,63.208333333333336
Food: Specialty/Candy,62.785714285714285
Movies/Entertainment,62.529411764705884
Building Products,62.0
Engineering & Construction,61.86666666666667
Auto Parts: OEM,61.4
Discount Stores,61.0
Other Transportation,61.0
Drugstore Chains,60.5
Chemicals: Specialty,60.458333333333336
Medical/Nursing Services,60.22222222222222
Information Technology Services,59.68571428571428
Water Utilities,59.166666666666664
Financial Publishing/Services,59.0
Data Processing Services,58.625
Food Distributors,58.5
Beverages: Alcoholic,58.333333333333336
Biotechnology,58.07692307692308
Computer Processing Hardware,58.0
Miscellaneous Manufacturing,57.8
Financial Conglomerates,57.75
Electrical Products,56.857142857142854
Wireless Telecommunications,56.77777777777778
Other Consumer Services,56.77777777777778
Medical Specialties,56.673469387755105
Telecommunications Equipment,56.333333333333336
Computer Peripherals,55.666666666666664
Media Conglomerates,55.5
Beverages: Non-Alcoholic,55.42857142857143
Internet Retail,54.666666666666664
Containers/Packaging,54.666666666666664
Specialty Insurance,54.625
Chemicals: Major Diversified,54.57142857142857
Miscellaneous Commercial Services,53.56666666666667
Broadcasting,52.75
Air Freight/Couriers,52.166666666666664
Pharmaceuticals: Other,51.5
Regional Banks,51.38461538461539
Household/Personal Care,51.0
Forest Products,50.75
Construction Materials,50.0
Semiconductors,49.78947368421053
Electronic Components,49.53846153846154
Home Improvement Chains,49.5
Automotive Aftermarket,49.5
Apparel/Footwear,48.5
Industrial Machinery,48.5
Restaurants,47.45454545454545
Commercial Printing/Forms,46.0
Textiles,45.0
Trucks/Construction/Farm Machinery,44.666666666666664
Savings Banks,44.54545454545455
Homebuilding,44.333333333333336
Electronic Production Equipment,44.0
Apparel/Footwear Retail,42.285714285714285
Tools & Hardware,42.0
Office Equipment/Supplies,41.0
Trucking,41.0
Recreational Products,40.0
Electronics/Appliances,40.0
Airlines,36.625
Industrial Conglomerates,36.5
Cable/Satellite TV,35.666666666666664
Electronics Distributors,35.333333333333336
Electronic Equipment/Instruments,34.166666666666664
Publishing: Newspapers,32.0
Other Consumer Specialties,28.0
Consumer Sundries,27.0
