Industry,RS_Rating
Coal,99.66666666666667
Oil & Gas Production,94.6774193548387
Integrated Oil,94.2
Aluminum,94.0
Contract Drilling,92.0
Chemicals: Agricultural,92.0
Marine Shipping,90.27272727272727
Food Retail,87.0
Investment Trusts/Mutual Funds,87.0
Oilfield Services/Equipment,85.9090909090909
Computer Peripherals,85.5
Forest Products,85.25
Oil & Gas Pipelines,84.45833333333333
Auto Parts: OEM,83.75
Environmental Services,82.75
Steel,82.72727272727273
Insurance Brokers/Services,82.0
Telecommunications Equipment,81.0
Computer Communications,80.83333333333333
Home Improvement Chains,80.5
Personnel Services,80.33333333333333
Other Transportation,79.5
Apparel/Footwear,78.0
Managed Health Care,77.66666666666667
Data Processing Services,77.14285714285714
Air Freight/Couriers,77.0
Other Metals/Minerals,76.75
Electronic Production Equipment,76.5
Publishing: Books/Magazines,76.5
Precious Metals,76.15384615384616
Real Estate Development,75.91666666666667
Agricultural Commodities/Milling,75.71428571428571
Pharmaceuticals: Major,75.5
Major Telecommunications,75.0
Internet Software/Services,74.45454545454545
Beverages: Non-Alcoholic,74.33333333333333
Engineering & Construction,73.54545454545455
Financial Conglomerates,73.16666666666667
Water Utilities,73.0
Media Conglomerates,72.0
Hospital/Nursing Management,71.5
Railroads,71.16666666666667
Major Banks,71.16666666666667
Gas Distributors,71.1
Multi-Line Insurance,70.71428571428571
Medical Distributors,70.5
Industrial Specialties,70.41666666666667
Homebuilding,70.2
Wholesale Distributors,70.14285714285714
Oil Refining/Marketing,70.11111111111111
Services to the Health Industry,70.0
Specialty Stores,69.76470588235294
Computer Processing Hardware,69.75
Investment Banks/Brokers,69.4375
Pharmaceuticals: Other,69.0
Alternative Power Generation,68.66666666666667
Aerospace & Defense,68.52380952380952
Semiconductors,68.4375
Building Products,68.3
Financial Publishing/Services,68.0
Advertising/Marketing Services,67.0
Investment Managers,66.82608695652173
Miscellaneous Manufacturing,66.4
Specialty Insurance,66.0
Electric Utilities,65.6
Drugstore Chains,65.5
Department Stores,65.5
Finance/Rental/Leasing,65.5
Trucking,65.44444444444444
Hotels/Resorts/Cruise lines,65.28571428571429
Information Technology Services,65.13793103448276
Casinos/Gaming,65.0
Chemicals: Specialty,64.8
Medical/Nursing Services,64.14285714285714
Biotechnology,64.0
Medical Specialties,63.857142857142854
Specialty Telecommunications,63.666666666666664
Property/Casualty Insurance,63.64705882352941
Packaged Software,63.43478260869565
Tobacco,63.333333333333336
Food: Meat/Fish/Dairy,62.5
Wireless Telecommunications,62.333333333333336
Food: Specialty/Candy,62.0
Life/Health Insurance,61.9
Containers/Packaging,61.63636363636363
Airlines,61.0
Broadcasting,60.8
Electrical Products,60.666666666666664
Metal Fabrication,60.666666666666664
Chemicals: Major Diversified,59.0
Other Consumer Services,58.833333333333336
Discount Stores,58.666666666666664
Construction Materials,58.0
Pulp & Paper,58.0
Regional Banks,56.90526315789474
Electronics Distributors,56.25
Miscellaneous Commercial Services,55.9
Electronic Components,55.25
Industrial Machinery,55.23809523809524
Movies/Entertainment,55.0625
Food: Major Diversified,54.57142857142857
Textiles,54.0
Savings Banks,52.23076923076923
Household/Personal Care,51.285714285714285
Beverages: Alcoholic,50.0
Restaurants,49.833333333333336
Trucks/Construction/Farm Machinery,49.23076923076923
Electronics/Appliances,47.5
Food Distributors,47.166666666666664
Apparel/Footwear Retail,46.333333333333336
Internet Retail,46.0
Tools & Hardware,46.0
Cable/Satellite TV,45.5
Recreational Products,45.285714285714285
Industrial Conglomerates,43.0
Automotive Aftermarket,41.0
Electronic Equipment/Instruments,40.0
Publishing: Newspapers,38.5
Office Equipment/Supplies,36.0
