Industry,RS_Rating
Coal,99.5
Aluminum,94.5
Oil & Gas Production,94.34375
Integrated Oil,92.46666666666667
Contract Drilling,90.66666666666667
Marine Shipping,86.7
Chemicals: Agricultural,84.44444444444444
Investment Trusts/Mutual Funds,84.33333333333333
Department Stores,84.0
Insurance Brokers/Services,83.85714285714286
Oilfield Services/Equipment,81.91666666666667
Other Metals/Minerals,80.55555555555556
Pharmaceuticals: Generic,80.0
Oil & Gas Pipelines,79.27272727272727
Other Transportation,79.0
Computer Communications,77.16666666666667
Food Retail,77.0
Pulp & Paper,76.5
Steel,76.25
Air Freight/Couriers,75.14285714285714
Managed Health Care,74.83333333333333
Forest Products,73.8
Personnel Services,73.75
Alternative Power Generation,73.16666666666667
Real Estate Development,71.66666666666667
Casinos/Gaming,71.5
Environmental Services,70.6
Specialty Stores,69.66666666666667
Medical Distributors,69.5
Home Improvement Chains,69.0
Water Utilities,69.0
Agricultural Commodities/Milling,68.875
Pharmaceuticals: Major,68.82352941176471
Railroads,68.66666666666667
Oil Refining/Marketing,68.66666666666667
Financial Publishing/Services,68.5
Electronic Production Equipment,68.44444444444444
Multi-Line Insurance,68.14285714285714
Internet Software/Services,68.13333333333334
Services to the Health Industry,68.0
Hospital/Nursing Management,66.83333333333333
Computer Peripherals,66.5
Major Banks,66.46153846153847
Semiconductors,65.93939393939394
Specialty Insurance,65.88888888888889
Computer Processing Hardware,65.2
Trucking,65.16666666666667
Wholesale Distributors,64.57142857142857
Investment Banks/Brokers,64.4090909090909
Engineering & Construction,64.375
Finance/Rental/Leasing,64.14285714285714
Commercial Printing/Forms,64.0
Publishing: Books/Magazines,63.0
Major Telecommunications,62.666666666666664
Drugstore Chains,62.5
Precious Metals,61.92307692307692
Discount Stores,61.666666666666664
Investment Managers,61.270270270270274
Motor Vehicles,61.0
Metal Fabrication,60.833333333333336
Property/Casualty Insurance,60.55555555555556
Hotels/Resorts/Cruise lines,60.2
Industrial Specialties,59.470588235294116
Medical Specialties,59.46
Electric Utilities,59.22222222222222
Information Technology Services,59.166666666666664
Data Processing Services,58.733333333333334
Advertising/Marketing Services,58.666666666666664
Aerospace & Defense,58.130434782608695
Pharmaceuticals: Other,58.0
Construction Materials,57.8
Electrical Products,57.8
Gas Distributors,57.583333333333336
Building Products,56.588235294117645
Medical/Nursing Services,56.111111111111114
Chemicals: Specialty,55.857142857142854
Packaged Software,55.77777777777778
Food: Specialty/Candy,55.69230769230769
Financial Conglomerates,55.4
Containers/Packaging,54.93333333333333
Life/Health Insurance,54.84615384615385
Biotechnology,54.69230769230769
Miscellaneous Manufacturing,54.125
Electronics Distributors,54.0
Tobacco,53.666666666666664
Other Consumer Services,53.35294117647059
Food: Meat/Fish/Dairy,52.75
Telecommunications Equipment,52.666666666666664
Beverages: Non-Alcoholic,52.166666666666664
Chemicals: Major Diversified,52.0
Electronic Components,52.0
Miscellaneous Commercial Services,51.827586206896555
Homebuilding,51.785714285714285
Specialty Telecommunications,51.25
Apparel/Footwear Retail,50.833333333333336
Industrial Machinery,50.827586206896555
Movies/Entertainment,50.22222222222222
Food Distributors,49.875
Wireless Telecommunications,49.666666666666664
Regional Banks,49.66019417475728
Auto Parts: OEM,48.9
Textiles,48.0
Broadcasting,48.0
Beverages: Alcoholic,46.666666666666664
Media Conglomerates,46.5
Restaurants,45.92857142857143
Automotive Aftermarket,45.0
Household/Personal Care,44.833333333333336
Apparel/Footwear,44.142857142857146
Food: Major Diversified,43.22222222222222
Electronic Equipment/Instruments,42.75
Savings Banks,42.5
Trucks/Construction/Farm Machinery,42.166666666666664
Internet Retail,41.5
Office Equipment/Supplies,40.333333333333336
Recreational Products,39.416666666666664
Tools & Hardware,39.0
Electronics/Appliances,38.25
Industrial Conglomerates,33.142857142857146
Consumer Sundries,31.0
Cable/Satellite TV,30.0
Electronics/Appliance Stores,27.0
Publishing: Newspapers,26.666666666666668
Airlines,26.6
Other Consumer Specialties,26.0
