Industry,RS_Rating
Coal,99.5
Aluminum,97.0
Oil & Gas Production,95.03125
Contract Drilling,93.33333333333333
Integrated Oil,92.53333333333333
Pulp & Paper,90.5
Marine Shipping,89.7
Other Metals/Minerals,89.55555555555556
Chemicals: Agricultural,87.7
Investment Trusts/Mutual Funds,84.0
Oilfield Services/Equipment,81.76923076923077
Steel,80.75
Oil & Gas Pipelines,79.91304347826087
Insurance Brokers/Services,79.85714285714286
Other Transportation,78.5
Computer Communications,77.5
Department Stores,76.5
Casinos/Gaming,75.16666666666667
Food Retail,74.28571428571429
Agricultural Commodities/Milling,72.875
Computer Peripherals,72.4
Oil Refining/Marketing,72.11111111111111
Pharmaceuticals: Generic,72.0
Specialty Stores,71.75
Forest Products,71.4
Air Freight/Couriers,71.14285714285714
Personnel Services,70.14285714285714
Real Estate Development,69.92857142857143
Medical Distributors,69.0
Alternative Power Generation,69.0
Multi-Line Insurance,68.85714285714286
Managed Health Care,68.66666666666667
Engineering & Construction,68.53333333333333
Environmental Services,68.2
Computer Processing Hardware,68.0
Railroads,67.33333333333333
Pharmaceuticals: Major,67.16666666666667
Precious Metals,67.0
Major Banks,66.6923076923077
Wholesale Distributors,66.47368421052632
Internet Software/Services,66.26666666666667
Hotels/Resorts/Cruise lines,66.0
Electronic Production Equipment,65.875
Semiconductors,65.4
Investment Banks/Brokers,65.38095238095238
Specialty Insurance,65.33333333333333
Finance/Rental/Leasing,65.25925925925925
Telecommunications Equipment,65.0
Publishing: Books/Magazines,64.5
Home Improvement Chains,64.0
Metal Fabrication,63.666666666666664
Auto Parts: OEM,63.285714285714285
Pharmaceuticals: Other,63.15384615384615
Major Telecommunications,62.5
Hospital/Nursing Management,62.5
Property/Casualty Insurance,62.166666666666664
Investment Managers,62.114285714285714
Commercial Printing/Forms,62.0
Trucking,61.833333333333336
Aerospace & Defense,61.69565217391305
Water Utilities,61.5
Services to the Health Industry,60.666666666666664
Financial Publishing/Services,60.5
Motor Vehicles,60.0
Industrial Specialties,59.625
Chemicals: Specialty,59.36363636363637
Life/Health Insurance,59.07692307692308
Drugstore Chains,58.5
Packaged Software,58.06818181818182
Miscellaneous Manufacturing,58.0
Information Technology Services,57.90243902439025
Biotechnology,57.12
Advertising/Marketing Services,57.0
Construction Materials,56.6
Electrical Products,56.529411764705884
Electric Utilities,56.266666666666666
Food: Meat/Fish/Dairy,55.75
Broadcasting,55.57142857142857
Data Processing Services,55.46666666666667
Financial Conglomerates,55.4
Discount Stores,55.0
Other Consumer Services,54.9375
Movies/Entertainment,54.833333333333336
Gas Distributors,54.666666666666664
Medical/Nursing Services,54.44444444444444
Food: Specialty/Candy,54.27272727272727
Food Distributors,54.142857142857146
Building Products,53.5
Tobacco,53.333333333333336
Apparel/Footwear Retail,53.0
Medical Specialties,52.97826086956522
Chemicals: Major Diversified,52.875
Wireless Telecommunications,51.625
Regional Banks,51.35294117647059
Electronic Components,51.214285714285715
Electronics Distributors,51.0
Textiles,51.0
Specialty Telecommunications,50.75
Containers/Packaging,50.733333333333334
Homebuilding,50.375
Industrial Machinery,49.3448275862069
Miscellaneous Commercial Services,49.241379310344826
Media Conglomerates,48.5
Beverages: Non-Alcoholic,47.666666666666664
Trucks/Construction/Farm Machinery,46.6875
Apparel/Footwear,45.857142857142854
Food: Major Diversified,44.875
Beverages: Alcoholic,43.333333333333336
Savings Banks,43.07142857142857
Automotive Aftermarket,43.0
Restaurants,42.833333333333336
Household/Personal Care,42.09090909090909
Office Equipment/Supplies,41.0
Electronic Equipment/Instruments,40.125
Electronics/Appliances,39.25
Tools & Hardware,39.0
Recreational Products,38.22222222222222
Internet Retail,36.0
Airlines,35.5
Publishing: Newspapers,30.666666666666668
Industrial Conglomerates,30.142857142857142
Cable/Satellite TV,28.5
Other Consumer Specialties,28.0
Consumer Sundries,26.0
