Industry,Daily_change
Managed Health Care,1.0033333333333332
Life/Health Insurance,0.5861538461538461
Other Consumer Specialties,0.37
Electric Utilities,0.3473913043478261
Investment Trusts/Mutual Funds,0.3
Agricultural Commodities/Milling,0.24000000000000007
Water Utilities,0.13666666666666666
Insurance Brokers/Services,0.07833333333333332
Home Improvement Chains,0.065
Food: Meat/Fish/Dairy,0.02250000000000002
Food: Specialty/Candy,-1.708035422500241e-17
Pharmaceuticals: Major,-0.07333333333333333
Oil Refining/Marketing,-0.07777777777777779
Services to the Health Industry,-0.12000000000000004
Drugstore Chains,-0.16500000000000004
Medical/Nursing Services,-0.18
Property/Casualty Insurance,-0.18055555555555555
Data Processing Services,-0.21266666666666667
Beverages: Alcoholic,-0.21666666666666667
Major Telecommunications,-0.27142857142857135
Financial Publishing/Services,-0.27999999999999997
Food Retail,-0.28375
Financial Conglomerates,-0.28681818181818175
Multi-Line Insurance,-0.30357142857142855
Medical Specialties,-0.3262745098039216
Specialty Telecommunications,-0.3275
Pharmaceuticals: Other,-0.345
Discount Stores,-0.35666666666666663
Gas Distributors,-0.3930769230769231
Industrial Specialties,-0.5033333333333333
Food: Major Diversified,-0.5911111111111111
Tobacco,-0.61
Oil & Gas Pipelines,-0.7051851851851852
Department Stores,-0.71
Publishing: Books/Magazines,-0.725
Advertising/Marketing Services,-0.7366666666666667
Publishing: Newspapers,-0.7366666666666667
Miscellaneous Commercial Services,-0.7493333333333333
Industrial Conglomerates,-0.76
Biotechnology,-0.77
Medical Distributors,-0.8249999999999998
Household/Personal Care,-0.8261538461538461
Wireless Telecommunications,-0.8544444444444443
Specialty Stores,-0.8705882352941177
Environmental Services,-0.906
Investment Banks/Brokers,-0.9609523809523809
Alternative Power Generation,-0.9700000000000001
Coal,-0.9899999999999999
Beverages: Non-Alcoholic,-1.0042857142857142
Major Banks,-1.0192307692307692
Regional Banks,-1.0227083333333333
Cable/Satellite TV,-1.03
Containers/Packaging,-1.058
Construction Materials,-1.105
Tools & Hardware,-1.12
Hotels/Resorts/Cruise lines,-1.124
Savings Banks,-1.1753846153846155
Integrated Oil,-1.215
Chemicals: Major Diversified,-1.252857142857143
Airlines,-1.2566666666666666
Packaged Software,-1.2645652173913045
Computer Communications,-1.3466666666666667
Hospital/Nursing Management,-1.425
Other Consumer Services,-1.468421052631579
Information Technology Services,-1.4897619047619048
Recreational Products,-1.491111111111111
Finance/Rental/Leasing,-1.5079310344827588
Engineering & Construction,-1.5219999999999998
Aerospace & Defense,-1.5495652173913044
Investment Managers,-1.5663888888888888
Internet Software/Services,-1.6117647058823528
Consumer Sundries,-1.62
Movies/Entertainment,-1.6211111111111112
Railroads,-1.6216666666666668
Real Estate Development,-1.662857142857143
Automotive Aftermarket,-1.705
Building Products,-1.7283333333333333
Specialty Insurance,-1.9266666666666667
Personnel Services,-1.931111111111111
Aluminum,-1.9449999999999998
Internet Retail,-1.95
Wholesale Distributors,-1.9684210526315788
Broadcasting,-1.9944444444444445
Electrical Products,-2.0055555555555555
Industrial Machinery,-2.016785714285714
Chemicals: Specialty,-2.0304545454545457
Apparel/Footwear Retail,-2.0433333333333334
Auto Parts: OEM,-2.0885714285714285
Restaurants,-2.129230769230769
Electronics/Appliances,-2.23
Office Equipment/Supplies,-2.2466666666666666
Apparel/Footwear,-2.26625
Electronic Equipment/Instruments,-2.328888888888889
Telecommunications Equipment,-2.3485714285714288
Food Distributors,-2.35
Media Conglomerates,-2.355
Precious Metals,-2.4499999999999997
Chemicals: Agricultural,-2.504
Computer Processing Hardware,-2.522
Steel,-2.5292307692307694
Oil & Gas Production,-2.533030303030303
Trucks/Construction/Farm Machinery,-2.606666666666667
Contract Drilling,-2.6783333333333332
Computer Peripherals,-2.79
Forest Products,-2.7925
Trucking,-2.8433333333333333
Marine Shipping,-2.900714285714286
Pulp & Paper,-2.9699999999999998
Metal Fabrication,-2.9933333333333336
Electronics Distributors,-3.0100000000000002
Miscellaneous Manufacturing,-3.038
Electronic Components,-3.0414285714285714
Casinos/Gaming,-3.123333333333333
Textiles,-3.53
Other Metals/Minerals,-3.6935714285714285
Other Transportation,-3.74
Oilfield Services/Equipment,-3.756875
Homebuilding,-4.27
Motor Vehicles,-4.29
Semiconductors,-4.516923076923077
Air Freight/Couriers,-4.528333333333333
Commercial Printing/Forms,-4.63
Electronic Production Equipment,-6.114
