Industry,Daily_change
Oil Refining/Marketing,4.653333333333333
Oilfield Services/Equipment,2.435714285714286
Tools & Hardware,2.43
Oil & Gas Production,1.8035294117647058
Contract Drilling,1.7685714285714287
Chemicals: Agricultural,1.7449999999999999
Other Metals/Minerals,1.660909090909091
Semiconductors,1.6514285714285715
Integrated Oil,1.6119999999999999
Marine Shipping,1.5884615384615384
Electronics Distributors,1.5066666666666668
Computer Processing Hardware,1.314
Electronic Production Equipment,1.29
Aluminum,1.1500000000000001
Finance/Rental/Leasing,1.1026923076923079
Textiles,0.94
Media Conglomerates,0.94
Motor Vehicles,0.93
Automotive Aftermarket,0.895
Homebuilding,0.8533333333333334
Steel,0.8107692307692307
Forest Products,0.765
Investment Trusts/Mutual Funds,0.7633333333333333
Computer Peripherals,0.7025
Specialty Insurance,0.6275
Gas Distributors,0.6153846153846154
Other Consumer Specialties,0.55
Major Banks,0.5495833333333334
Chemicals: Major Diversified,0.49857142857142855
Specialty Stores,0.4438888888888889
Auto Parts: OEM,0.43999999999999995
Electronics/Appliances,0.4
Life/Health Insurance,0.3946153846153847
Electronic Components,0.3692307692307692
Financial Publishing/Services,0.36
Pulp & Paper,0.34333333333333343
Regional Banks,0.3251612903225806
Wholesale Distributors,0.3185
Multi-Line Insurance,0.29142857142857137
Office Equipment/Supplies,0.27666666666666667
Chemicals: Specialty,0.26869565217391306
Hotels/Resorts/Cruise lines,0.26666666666666666
Savings Banks,0.225
Trucks/Construction/Farm Machinery,0.16642857142857143
Personnel Services,0.15999999999999998
Industrial Machinery,0.15818181818181817
Apparel/Footwear Retail,0.13428571428571429
Financial Conglomerates,0.059999999999999984
Coal,0.010000000000000083
Restaurants,-0.020999999999999998
Apparel/Footwear,-0.027500000000000028
Air Freight/Couriers,-0.04166666666666666
Metal Fabrication,-0.124
Agricultural Commodities/Milling,-0.13000000000000003
Electrical Products,-0.13214285714285715
Food: Meat/Fish/Dairy,-0.1325
Industrial Specialties,-0.1476923076923077
Department Stores,-0.1533333333333333
Electric Utilities,-0.154375
Publishing: Newspapers,-0.16
Electronic Equipment/Instruments,-0.16
Trucking,-0.16999999999999998
Telecommunications Equipment,-0.19499999999999998
Broadcasting,-0.1975
Internet Retail,-0.22
Property/Casualty Insurance,-0.25055555555555553
Aerospace & Defense,-0.27454545454545454
Miscellaneous Manufacturing,-0.27599999999999997
Environmental Services,-0.28777777777777774
Advertising/Marketing Services,-0.29333333333333333
Oil & Gas Pipelines,-0.30279999999999996
Beverages: Alcoholic,-0.30666666666666664
Recreational Products,-0.3425
Medical Distributors,-0.3666666666666667
Engineering & Construction,-0.3866666666666666
Real Estate Development,-0.398
Major Telecommunications,-0.42857142857142855
Other Consumer Services,-0.4411111111111111
Food Retail,-0.4414285714285714
Investment Banks/Brokers,-0.44210526315789467
Drugstore Chains,-0.47
Railroads,-0.505
Industrial Conglomerates,-0.52
Movies/Entertainment,-0.5294117647058824
Miscellaneous Commercial Services,-0.5321212121212121
Food: Major Diversified,-0.545
Computer Communications,-0.5566666666666666
Tobacco,-0.565
Internet Software/Services,-0.5885714285714286
Food: Specialty/Candy,-0.6046153846153846
Investment Managers,-0.6182142857142858
Insurance Brokers/Services,-0.6216666666666667
Food Distributors,-0.6325000000000001
Precious Metals,-0.6433333333333333
Cable/Satellite TV,-0.6616666666666666
Alternative Power Generation,-0.7133333333333334
Airlines,-0.7374999999999999
Data Processing Services,-0.739375
Information Technology Services,-0.8191666666666666
Building Products,-0.8522222222222222
Managed Health Care,-0.8783333333333333
Publishing: Books/Magazines,-0.94
Medical Specialties,-0.9402000000000001
Hospital/Nursing Management,-1.1133333333333333
Containers/Packaging,-1.156
Medical/Nursing Services,-1.16
Beverages: Non-Alcoholic,-1.1657142857142857
Specialty Telecommunications,-1.1825
Discount Stores,-1.19
Packaged Software,-1.2076923076923076
Casinos/Gaming,-1.31
Construction Materials,-1.3266666666666669
Home Improvement Chains,-1.395
Other Transportation,-1.4
Services to the Health Industry,-1.4666666666666668
Wireless Telecommunications,-1.5585714285714285
Household/Personal Care,-1.6891666666666667
Consumer Sundries,-1.72
Pharmaceuticals: Other,-2.205
Biotechnology,-2.3592307692307695
Water Utilities,-2.361666666666667
Pharmaceuticals: Major,-3.1374358974358976
