Industry,Daily_change
Tobacco,2.53
Managed Health Care,2.31
Drugstore Chains,2.25
Food Retail,1.977142857142857
Discount Stores,1.9033333333333333
Electric Utilities,1.8572340425531917
Pharmaceuticals: Major,1.503111111111111
Wireless Telecommunications,1.3722222222222222
Aluminum,1.275
Food: Major Diversified,1.265
Hospital/Nursing Management,1.1516666666666666
Pulp & Paper,1.13
Medical Distributors,1.115
Gas Distributors,1.0884615384615386
Water Utilities,1.0833333333333333
Insurance Brokers/Services,1.0383333333333333
Food: Meat/Fish/Dairy,1.0050000000000001
Automotive Aftermarket,0.965
Oil Refining/Marketing,0.7366666666666667
Specialty Telecommunications,0.6174999999999999
Coal,0.6016666666666666
Commercial Printing/Forms,0.55
Tools & Hardware,0.54
Services to the Health Industry,0.54
Medical/Nursing Services,0.5188888888888888
Beverages: Non-Alcoholic,0.4885714285714285
Food: Specialty/Candy,0.45857142857142863
Property/Casualty Insurance,0.44235294117647056
Major Telecommunications,0.39285714285714285
Oil & Gas Pipelines,0.3695833333333333
Other Metals/Minerals,0.31272727272727274
Specialty Stores,0.2741176470588235
Consumer Sundries,0.27
Oilfield Services/Equipment,0.21846153846153846
Precious Metals,0.2008333333333333
Beverages: Alcoholic,0.15333333333333335
Biotechnology,0.13562499999999997
Industrial Specialties,0.13066666666666674
Multi-Line Insurance,0.09571428571428571
Agricultural Commodities/Milling,0.017500000000000016
Food Distributors,-0.015000000000000013
Restaurants,-0.1441666666666667
Aerospace & Defense,-0.16272727272727278
Integrated Oil,-0.1873333333333333
Industrial Conglomerates,-0.22571428571428573
Containers/Packaging,-0.25
Other Consumer Specialties,-0.31
Financial Publishing/Services,-0.315
Financial Conglomerates,-0.33125000000000004
Alternative Power Generation,-0.34
Pharmaceuticals: Other,-0.35
Life/Health Insurance,-0.35615384615384615
Publishing: Books/Magazines,-0.43000000000000005
Contract Drilling,-0.4314285714285714
Household/Personal Care,-0.45909090909090905
Medical Specialties,-0.4666037735849057
Motor Vehicles,-0.47666666666666657
Office Equipment/Supplies,-0.495
Chemicals: Agricultural,-0.512
Oil & Gas Production,-0.6236363636363635
Department Stores,-0.6400000000000001
Advertising/Marketing Services,-0.68
Textiles,-0.71
Miscellaneous Commercial Services,-0.7632258064516129
Environmental Services,-0.7779999999999999
Investment Trusts/Mutual Funds,-0.8333333333333334
Specialty Insurance,-0.8844444444444446
Wholesale Distributors,-0.89
Auto Parts: OEM,-0.8983333333333334
Industrial Machinery,-0.9043478260869565
Cable/Satellite TV,-0.958
Personnel Services,-1.0171428571428571
Data Processing Services,-1.0406666666666666
Publishing: Newspapers,-1.0733333333333333
Investment Banks/Brokers,-1.0816666666666666
Building Products,-1.089
Other Transportation,-1.17
Chemicals: Specialty,-1.180909090909091
Information Technology Services,-1.1989473684210528
Engineering & Construction,-1.2073333333333334
Trucking,-1.23125
Regional Banks,-1.2402150537634409
Recreational Products,-1.2449999999999999
Packaged Software,-1.2572093023255815
Other Consumer Services,-1.2794444444444446
Steel,-1.3499999999999999
Savings Banks,-1.3684615384615384
Broadcasting,-1.4877777777777776
Railroads,-1.4966666666666668
Major Banks,-1.5031999999999999
Finance/Rental/Leasing,-1.5836
Trucks/Construction/Farm Machinery,-1.6806666666666668
Electronic Equipment/Instruments,-1.7066666666666666
Miscellaneous Manufacturing,-1.734
Electronics Distributors,-1.7666666666666666
Investment Managers,-1.8820588235294118
Apparel/Footwear Retail,-1.9149999999999998
Electronic Components,-1.9653846153846155
Electrical Products,-2.020555555555555
Telecommunications Equipment,-2.0433333333333334
Semiconductors,-2.0483333333333333
Internet Software/Services,-2.0586666666666664
Home Improvement Chains,-2.065
Real Estate Development,-2.07
Computer Processing Hardware,-2.182
Metal Fabrication,-2.1883333333333335
Apparel/Footwear,-2.2728571428571427
Movies/Entertainment,-2.2894444444444444
Construction Materials,-2.43
Computer Peripherals,-2.476
Electronics/Appliances,-2.53
Internet Retail,-2.56
Media Conglomerates,-2.58
Marine Shipping,-2.614
Chemicals: Major Diversified,-2.71
Computer Communications,-2.8649999999999998
Homebuilding,-2.96
Air Freight/Couriers,-3.005
Electronic Production Equipment,-3.4125
Airlines,-3.483333333333333
Forest Products,-3.9699999999999998
Hotels/Resorts/Cruise lines,-4.394444444444444
Casinos/Gaming,-4.904
