Industry,Daily_change
Pulp & Paper,10.42
Food Distributors,5.721666666666667
Casinos/Gaming,5.482
Other Consumer Specialties,5.39
Motor Vehicles,4.94
Electronic Production Equipment,4.742
Chemicals: Major Diversified,4.571428571428571
Pharmaceuticals: Generic,4.52
Apparel/Footwear Retail,4.51
Biotechnology,4.2620000000000005
Insurance Brokers/Services,4.137142857142857
Homebuilding,4.066666666666666
Trucking,4.052222222222222
Financial Conglomerates,3.9857142857142853
Cable/Satellite TV,3.79
Forest Products,3.7325
Electronics Distributors,3.6799999999999997
Internet Software/Services,3.657272727272727
Hotels/Resorts/Cruise lines,3.6571428571428575
Publishing: Newspapers,3.6033333333333335
Investment Banks/Brokers,3.475
Computer Peripherals,3.4066666666666667
Real Estate Development,3.3883333333333336
Computer Communications,3.341666666666667
Major Banks,3.3004000000000002
Semiconductors,3.298421052631579
Hospital/Nursing Management,3.296666666666667
Containers/Packaging,3.2872727272727276
Automotive Aftermarket,3.26
Miscellaneous Manufacturing,3.242
Advertising/Marketing Services,3.24
Recreational Products,3.233333333333333
Telecommunications Equipment,3.23
Miscellaneous Commercial Services,3.225909090909091
Investment Managers,3.155416666666667
Construction Materials,3.1325
Life/Health Insurance,3.0963636363636367
Steel,3.075454545454545
Airlines,2.96
Industrial Machinery,2.95375
Finance/Rental/Leasing,2.9294444444444445
Computer Processing Hardware,2.854
Medical Specialties,2.833529411764706
Metal Fabrication,2.795
Office Equipment/Supplies,2.7649999999999997
Restaurants,2.742
Chemicals: Specialty,2.7133333333333334
Electronics/Appliances,2.6975
Other Consumer Services,2.6950000000000003
Data Processing Services,2.689
Regional Banks,2.6555789473684213
Pharmaceuticals: Major,2.6525
Apparel/Footwear,2.645
Electronic Components,2.6316666666666664
Building Products,2.6276923076923078
Environmental Services,2.6175
Engineering & Construction,2.583846153846154
Movies/Entertainment,2.57875
Aerospace & Defense,2.5233333333333334
Personnel Services,2.4975
Packaged Software,2.435925925925926
Services to the Health Industry,2.4333333333333336
Multi-Line Insurance,2.3771428571428572
Information Technology Services,2.355161290322581
Electrical Products,2.209230769230769
Discount Stores,2.1266666666666665
Specialty Insurance,2.0977777777777775
Property/Casualty Insurance,2.0658823529411765
Auto Parts: OEM,2.006666666666667
Savings Banks,1.9838461538461538
Specialty Telecommunications,1.9533333333333331
Financial Publishing/Services,1.915
Other Metals/Minerals,1.84375
Air Freight/Couriers,1.7919999999999998
Beverages: Non-Alcoholic,1.78
Specialty Stores,1.7029411764705882
Trucks/Construction/Farm Machinery,1.693076923076923
Wireless Telecommunications,1.69
Managed Health Care,1.5599999999999998
Industrial Conglomerates,1.5166666666666666
Medical Distributors,1.4716666666666667
Other Transportation,1.4700000000000002
Wholesale Distributors,1.4486666666666668
Textiles,1.43
Medical/Nursing Services,1.3814285714285715
Chemicals: Agricultural,1.32375
Drugstore Chains,1.29
Electronic Equipment/Instruments,1.2133333333333334
Household/Personal Care,1.14
Agricultural Commodities/Milling,1.0357142857142858
Department Stores,1.02
Food: Meat/Fish/Dairy,0.965
Pharmaceuticals: Other,0.8833333333333333
Major Telecommunications,0.75
Home Improvement Chains,0.6599999999999999
Tools & Hardware,0.65
Industrial Specialties,0.631
Tobacco,0.46
Beverages: Alcoholic,0.4533333333333333
Publishing: Books/Magazines,0.375
Food: Major Diversified,0.37
Alternative Power Generation,0.26833333333333337
Food: Specialty/Candy,0.23900000000000005
Media Conglomerates,0.08
Railroads,0.031666666666666655
Marine Shipping,-0.15818181818181815
Broadcasting,-0.274
Electric Utilities,-0.37636363636363634
Precious Metals,-0.42461538461538456
Water Utilities,-0.765
Food Retail,-0.8616666666666667
Investment Trusts/Mutual Funds,-0.93
Oil & Gas Pipelines,-1.2370833333333333
Gas Distributors,-1.415
Oil & Gas Production,-1.705
Oil Refining/Marketing,-1.7475
Integrated Oil,-1.8686666666666667
Aluminum,-2.465
Contract Drilling,-2.9499999999999997
Coal,-2.983333333333333
Oilfield Services/Equipment,-4.047272727272728
