Industry,Daily_change
Contract Drilling,9.125714285714286
Coal,6.386666666666667
Airlines,5.71125
Aluminum,5.285
Hotels/Resorts/Cruise lines,5.0811111111111105
Steel,4.0216666666666665
Homebuilding,3.75
Other Transportation,3.47
Oil Refining/Marketing,3.328888888888889
Casinos/Gaming,3.2816666666666667
Internet Retail,3.1799999999999997
Movies/Entertainment,2.8272222222222223
Computer Communications,2.7433333333333336
Chemicals: Agricultural,2.675
Marine Shipping,2.5999999999999996
Pharmaceuticals: Major,2.5943478260869566
Cable/Satellite TV,2.556
Precious Metals,2.549285714285714
Oil & Gas Production,2.5363636363636366
Investment Trusts/Mutual Funds,2.5066666666666664
Publishing: Newspapers,2.5066666666666664
Chemicals: Specialty,2.5016666666666665
Other Consumer Services,2.473333333333333
Forest Products,2.4375
Apparel/Footwear,2.348333333333333
Other Metals/Minerals,2.330909090909091
Trucking,2.3085714285714287
Internet Software/Services,2.2820000000000005
Integrated Oil,2.232666666666667
Biotechnology,2.1728571428571426
Agricultural Commodities/Milling,2.165
Office Equipment/Supplies,2.0966666666666662
Food Distributors,2.035
Packaged Software,2.0235555555555558
Pulp & Paper,1.91
Metal Fabrication,1.8966666666666665
Electrical Products,1.8920000000000001
Real Estate Development,1.8891666666666669
Investment Banks/Brokers,1.8711111111111112
Motor Vehicles,1.8566666666666667
Telecommunications Equipment,1.7879999999999998
Investment Managers,1.7765625
Electronics Distributors,1.7066666666666668
Data Processing Services,1.6923529411764706
Apparel/Footwear Retail,1.6857142857142857
Wireless Telecommunications,1.6855555555555555
Air Freight/Couriers,1.6733333333333336
Savings Banks,1.67
Semiconductors,1.667142857142857
Industrial Specialties,1.6526666666666665
Medical Specialties,1.6423076923076925
Computer Peripherals,1.636
Commercial Printing/Forms,1.61
Oilfield Services/Equipment,1.5415384615384615
Building Products,1.482
Electronic Components,1.46
Engineering & Construction,1.456
Life/Health Insurance,1.4553846153846155
Wholesale Distributors,1.4331578947368422
Specialty Insurance,1.4325
Media Conglomerates,1.425
Publishing: Books/Magazines,1.365
Miscellaneous Commercial Services,1.36
Finance/Rental/Leasing,1.3272
Information Technology Services,1.2857894736842106
Department Stores,1.26
Specialty Stores,1.2566666666666668
Regional Banks,1.2536559139784946
Industrial Conglomerates,1.25
Miscellaneous Manufacturing,1.22
Medical/Nursing Services,1.2177777777777776
Personnel Services,1.21
Computer Processing Hardware,1.21
Other Consumer Specialties,1.2
Containers/Packaging,1.194
Chemicals: Major Diversified,1.1757142857142857
Electronic Production Equipment,1.145
Railroads,1.125
Aerospace & Defense,1.1017391304347826
Recreational Products,1.0977777777777777
Electronics/Appliances,1.0933333333333335
Managed Health Care,1.0166666666666666
Discount Stores,1.0150000000000001
Home Improvement Chains,1.01
Industrial Machinery,1.0004545454545453
Electronic Equipment/Instruments,0.9500000000000001
Specialty Telecommunications,0.9199999999999999
Food Retail,0.89
Food: Meat/Fish/Dairy,0.865
Food: Major Diversified,0.8550000000000001
Pharmaceuticals: Other,0.835
Construction Materials,0.8200000000000001
Restaurants,0.8141666666666666
Trucks/Construction/Farm Machinery,0.7935714285714285
Insurance Brokers/Services,0.7833333333333333
Major Telecommunications,0.76
Textiles,0.75
Advertising/Marketing Services,0.73
Beverages: Alcoholic,0.6933333333333334
Medical Distributors,0.6766666666666667
Multi-Line Insurance,0.62
Auto Parts: OEM,0.6033333333333334
Tobacco,0.5925
Major Banks,0.585
Drugstore Chains,0.58
Automotive Aftermarket,0.5549999999999999
Food: Specialty/Candy,0.5353846153846153
Oil & Gas Pipelines,0.4845833333333333
Broadcasting,0.4475
Household/Personal Care,0.4291666666666667
Financial Conglomerates,0.22374999999999995
Services to the Health Industry,0.20999999999999996
Financial Publishing/Services,0.10500000000000001
Property/Casualty Insurance,0.10411764705882354
Hospital/Nursing Management,0.0666666666666667
Beverages: Non-Alcoholic,0.05571428571428567
Tools & Hardware,0.04
Environmental Services,-0.23800000000000004
Gas Distributors,-0.26153846153846155
Electric Utilities,-0.2763829787234043
Alternative Power Generation,-0.40833333333333327
Consumer Sundries,-0.48
Water Utilities,-1.4649999999999999
