Industry,Daily_change
Forest Products,6.44
Pulp & Paper,4.34
Hospital/Nursing Management,4.175
Construction Materials,3.1
Advertising/Marketing Services,2.9133333333333336
Managed Health Care,2.5966666666666667
Home Improvement Chains,2.5949999999999998
Drugstore Chains,2.37
Agricultural Commodities/Milling,2.32875
Food Distributors,2.15125
Computer Processing Hardware,2.148
Services to the Health Industry,2.143333333333333
Trucking,2.045
Electronics Distributors,2.0325
Electronic Production Equipment,1.9966666666666668
Insurance Brokers/Services,1.9816666666666667
Oil & Gas Production,1.961142857142857
Water Utilities,1.905
Building Products,1.8708333333333333
Beverages: Alcoholic,1.8233333333333333
Office Equipment/Supplies,1.82
Containers/Packaging,1.768125
Medical Specialties,1.7612727272727273
Alternative Power Generation,1.735
Oil & Gas Pipelines,1.7151999999999998
Precious Metals,1.6649999999999998
Integrated Oil,1.6433333333333333
Pharmaceuticals: Other,1.6199999999999999
Medical/Nursing Services,1.6188888888888888
Other Transportation,1.5750000000000002
Miscellaneous Manufacturing,1.5533333333333335
Beverages: Non-Alcoholic,1.5485714285714285
Life/Health Insurance,1.5415384615384615
Computer Peripherals,1.5379999999999998
Property/Casualty Insurance,1.535
Multi-Line Insurance,1.5
Investment Trusts/Mutual Funds,1.5
Medical Distributors,1.4266666666666667
Specialty Insurance,1.3775
Metal Fabrication,1.3619999999999999
Other Consumer Services,1.3250000000000002
Food: Specialty/Candy,1.2364285714285714
Real Estate Development,1.2283333333333333
Wholesale Distributors,1.2071428571428573
Electronic Equipment/Instruments,1.17625
Personnel Services,1.1533333333333333
Electronic Components,1.135
Automotive Aftermarket,1.13
Industrial Machinery,1.1296
Household/Personal Care,1.1033333333333333
Savings Banks,1.0966666666666667
Gas Distributors,1.0523076923076924
Chemicals: Major Diversified,1.045
Food: Major Diversified,1.0422222222222222
Electric Utilities,1.0182978723404255
Data Processing Services,0.9894117647058823
Electrical Products,0.9305882352941177
Chemicals: Specialty,0.9304166666666666
Pharmaceuticals: Major,0.9107317073170732
Industrial Conglomerates,0.8916666666666667
Other Consumer Specialties,0.89
Tobacco,0.875
Trucks/Construction/Farm Machinery,0.8512500000000001
Major Banks,0.8116666666666666
Miscellaneous Commercial Services,0.7935294117647059
Discount Stores,0.7725
Regional Banks,0.7711702127659574
Restaurants,0.7408333333333333
Investment Managers,0.7121875
Telecommunications Equipment,0.6900000000000001
Major Telecommunications,0.6842857142857143
Industrial Specialties,0.6366666666666667
Oil Refining/Marketing,0.6140000000000001
Real Estate Investment Trusts,0.59
Biotechnology,0.5664285714285714
Apparel/Footwear Retail,0.5466666666666666
Electronics/Appliances,0.53
Broadcasting,0.4828571428571428
Information Technology Services,0.46684210526315784
Financial Publishing/Services,0.46499999999999997
Hotels/Resorts/Cruise lines,0.44
Semiconductors,0.43952380952380954
Environmental Services,0.43200000000000005
Investment Banks/Brokers,0.417
Engineering & Construction,0.4066666666666666
Aerospace & Defense,0.35434782608695653
Finance/Rental/Leasing,0.3459259259259259
Wireless Telecommunications,0.34428571428571425
Computer Communications,0.3166666666666667
Casinos/Gaming,0.27666666666666667
Publishing: Books/Magazines,0.27
Homebuilding,0.255
Air Freight/Couriers,0.21666666666666665
Specialty Stores,0.20400000000000001
Coal,0.19166666666666674
Airlines,0.18999999999999997
Financial Conglomerates,0.1600000000000001
Food: Meat/Fish/Dairy,0.14
Department Stores,0.13999999999999999
Packaged Software,0.07023255813953486
Other Metals/Minerals,-0.02899999999999987
Consumer Sundries,-0.05
Railroads,-0.05000000000000001
Textiles,-0.07
Publishing: Newspapers,-0.10999999999999999
Specialty Telecommunications,-0.1225
Contract Drilling,-0.13285714285714284
Food Retail,-0.1628571428571428
Recreational Products,-0.189
Auto Parts: OEM,-0.22714285714285734
Tools & Hardware,-0.24
Apparel/Footwear,-0.24875
Movies/Entertainment,-0.35
Steel,-0.49153846153846154
Oilfield Services/Equipment,-0.5126666666666666
Chemicals: Agricultural,-0.843
Aluminum,-0.845
Marine Shipping,-1.0657142857142858
Internet Software/Services,-1.270714285714286
Motor Vehicles,-1.39
Internet Retail,-1.575
Media Conglomerates,-1.6900000000000002
Cable/Satellite TV,-2.105
