Industry,Daily_change
Advertising/Marketing Services,15.08
Personnel Services,5.57
Office Equipment/Supplies,4.01
Internet Retail,3.89
Home Improvement Chains,3.85
Discount Stores,3.2600000000000002
Managed Health Care,3.073333333333333
Medical Distributors,2.875
Consumer Sundries,2.86
Other Consumer Services,2.7613333333333334
Airlines,2.65
Semiconductors,2.5981481481481485
Automotive Aftermarket,2.54
Hotels/Resorts/Cruise lines,2.491111111111111
Other Consumer Specialties,2.49
Motor Vehicles,2.48
Insurance Brokers/Services,2.468571428571429
Drugstore Chains,2.465
Electronics/Appliances,2.4274999999999998
Containers/Packaging,2.4014285714285712
Tobacco,2.333333333333333
Beverages: Non-Alcoholic,2.2800000000000002
Services to the Health Industry,2.276666666666667
Data Processing Services,2.267857142857143
Miscellaneous Manufacturing,2.2514285714285713
Construction Materials,2.196
Beverages: Alcoholic,2.19
Specialty Stores,2.174736842105263
Investment Banks/Brokers,2.171578947368421
Pharmaceuticals: Generic,2.06
Cable/Satellite TV,2.05
Property/Casualty Insurance,2.0316666666666667
Household/Personal Care,1.991818181818182
Publishing: Books/Magazines,1.91
Building Products,1.8933333333333333
Forest Products,1.89
Casinos/Gaming,1.8479999999999996
Specialty Insurance,1.8066666666666669
Water Utilities,1.79
Multi-Line Insurance,1.7057142857142857
Food Retail,1.5942857142857143
Major Banks,1.5288461538461537
Movies/Entertainment,1.5005555555555556
Finance/Rental/Leasing,1.4704166666666667
Food: Specialty/Candy,1.4620000000000002
Aerospace & Defense,1.4442857142857142
Financial Publishing/Services,1.3849999999999998
Food: Major Diversified,1.3755555555555556
Alternative Power Generation,1.3216666666666665
Department Stores,1.305
Environmental Services,1.2944444444444445
Medical Specialties,1.2916666666666667
Industrial Machinery,1.2707407407407407
Internet Software/Services,1.241818181818182
Miscellaneous Commercial Services,1.2373076923076924
Industrial Conglomerates,1.2316666666666667
Trucking,1.1327272727272726
Wholesale Distributors,1.0677777777777777
Electronics Distributors,1.0425
Life/Health Insurance,1.013076923076923
Food Distributors,0.935
Electric Utilities,0.8288888888888888
Apparel/Footwear Retail,0.8200000000000001
Electrical Products,0.7485714285714286
Steel,0.7383333333333334
Metal Fabrication,0.66
Specialty Telecommunications,0.65
Pharmaceuticals: Major,0.6428571428571429
Information Technology Services,0.6202857142857143
Air Freight/Couriers,0.6133333333333334
Homebuilding,0.5800000000000001
Regional Banks,0.5785858585858586
Investment Managers,0.574
Savings Banks,0.5692857142857143
Real Estate Development,0.5485714285714286
Restaurants,0.49272727272727274
Media Conglomerates,0.4899999999999999
Gas Distributors,0.46749999999999997
Electronic Equipment/Instruments,0.4483333333333333
Computer Communications,0.40833333333333327
Major Telecommunications,0.36833333333333335
Apparel/Footwear,0.365
Chemicals: Specialty,0.362
Textiles,0.36
Engineering & Construction,0.33153846153846156
Medical/Nursing Services,0.3125
Electronic Production Equipment,0.2733333333333335
Broadcasting,0.27333333333333326
Chemicals: Major Diversified,0.18875
Telecommunications Equipment,0.18250000000000008
Trucks/Construction/Farm Machinery,0.16749999999999998
Pharmaceuticals: Other,0.12583333333333332
Coal,0.11333333333333329
Pulp & Paper,0.10999999999999988
Electronic Components,0.03538461538461539
Industrial Specialties,-0.02571428571428577
Computer Peripherals,-0.15749999999999997
Packaged Software,-0.22374999999999995
Wireless Telecommunications,-0.22555555555555554
Agricultural Commodities/Milling,-0.27571428571428575
Auto Parts: OEM,-0.40285714285714286
Recreational Products,-0.4166666666666667
Railroads,-0.4183333333333333
Publishing: Newspapers,-0.9066666666666666
Computer Processing Hardware,-1.1099999999999999
Hospital/Nursing Management,-1.14
Financial Conglomerates,-1.17375
Biotechnology,-1.2904761904761906
Food: Meat/Fish/Dairy,-1.47
Tools & Hardware,-1.51
Investment Trusts/Mutual Funds,-1.95
Precious Metals,-2.5392857142857146
Other Transportation,-2.69
Aluminum,-2.695
Marine Shipping,-2.752
Other Metals/Minerals,-3.2066666666666666
Chemicals: Agricultural,-3.362222222222222
Oil & Gas Pipelines,-3.637142857142857
Oil & Gas Production,-4.226129032258064
Integrated Oil,-4.532666666666667
Oil Refining/Marketing,-8.865555555555554
Contract Drilling,-9.281666666666666
Oilfield Services/Equipment,-9.349166666666667
