Industry,Daily_change
Steel,4.875
Semiconductors,4.126052631578947
Electronic Production Equipment,4.073
Chemicals: Agricultural,3.226
Telecommunications Equipment,2.688
Computer Communications,2.601666666666667
Publishing: Newspapers,2.4933333333333336
Food Distributors,2.4562500000000003
Airlines,2.292
Restaurants,2.29
Hotels/Resorts/Cruise lines,2.281111111111111
Commercial Printing/Forms,2.27
Oil Refining/Marketing,2.223333333333333
Financial Conglomerates,2.162
Other Consumer Services,2.121176470588235
Computer Peripherals,2.0300000000000002
Managed Health Care,2.0083333333333333
Electronic Equipment/Instruments,1.9875
Agricultural Commodities/Milling,1.98625
Other Metals/Minerals,1.9688888888888891
Electrical Products,1.8647058823529412
Chemicals: Specialty,1.8282608695652172
Biotechnology,1.8174074074074074
Aerospace & Defense,1.7752173913043479
Textiles,1.65
Electronic Components,1.6435714285714285
Broadcasting,1.6171428571428572
Oil & Gas Pipelines,1.5539130434782606
Publishing: Books/Magazines,1.525
Motor Vehicles,1.5150000000000001
Casinos/Gaming,1.51
Medical Specialties,1.4826
Water Utilities,1.4649999999999999
Apparel/Footwear,1.462857142857143
Computer Processing Hardware,1.422
Cable/Satellite TV,1.39
Construction Materials,1.3699999999999999
Life/Health Insurance,1.3699999999999999
Specialty Insurance,1.318888888888889
Medical/Nursing Services,1.315
Pharmaceuticals: Major,1.2847058823529411
Packaged Software,1.251111111111111
Beverages: Alcoholic,1.23
Multi-Line Insurance,1.217142857142857
Engineering & Construction,1.186
Information Technology Services,1.1741463414634146
Internet Retail,1.1700000000000002
Drugstore Chains,1.17
Investment Banks/Brokers,1.169090909090909
Hospital/Nursing Management,1.135
Gas Distributors,1.1183333333333334
Miscellaneous Commercial Services,1.0893103448275863
Insurance Brokers/Services,1.0728571428571427
Media Conglomerates,1.0350000000000001
Integrated Oil,1.0306666666666666
Finance/Rental/Leasing,1.0251851851851852
Movies/Entertainment,0.9655555555555555
Food: Major Diversified,0.9612499999999999
Property/Casualty Insurance,0.9555555555555555
Air Freight/Couriers,0.955
Internet Software/Services,0.9425
Trucks/Construction/Farm Machinery,0.941875
Regional Banks,0.9150980392156863
Personnel Services,0.91375
Pharmaceuticals: Other,0.8969230769230769
Industrial Machinery,0.8806896551724137
Investment Managers,0.878157894736842
Industrial Specialties,0.8411764705882353
Chemicals: Major Diversified,0.81625
Food: Meat/Fish/Dairy,0.8049999999999999
Financial Publishing/Services,0.76
Savings Banks,0.7485714285714286
Department Stores,0.735
Railroads,0.7216666666666667
Electric Utilities,0.7168888888888888
Discount Stores,0.7166666666666668
Alternative Power Generation,0.7116666666666666
Medical Distributors,0.7033333333333333
Real Estate Development,0.6964285714285714
Containers/Packaging,0.656
Beverages: Non-Alcoholic,0.6366666666666666
Food: Specialty/Candy,0.6115384615384616
Oil & Gas Production,0.6053125
Wireless Telecommunications,0.5650000000000001
Major Banks,0.5576923076923077
Services to the Health Industry,0.5366666666666666
Automotive Aftermarket,0.535
Apparel/Footwear Retail,0.48333333333333334
Food Retail,0.3614285714285715
Oilfield Services/Equipment,0.3438461538461538
Investment Trusts/Mutual Funds,0.29
Industrial Conglomerates,0.2814285714285714
Miscellaneous Manufacturing,0.25333333333333335
Household/Personal Care,0.23818181818181816
Contract Drilling,0.22333333333333338
Environmental Services,0.22199999999999998
Tobacco,0.21999999999999997
Wholesale Distributors,0.20157894736842105
Data Processing Services,0.193125
Specialty Stores,0.1665
Trucking,0.15666666666666665
Specialty Telecommunications,0.15
Advertising/Marketing Services,0.11333333333333329
Recreational Products,0.006666666666666672
Tools & Hardware,-0.12
Consumer Sundries,-0.12
Major Telecommunications,-0.1366666666666667
Precious Metals,-0.155
Aluminum,-0.16999999999999998
Metal Fabrication,-0.25666666666666665
Auto Parts: OEM,-0.27
Other Consumer Specialties,-0.47
Building Products,-0.583076923076923
Home Improvement Chains,-0.595
Electronics/Appliances,-0.7424999999999999
Pharmaceuticals: Generic,-0.87
Marine Shipping,-1.075
Coal,-1.315
Electronics Distributors,-1.3175
Other Transportation,-1.475
Pulp & Paper,-1.53
Homebuilding,-2.0816666666666666
Office Equipment/Supplies,-2.776666666666667
Forest Products,-3.592
