Industry,Daily_change
Coal,8.511666666666667
Oilfield Services/Equipment,3.286923076923077
Contract Drilling,2.542857142857143
Department Stores,2.3899999999999997
Forest Products,2.3325
Consumer Sundries,2.21
Oil & Gas Production,2.123030303030303
Oil & Gas Pipelines,1.9929166666666667
Electronic Production Equipment,1.96
Marine Shipping,1.6133333333333333
Steel,1.4283333333333335
Apparel/Footwear,1.4216666666666666
Hospital/Nursing Management,1.3950000000000002
Apparel/Footwear Retail,1.3925
Personnel Services,1.3871428571428572
Publishing: Books/Magazines,1.32
Wireless Telecommunications,1.2877777777777777
Medical Distributors,1.2633333333333334
Integrated Oil,1.206
Chemicals: Agricultural,1.187
Wholesale Distributors,1.1235294117647059
Pulp & Paper,1.1
Hotels/Resorts/Cruise lines,1.0133333333333334
Other Metals/Minerals,1.0127272727272727
Airlines,0.93
Casinos/Gaming,0.9066666666666666
Engineering & Construction,0.904
Electronic Components,0.8284615384615385
Chemicals: Specialty,0.8150000000000001
Aerospace & Defense,0.7999999999999999
Beverages: Non-Alcoholic,0.7942857142857144
Textiles,0.79
Precious Metals,0.7628571428571428
Electronics/Appliances,0.7599999999999999
Media Conglomerates,0.735
Tobacco,0.73
Pharmaceuticals: Other,0.7
Discount Stores,0.6975
Oil Refining/Marketing,0.6922222222222223
Automotive Aftermarket,0.645
Miscellaneous Manufacturing,0.61
Beverages: Alcoholic,0.6033333333333334
Agricultural Commodities/Milling,0.5942857142857143
Other Transportation,0.56
Internet Retail,0.5466666666666665
Finance/Rental/Leasing,0.505
Electric Utilities,0.4995744680851064
Food: Specialty/Candy,0.48538461538461536
Trucks/Construction/Farm Machinery,0.47923076923076924
Other Consumer Services,0.449375
Movies/Entertainment,0.42944444444444446
Aluminum,0.4
Gas Distributors,0.3992307692307693
Broadcasting,0.34125
Medical/Nursing Services,0.3244444444444445
Packaged Software,0.2519047619047619
Building Products,0.245
Railroads,0.24
Semiconductors,0.22000000000000003
Miscellaneous Commercial Services,0.21354838709677418
Food: Major Diversified,0.16624999999999998
Auto Parts: OEM,0.16333333333333336
Real Estate Development,0.129
Specialty Telecommunications,0.11000000000000004
Motor Vehicles,0.10999999999999995
Telecommunications Equipment,0.10399999999999995
Industrial Machinery,0.023636363636363636
Restaurants,0.01727272727272725
Industrial Conglomerates,-0.01833333333333333
Metal Fabrication,-0.02799999999999998
Computer Communications,-0.04833333333333334
Computer Processing Hardware,-0.06999999999999998
Pharmaceuticals: Major,-0.09666666666666668
Information Technology Services,-0.0991891891891892
Tools & Hardware,-0.1
Multi-Line Insurance,-0.11214285714285714
Data Processing Services,-0.126
Water Utilities,-0.13
Drugstore Chains,-0.135
Chemicals: Major Diversified,-0.1571428571428571
Food Distributors,-0.1625
Home Improvement Chains,-0.18
Industrial Specialties,-0.1846666666666667
Recreational Products,-0.21222222222222223
Major Telecommunications,-0.28285714285714286
Medical Specialties,-0.2844897959183673
Household/Personal Care,-0.30916666666666665
Specialty Stores,-0.3344444444444445
Specialty Insurance,-0.3425
Food: Meat/Fish/Dairy,-0.39249999999999996
Electrical Products,-0.4086666666666667
Advertising/Marketing Services,-0.42
Savings Banks,-0.42400000000000004
Internet Software/Services,-0.4423076923076923
Managed Health Care,-0.4533333333333333
Financial Conglomerates,-0.45875
Office Equipment/Supplies,-0.4766666666666666
Investment Trusts/Mutual Funds,-0.5066666666666667
Construction Materials,-0.5066666666666667
Air Freight/Couriers,-0.5275
Property/Casualty Insurance,-0.5305882352941176
Biotechnology,-0.5758333333333333
Containers/Packaging,-0.6146666666666667
Investment Managers,-0.6713793103448276
Investment Banks/Brokers,-0.7005882352941176
Life/Health Insurance,-0.7023076923076924
Regional Banks,-0.7075555555555556
Publishing: Newspapers,-0.7166666666666667
Environmental Services,-0.717
Computer Peripherals,-0.732
Homebuilding,-0.8200000000000001
Electronics Distributors,-0.8533333333333334
Major Banks,-0.9495999999999999
Trucking,-0.98
Commercial Printing/Forms,-1.0
Cable/Satellite TV,-1.0
Electronic Equipment/Instruments,-1.21
Services to the Health Industry,-1.22
Other Consumer Specialties,-1.22
Financial Publishing/Services,-1.3599999999999999
Insurance Brokers/Services,-1.4933333333333334
Alternative Power Generation,-1.6016666666666666
Food Retail,-2.542857142857143
