Industry,Daily_change
Oil Refining/Marketing,7.927777777777777
Media Conglomerates,5.55
Pulp & Paper,4.58
Hotels/Resorts/Cruise lines,3.3349999999999995
Coal,2.7616666666666667
Marine Shipping,2.6875
Casinos/Gaming,2.6824999999999997
Alternative Power Generation,2.575
Other Metals/Minerals,2.55
Trucks/Construction/Farm Machinery,2.5175
Engineering & Construction,2.42
Oilfield Services/Equipment,2.387272727272727
Electronic Production Equipment,2.35
Apparel/Footwear Retail,2.3233333333333337
Contract Drilling,2.1750000000000003
Wholesale Distributors,1.9366666666666668
Cable/Satellite TV,1.77
Department Stores,1.66
Semiconductors,1.643125
Financial Conglomerates,1.6383333333333334
Other Consumer Services,1.5210000000000001
Movies/Entertainment,1.2853333333333332
Publishing: Newspapers,1.16
Restaurants,1.1175
Tools & Hardware,1.08
Electrical Products,1.0476923076923077
Discount Stores,1.015
Broadcasting,0.9600000000000002
Life/Health Insurance,0.96
Computer Processing Hardware,0.9549999999999998
Precious Metals,0.8085714285714286
Airlines,0.77
Major Banks,0.7539130434782608
Specialty Stores,0.6849999999999999
Apparel/Footwear,0.605
Metal Fabrication,0.5775
Oil & Gas Pipelines,0.5372
Electronic Components,0.53
Specialty Telecommunications,0.48
Finance/Rental/Leasing,0.47312499999999996
Construction Materials,0.47
Industrial Machinery,0.46578947368421053
Medical/Nursing Services,0.41
Advertising/Marketing Services,0.39
Regional Banks,0.3628409090909091
Chemicals: Major Diversified,0.274
Financial Publishing/Services,0.21500000000000002
Building Products,0.15666666666666662
Real Estate Development,0.11583333333333333
Investment Managers,0.08647058823529416
Biotechnology,0.05294117647058828
Multi-Line Insurance,-0.0021428571428571686
Industrial Specialties,-0.06555555555555558
Computer Communications,-0.08400000000000003
Industrial Conglomerates,-0.11333333333333333
Auto Parts: OEM,-0.11500000000000005
Savings Banks,-0.11583333333333334
Homebuilding,-0.17250000000000004
Electronics Distributors,-0.17666666666666667
Electronic Equipment/Instruments,-0.25
Air Freight/Couriers,-0.3339999999999999
Pharmaceuticals: Major,-0.3507142857142857
Telecommunications Equipment,-0.365
Integrated Oil,-0.43600000000000005
Specialty Insurance,-0.47500000000000003
Drugstore Chains,-0.54
Pharmaceuticals: Other,-0.5408333333333334
Chemicals: Specialty,-0.6230769230769232
Investment Trusts/Mutual Funds,-0.63
Textiles,-0.7
Home Improvement Chains,-0.7100000000000001
Miscellaneous Commercial Services,-0.7185
Automotive Aftermarket,-0.77
Electric Utilities,-0.8032558139534883
Oil & Gas Production,-0.878125
Agricultural Commodities/Milling,-0.9071428571428571
Property/Casualty Insurance,-0.9156249999999999
Packaged Software,-0.9365217391304348
Wireless Telecommunications,-0.938
Gas Distributors,-1.026
Food: Meat/Fish/Dairy,-1.0366666666666668
Hospital/Nursing Management,-1.0975
Recreational Products,-1.1139999999999999
Personnel Services,-1.1525
Environmental Services,-1.28125
Beverages: Alcoholic,-1.3133333333333335
Information Technology Services,-1.345925925925926
Miscellaneous Manufacturing,-1.3960000000000001
Medical Distributors,-1.4766666666666666
Publishing: Books/Magazines,-1.54
Tobacco,-1.55
Office Equipment/Supplies,-1.58
Food Retail,-1.655
Managed Health Care,-1.656666666666667
Internet Software/Services,-1.6675
Data Processing Services,-1.755
Containers/Packaging,-1.7955555555555556
Electronics/Appliances,-1.83
Services to the Health Industry,-1.96
Major Telecommunications,-2.2175000000000002
Household/Personal Care,-2.315714285714286
Water Utilities,-2.4283333333333332
Investment Banks/Brokers,-2.4792857142857145
Aerospace & Defense,-2.495
Other Transportation,-2.515
Trucking,-2.5825
Forest Products,-2.715
Computer Peripherals,-2.7899999999999996
Railroads,-2.936666666666667
Steel,-3.002727272727273
Chemicals: Agricultural,-3.02125
Beverages: Non-Alcoholic,-3.073333333333333
Medical Specialties,-3.201379310344828
Insurance Brokers/Services,-3.3333333333333335
Food: Specialty/Candy,-3.404
Food: Major Diversified,-4.49875
Food Distributors,-4.956666666666667
Aluminum,-6.34
