Industry,Daily_change
Aluminum,7.32
Coal,5.868333333333333
Contract Drilling,5.57
Oil & Gas Production,5.48875
Other Metals/Minerals,4.792222222222223
Chemicals: Agricultural,4.681111111111111
Apparel/Footwear,3.643333333333333
Oil Refining/Marketing,3.501111111111111
Computer Peripherals,3.374
Oilfield Services/Equipment,3.3433333333333333
Integrated Oil,3.177333333333333
Media Conglomerates,3.11
Investment Trusts/Mutual Funds,2.91
Medical Specialties,2.609375
Precious Metals,2.4499999999999997
Financial Publishing/Services,2.435
Discount Stores,2.433333333333333
Chemicals: Specialty,2.4022727272727273
Internet Retail,2.4000000000000004
Consumer Sundries,2.39
Medical Distributors,2.305
Electronic Production Equipment,2.285555555555556
Apparel/Footwear Retail,2.231666666666667
Publishing: Newspapers,2.19
Biotechnology,2.1873913043478264
Pulp & Paper,2.1399999999999997
Forest Products,2.075
Steel,2.0158333333333336
Tools & Hardware,2.0
Commercial Printing/Forms,2.0
Pharmaceuticals: Major,1.992
Packaged Software,1.86875
Oil & Gas Pipelines,1.7826086956521738
Construction Materials,1.7060000000000002
Aerospace & Defense,1.6973913043478261
Metal Fabrication,1.6633333333333333
Electronic Equipment/Instruments,1.66
Wholesale Distributors,1.5685714285714285
Homebuilding,1.5208333333333333
Investment Managers,1.494705882352941
Information Technology Services,1.4856410256410255
Home Improvement Chains,1.4849999999999999
Pharmaceuticals: Other,1.4823076923076923
Food: Specialty/Candy,1.4749999999999999
Other Consumer Specialties,1.43
Managed Health Care,1.425
Building Products,1.4170588235294117
Personnel Services,1.3714285714285714
Specialty Stores,1.3647619047619048
Hospital/Nursing Management,1.3633333333333333
Agricultural Commodities/Milling,1.3587500000000001
Internet Software/Services,1.3586666666666667
Marine Shipping,1.358
Air Freight/Couriers,1.3175
Semiconductors,1.2965625
Miscellaneous Commercial Services,1.2775862068965516
Other Transportation,1.24
Insurance Brokers/Services,1.2242857142857144
Financial Conglomerates,1.218
Engineering & Construction,1.2075
Advertising/Marketing Services,1.1766666666666667
Electronic Components,1.1764285714285714
Alternative Power Generation,1.17
Other Consumer Services,1.1575
Trucks/Construction/Farm Machinery,1.1288235294117648
Containers/Packaging,1.0966666666666667
Investment Banks/Brokers,1.0452380952380953
Water Utilities,1.045
Wireless Telecommunications,1.0244444444444445
Computer Communications,1.015
Finance/Rental/Leasing,0.9692592592592594
Department Stores,0.9666666666666667
Data Processing Services,0.9540000000000001
Services to the Health Industry,0.9233333333333333
Pharmaceuticals: Generic,0.92
Multi-Line Insurance,0.9135714285714285
Food Distributors,0.90875
Property/Casualty Insurance,0.9016666666666667
Telecommunications Equipment,0.9
Environmental Services,0.8866666666666666
Industrial Machinery,0.8862068965517241
Beverages: Non-Alcoholic,0.8216666666666667
Drugstore Chains,0.78
Miscellaneous Manufacturing,0.7275
Medical/Nursing Services,0.711111111111111
Food: Meat/Fish/Dairy,0.6900000000000001
Food Retail,0.6871428571428572
Electrical Products,0.6733333333333335
Railroads,0.645
Chemicals: Major Diversified,0.6375
Office Equipment/Supplies,0.5766666666666667
Restaurants,0.5138461538461538
Casinos/Gaming,0.45333333333333337
Food: Major Diversified,0.44999999999999996
Electric Utilities,0.42977777777777776
Cable/Satellite TV,0.425
Household/Personal Care,0.42250000000000004
Electronics Distributors,0.42000000000000004
Motor Vehicles,0.4175
Industrial Conglomerates,0.39285714285714285
Life/Health Insurance,0.36846153846153845
Airlines,0.36
Tobacco,0.3466666666666667
Recreational Products,0.33100000000000007
Electronics/Appliances,0.3025
Publishing: Books/Magazines,0.285
Beverages: Alcoholic,0.27666666666666667
Major Telecommunications,0.27
Movies/Entertainment,0.18000000000000002
Trucking,0.16749999999999998
Industrial Specialties,0.141875
Textiles,0.12
Major Banks,0.004999999999999996
Broadcasting,-0.1685714285714286
Gas Distributors,-0.1875
Real Estate Development,-0.2361538461538462
Specialty Telecommunications,-0.2666666666666666
Hotels/Resorts/Cruise lines,-0.41600000000000004
Specialty Insurance,-0.4744444444444445
Auto Parts: OEM,-0.681
Computer Processing Hardware,-0.892
Automotive Aftermarket,-0.9550000000000001
Regional Banks,-1.1868367346938775
Savings Banks,-1.4914285714285713
