Industry,Daily_change
Department Stores,8.406666666666668
Electronic Production Equipment,6.3933333333333335
Casinos/Gaming,6.36
Motor Vehicles,6.083333333333333
Trucking,5.221818181818182
Airlines,5.19
Real Estate Development,5.04
Semiconductors,4.8549999999999995
Apparel/Footwear Retail,4.45
Hotels/Resorts/Cruise lines,4.222222222222222
Air Freight/Couriers,4.075
Investment Banks/Brokers,4.041052631578947
Auto Parts: OEM,4.01125
Telecommunications Equipment,3.9925
Electronic Components,3.9883333333333333
Apparel/Footwear,3.914
Office Equipment/Supplies,3.903333333333333
Medical Specialties,3.861818181818182
Electronics Distributors,3.7849999999999997
Restaurants,3.7581818181818183
Electronic Equipment/Instruments,3.7085714285714286
Agricultural Commodities/Milling,3.6675000000000004
Data Processing Services,3.6285714285714286
Internet Software/Services,3.5845454545454545
Life/Health Insurance,3.5020000000000002
Automotive Aftermarket,3.4850000000000003
Food Distributors,3.4783333333333335
Media Conglomerates,3.1950000000000003
Marine Shipping,3.119
Finance/Rental/Leasing,3.092608695652174
Major Banks,2.9966666666666666
Other Consumer Services,2.985
Other Consumer Specialties,2.98
Biotechnology,2.9766666666666666
Broadcasting,2.972857142857143
Publishing: Newspapers,2.936666666666667
Electrical Products,2.9050000000000002
Computer Peripherals,2.705
Advertising/Marketing Services,2.6933333333333334
Computer Communications,2.69
Other Metals/Minerals,2.6814285714285715
Movies/Entertainment,2.6792857142857143
Personnel Services,2.6659999999999995
Recreational Products,2.65875
Regional Banks,2.6179012345679014
Investment Managers,2.6080952380952382
Packaged Software,2.4957142857142856
Computer Processing Hardware,2.4939999999999998
Railroads,2.481666666666667
Industrial Machinery,2.450833333333333
Miscellaneous Commercial Services,2.421578947368421
Metal Fabrication,2.386
Chemicals: Specialty,2.3406666666666665
Cable/Satellite TV,2.3325
Engineering & Construction,2.275384615384615
Electronics/Appliances,2.255
Information Technology Services,2.2096774193548385
Miscellaneous Manufacturing,2.1957142857142857
Chemicals: Major Diversified,2.132857142857143
Forest Products,2.12
Specialty Stores,2.108333333333333
Pharmaceuticals: Other,2.07
Trucks/Construction/Farm Machinery,2.0628571428571427
Pharmaceuticals: Major,2.059090909090909
Industrial Conglomerates,1.985
Homebuilding,1.9754545454545456
Financial Publishing/Services,1.955
Steel,1.8927272727272728
Savings Banks,1.8527272727272726
Household/Personal Care,1.830909090909091
Building Products,1.8127272727272725
Tools & Hardware,1.79
Medical Distributors,1.735
Wholesale Distributors,1.6655555555555557
Other Transportation,1.645
Containers/Packaging,1.6433333333333333
Beverages: Non-Alcoholic,1.514
Services to the Health Industry,1.51
Pharmaceuticals: Generic,1.49
Medical/Nursing Services,1.386
Commercial Printing/Forms,1.37
Wireless Telecommunications,1.3699999999999999
Beverages: Alcoholic,1.305
Pulp & Paper,1.295
Multi-Line Insurance,1.2485714285714287
Financial Conglomerates,1.2112500000000002
Specialty Telecommunications,1.1766666666666667
Major Telecommunications,1.1179999999999999
Industrial Specialties,1.0963636363636364
Food: Meat/Fish/Dairy,1.0150000000000001
Managed Health Care,0.9480000000000001
Publishing: Books/Magazines,0.91
Specialty Insurance,0.78125
Chemicals: Agricultural,0.7300000000000001
Hospital/Nursing Management,0.725
Food: Specialty/Candy,0.576
Property/Casualty Insurance,0.4746666666666667
Investment Trusts/Mutual Funds,0.47000000000000003
Home Improvement Chains,0.415
Discount Stores,0.37333333333333335
Oil & Gas Pipelines,0.3452631578947369
Environmental Services,0.2925
Food Retail,0.16666666666666666
Integrated Oil,0.14846153846153848
Oil & Gas Production,0.14551724137931032
Tobacco,0.12999999999999998
Electric Utilities,0.115
Gas Distributors,0.030999999999999993
Oil Refining/Marketing,-0.16499999999999998
Precious Metals,-0.30250000000000005
Contract Drilling,-0.31
Food: Major Diversified,-0.48833333333333334
Water Utilities,-0.515
Construction Materials,-0.542
Aerospace & Defense,-0.6805263157894736
Alternative Power Generation,-0.7525
Drugstore Chains,-0.76
Insurance Brokers/Services,-0.9075
Oilfield Services/Equipment,-1.9454545454545453
Coal,-3.88
