Industry,Daily_change
Aluminum,3.2933333333333334
Marine Shipping,2.738888888888889
Coal,2.5716666666666668
Contract Drilling,2.16
Oilfield Services/Equipment,1.943076923076923
Steel,1.7025
Consumer Sundries,1.41
Hotels/Resorts/Cruise lines,1.3722222222222222
Hospital/Nursing Management,1.3633333333333333
Agricultural Commodities/Milling,1.3175
Airlines,1.22125
Food: Meat/Fish/Dairy,1.03
Other Transportation,1.01
Beverages: Alcoholic,0.9800000000000001
Apparel/Footwear,0.7575
Department Stores,0.7466666666666666
Food: Major Diversified,0.72875
Railroads,0.6783333333333333
Chemicals: Agricultural,0.624
Discount Stores,0.61
Finance/Rental/Leasing,0.5466666666666666
Integrated Oil,0.532
Life/Health Insurance,0.5061538461538462
Oil & Gas Production,0.4927272727272727
Gas Distributors,0.48692307692307685
Trucks/Construction/Farm Machinery,0.4616666666666666
Investment Trusts/Mutual Funds,0.4266666666666667
Tobacco,0.4
Precious Metals,0.39714285714285713
Food: Specialty/Candy,0.35000000000000003
Apparel/Footwear Retail,0.32285714285714284
Managed Health Care,0.30833333333333335
Specialty Insurance,0.3075
Alternative Power Generation,0.2783333333333333
Advertising/Marketing Services,0.26666666666666666
Aerospace & Defense,0.26304347826086955
Media Conglomerates,0.25999999999999995
Tools & Hardware,0.25
Medical/Nursing Services,0.22666666666666668
Oil Refining/Marketing,0.22111111111111115
Beverages: Non-Alcoholic,0.21857142857142858
Major Telecommunications,0.14333333333333334
Engineering & Construction,0.13
Oil & Gas Pipelines,0.12208333333333332
Publishing: Books/Magazines,0.10000000000000003
Industrial Specialties,0.0642857142857143
Multi-Line Insurance,0.047857142857142855
Other Consumer Services,-0.02333333333333333
Casinos/Gaming,-0.05999999999999998
Electronics Distributors,-0.08000000000000007
Electric Utilities,-0.08829787234042552
Auto Parts: OEM,-0.10800000000000005
Property/Casualty Insurance,-0.11411764705882353
Restaurants,-0.11818181818181818
Air Freight/Couriers,-0.12166666666666663
Biotechnology,-0.13307692307692298
Chemicals: Specialty,-0.135
Medical Distributors,-0.14833333333333337
Miscellaneous Commercial Services,-0.204
Recreational Products,-0.22625
Movies/Entertainment,-0.2670588235294118
Textiles,-0.28
Containers/Packaging,-0.2813333333333334
Specialty Stores,-0.29500000000000004
Food Retail,-0.3142857142857142
Insurance Brokers/Services,-0.3233333333333333
Household/Personal Care,-0.3433333333333333
Investment Banks/Brokers,-0.3472222222222222
Services to the Health Industry,-0.37666666666666665
Drugstore Chains,-0.385
Automotive Aftermarket,-0.42999999999999994
Wireless Telecommunications,-0.48000000000000004
Data Processing Services,-0.485625
Industrial Conglomerates,-0.49333333333333335
Internet Retail,-0.49666666666666676
Food Distributors,-0.51125
Specialty Telecommunications,-0.5349999999999999
Information Technology Services,-0.5974285714285714
Electronics/Appliances,-0.61
Financial Conglomerates,-0.61875
Cable/Satellite TV,-0.6716666666666667
Computer Processing Hardware,-0.674
Construction Materials,-0.7633333333333333
Investment Managers,-0.7853333333333334
Savings Banks,-0.8172727272727273
Building Products,-0.82
Internet Software/Services,-0.84
Environmental Services,-0.8577777777777778
Chemicals: Major Diversified,-0.87
Wholesale Distributors,-0.8952631578947368
Pharmaceuticals: Major,-0.9170454545454546
Industrial Machinery,-0.9199999999999999
Miscellaneous Manufacturing,-0.9460000000000001
Electronic Components,-1.01
Metal Fabrication,-1.034
Major Banks,-1.0541666666666667
Broadcasting,-1.085
Real Estate Development,-1.0936363636363637
Trucking,-1.1371428571428572
Packaged Software,-1.1560000000000001
Regional Banks,-1.156923076923077
Personnel Services,-1.1614285714285715
Other Metals/Minerals,-1.185
Homebuilding,-1.2366666666666666
Office Equipment/Supplies,-1.24
Medical Specialties,-1.2918367346938775
Pulp & Paper,-1.31
Pharmaceuticals: Other,-1.32
Electronic Equipment/Instruments,-1.425
Electrical Products,-1.5978571428571429
Telecommunications Equipment,-1.6333333333333335
Semiconductors,-1.7336842105263157
Motor Vehicles,-1.7400000000000002
Computer Communications,-1.8099999999999998
Financial Publishing/Services,-1.8900000000000001
Home Improvement Chains,-1.98
Other Consumer Specialties,-2.03
Computer Peripherals,-2.2899999999999996
Water Utilities,-2.2966666666666664
Publishing: Newspapers,-2.5533333333333332
Electronic Production Equipment,-3.005
Forest Products,-3.1225
Commercial Printing/Forms,-4.45
