,Stock,RS_Rating,50 Day MA,150 Day Ma,200 Day MA,52 Week Low,52 week High,Sector,Industry,Daily_change
56,CCK,83,118.78,110.54,108.42,95.27,130.42,Process Industries,Containers/Packaging,0.93
8,AEL,83,40.09,35.98,34.9,27.12,44.49,Finance,Life/Health Insurance,1.67
182,MCRI,83,74.35,70.66,69.21,56.35,86.78,Consumer Services,Hotels/Resorts/Cruise lines,-0.31
142,HLLY,83,12.79,12.28,11.87,9.24,14.68,Producer Manufacturing,Auto Parts: OEM,-1.04
289,TU,83,24.58,23.08,22.69,19.74,26.48,Communications,Major Telecommunications,0.55
286,TSC,83,31.82,28.08,26.26,18.36,34.55,Finance,Regional Banks,1.54
216,NXST,83,175.94,160.83,157.2,135.87,192.84,Consumer Services,Broadcasting,0.15
35,AXP,83,181.1,172.75,171.3,140.31,199.55,Finance,Finance/Rental/Leasing,0.74
34,AVGO,83,580.33,554.98,532.8,419.14,677.76,Electronic Technology,Semiconductors,0.39
63,CFR,82,139.15,128.95,123.84,100.35,147.39,Finance,Regional Banks,3.07
97,CW,82,141.99,133.45,129.96,111.26,162.98,Electronic Technology,Aerospace & Defense,0.61
240,PUMP,82,12.2,9.9,9.58,6.39,16.05,Industrial Services,Oilfield Services/Equipment,4.59
176,LPLA,82,173.32,165.25,158.74,127.03,196.29,Finance,Investment Banks/Brokers,-0.39
242,QLYS,82,126.36,125.21,119.9,92.0,142.94,Technology Services,Packaged Software,-1.12
67,CINF,82,122.18,118.83,118.21,102.18,136.98,Finance,Property/Casualty Insurance,1.54
120,FLOW,82,85.76,81.99,79.38,60.92,88.55,Producer Manufacturing,Industrial Machinery,-0.07
3,ABC,82,141.57,129.13,126.07,111.34,155.76,Distribution Services,Medical Distributors,1.36
64,CHH,82,142.51,139.51,134.19,106.22,157.46,Consumer Services,Hotels/Resorts/Cruise lines,0.68
171,LHX,81,234.1,226.22,225.47,196.31,279.71,Electronic Technology,Aerospace & Defense,0.38
297,UPS,81,210.9,202.87,201.89,163.79,233.72,Transportation,Air Freight/Couriers,0.32
22,ANTM,81,454.5,423.73,412.57,349.05,485.8,Health Services,Managed Health Care,1.48
61,CERN,81,92.24,81.76,80.95,69.08,93.87,Technology Services,Information Technology Services,0.26
315,WMK,81,65.73,61.25,59.12,49.66,78.23,Retail Trade,Food Retail,-0.52
76,CNC,81,82.2,74.67,73.62,59.33,88.61,Health Services,Managed Health Care,1.04
287,TSCO,81,218.15,215.21,207.39,170.82,239.86,Retail Trade,Specialty Stores,-0.48
206,NLOK,81,27.66,26.34,26.33,20.69,30.92,Technology Services,Packaged Software,0.82
153,IFS,80,32.3,26.89,25.7,17.67,34.94,Finance,Investment Managers,1.09
186,MKL,80,1283.62,1263.6,1252.27,1130.61,1513.0,Finance,Specialty Insurance,-0.11
105,ED,80,85.7,79.73,77.97,71.17,92.95,Utilities,Electric Utilities,1.39
285,TRTN,80,64.06,58.68,56.46,46.75,72.34,Finance,Finance/Rental/Leasing,-1.26
94,CVI,80,20.67,18.14,17.43,11.22,24.61,Energy Minerals,Oil Refining/Marketing,1.25
151,HWC,80,53.92,50.18,48.55,39.07,59.82,Finance,Regional Banks,1.94
13,AIZ,80,163.03,160.46,159.37,139.89,184.83,Finance,Multi-Line Insurance,0.88
274,TD,80,80.79,73.85,72.02,62.82,86.02,Finance,Major Banks,1.39
226,PAA,80,10.76,10.06,10.05,8.64,12.38,Industrial Services,Oil & Gas Pipelines,2.44
229,PAYX,80,120.49,119.97,117.26,92.74,138.97,Technology Services,Data Processing Services,0.76
290,TVTY,80,26.95,25.47,25.39,21.25,31.07,Health Services,Medical/Nursing Services,-0.44
89,CSGS,80,60.01,54.38,52.14,42.58,65.94,Technology Services,Data Processing Services,0.91
149,HSIC,80,81.35,78.32,77.9,66.39,89.44,Distribution Services,Medical Distributors,-0.05
320,ZION,79,68.47,64.53,61.6,47.06,75.44,Finance,Regional Banks,3.65
201,MUSA,79,185.29,177.63,168.53,126.56,202.2,Retail Trade,Specialty Stores,2.34
259,SFL,79,9.26,8.5,8.16,6.67,10.67,Transportation,Marine Shipping,2.49
38,BAP,79,152.02,129.76,125.4,88.67,179.38,Finance,Regional Banks,1.11
50,CACI,79,274.07,270.63,268.05,235.34,309.8,Technology Services,Information Technology Services,1.08
207,NMM,79,30.58,28.83,27.87,20.52,37.16,Transportation,Marine Shipping,0.03
147,HPQ,79,36.51,33.38,32.22,26.11,39.84,Electronic Technology,Computer Processing Hardware,3.4
199,MTRN,79,84.39,81.68,79.58,64.48,96.0,Non-Energy Minerals,Other Metals/Minerals,0.57
250,RS,78,173.26,159.77,157.88,135.46,198.44,Non-Energy Minerals,Steel,-0.18
25,APOG,78,46.12,44.01,42.74,33.88,50.45,Producer Manufacturing,Building Products,1.14
135,HBM,78,7.82,7.08,6.95,5.22,9.6,Non-Energy Minerals,Other Metals/Minerals,-0.74
138,HEES,78,41.5,41.12,39.06,28.28,50.69,Finance,Finance/Rental/Leasing,1.99
266,SRE,78,142.23,131.91,131.53,119.56,162.57,Utilities,Electric Utilities,2.27
92,CTVA,77,50.99,46.9,45.96,40.6,59.81,Process Industries,Chemicals: Agricultural,2.22
160,JBHT,77,198.3,191.38,185.06,155.11,218.18,Transportation,Trucking,0.36
283,TRN,77,30.48,29.05,28.49,24.7,35.35,Producer Manufacturing,Trucks/Construction/Farm Machinery,1.67
123,FOE,77,21.73,21.33,21.25,16.63,22.1,Process Industries,Industrial Specialties,0.46
60,CEQP,76,29.14,27.64,27.52,23.57,33.94,Industrial Services,Oil & Gas Pipelines,0.69
51,CALM,76,43.53,38.8,38.0,33.85,52.8,Consumer Non-Durables,Food: Specialty/Candy,0.54
295,UNP,76,250.34,235.57,231.07,195.68,273.58,Transportation,Railroads,1.17
40,BHF,76,53.04,51.1,49.46,40.03,62.33,Finance,Life/Health Insurance,3.1
33,ATO,76,108.71,98.97,98.58,85.8,118.59,Utilities,Gas Distributors,2.46
118,FITB,76,46.65,43.95,42.23,34.35,50.64,Finance,Regional Banks,1.98
143,HLT,76,146.28,142.39,137.96,114.7,160.96,Consumer Services,Hotels/Resorts/Cruise lines,-0.26
235,PGR,76,107.82,99.03,97.87,89.35,116.74,Finance,Property/Casualty Insurance,2.25
293,UBS,75,18.87,17.87,17.39,14.42,21.49,Finance,Major Banks,1.26
