,Stock,RS_Rating,50 Day MA,150 Day Ma,200 Day MA,52 Week Low,52 week High,Sector,Industry,Daily_change
14,AMR,100,97.94,69.22,58.87,11.75,139.36,Energy Minerals,Coal,4.37
43,BTU,100,18.13,14.73,13.71,2.95,27.7,Energy Minerals,Coal,0.16
256,UAN,100,110.03,86.94,79.09,40.85,150.3,Process Industries,Chemicals: Agricultural,0.96
225,SGML,100,11.02,9.78,8.82,3.84,15.22,Non-Energy Minerals,Other Metals/Minerals,3.11
51,CEIX,100,30.1,27.04,25.21,8.65,41.31,Energy Minerals,Coal,0.13
150,LXU,100,15.73,11.25,9.83,3.58,24.93,Process Industries,Chemicals: Agricultural,3.26
100,FLNG,100,21.83,20.0,18.26,8.7,29.34,Energy Minerals,Oil & Gas Production,1.93
123,HPK,100,20.14,15.36,14.1,6.0,26.0,Industrial Services,Contract Drilling,-1.16
0,AA,99,75.52,58.98,53.72,30.02,98.09,Non-Energy Minerals,Aluminum,-2.34
26,ARLP,99,14.11,11.95,10.77,5.45,16.16,Energy Minerals,Coal,-0.13
86,DVN,99,54.8,43.99,39.48,20.14,63.26,Energy Minerals,Oil & Gas Production,-2.36
92,ERF,99,12.32,10.15,9.16,4.78,14.59,Energy Minerals,Oil & Gas Production,-3.5
121,HMHC,99,19.56,16.44,15.27,6.85,21.13,Consumer Services,Other Consumer Services,0.05
142,KZR,99,14.41,12.1,10.45,4.61,18.55,Health Technology,Biotechnology,-1.66
130,IPI,99,58.08,45.75,42.22,22.82,93.87,Non-Energy Minerals,Other Metals/Minerals,1.89
24,AR,99,23.3,20.0,18.4,8.81,31.85,Energy Minerals,Oil & Gas Production,0.13
147,LNTH,99,40.0,31.04,29.81,19.3,58.28,Health Technology,Medical Specialties,-1.06
148,LPI,99,72.73,71.01,68.61,30.18,99.26,Energy Minerals,Oil & Gas Production,-4.85
187,OAS,99,139.31,122.84,115.04,58.67,158.48,Energy Minerals,Oil & Gas Production,-1.3
214,RRC,99,23.51,21.58,19.93,8.47,32.33,Energy Minerals,Oil & Gas Production,-1.01
219,SBLK,99,26.12,21.7,20.52,13.88,32.0,Transportation,Marine Shipping,-0.27
262,VET,99,18.57,13.2,11.77,5.51,23.93,Energy Minerals,Oil & Gas Production,-1.27
272,WFRD,99,31.78,27.38,24.73,10.0,36.87,Industrial Services,Oilfield Services/Equipment,3.58
25,ARCH,99,123.86,99.53,90.12,40.67,163.99,Energy Minerals,Coal,0.87
285,ZIM,99,71.47,59.22,55.0,24.49,91.23,Transportation,Marine Shipping,-0.16
143,LAC,98,28.12,27.99,24.74,11.84,41.56,Process Industries,Chemicals: Agricultural,4.42
126,ICL,98,10.55,9.07,8.42,5.78,12.7,Process Industries,Chemicals: Agricultural,0.17
20,APA,98,35.87,28.88,26.42,15.55,42.77,Energy Minerals,Integrated Oil,0.32
180,NOG,98,24.85,22.38,21.13,11.76,29.69,Energy Minerals,Oil & Gas Production,-2.05
54,CF,98,83.58,67.62,62.57,43.19,109.8,Process Industries,Chemicals: Agricultural,2.03
193,OVV,98,44.21,37.67,35.05,21.07,55.55,Energy Minerals,Oil & Gas Production,-0.83
88,ENLC,98,8.74,7.51,7.02,4.15,10.28,Industrial Services,Oil & Gas Pipelines,0.21
59,CLR,98,56.72,49.59,46.06,24.51,65.32,Energy Minerals,Oil & Gas Production,-2.26
213,ROCC,98,33.26,29.47,27.02,11.81,42.66,Energy Minerals,Oil & Gas Production,-2.76
170,MUR,98,35.1,29.28,27.4,14.91,43.2,Energy Minerals,Oil & Gas Production,-0.44
72,CRK,98,8.94,8.89,8.17,4.67,13.89,Energy Minerals,Oil & Gas Production,-0.53
174,NEX,98,7.59,5.42,5.11,3.06,9.68,Industrial Services,Oilfield Services/Equipment,-0.43
116,HCC,98,33.17,27.17,24.86,15.07,42.95,Energy Minerals,Coal,-0.03
246,TRGP,98,64.9,56.05,52.79,30.6,77.31,Energy Minerals,Oil Refining/Marketing,-1.02
261,VAL,98,44.04,37.83,35.18,20.25,53.69,Industrial Services,Contract Drilling,0.44
110,GLNG,98,17.21,14.11,13.55,9.26,25.64,Transportation,Marine Shipping,0.2
108,GDEN,98,52.11,49.79,48.82,25.44,59.62,Consumer Services,Casinos/Gaming,1.43
275,WLL,98,76.28,67.5,62.71,32.39,90.89,Energy Minerals,Oil & Gas Production,-1.03
128,IMO,97,43.71,36.55,34.29,23.89,48.84,Energy Minerals,Integrated Oil,0.21
77,CVE,97,15.45,12.76,11.71,7.16,17.21,Energy Minerals,Integrated Oil,0.0
