,Stock,RS_Rating,50 Day MA,150 Day Ma,200 Day MA,52 Week Low,52 week High,Sector,Industry,Daily_change
126,HPK,100,20.33,15.55,14.25,6.51,26.0,Industrial Services,Contract Drilling,-0.4
104,FLNG,100,22.26,20.2,18.41,8.7,30.06,Energy Minerals,Oil & Gas Production,-3.34
53,CEIX,100,30.77,27.24,25.42,8.65,41.31,Energy Minerals,Coal,-4.31
253,UAN,100,109.12,84.78,76.82,42.0,150.3,Process Industries,Chemicals: Agricultural,-2.57
154,LXU,100,16.26,11.48,10.02,3.58,24.93,Process Industries,Chemicals: Agricultural,-1.21
13,AMR,100,100.63,70.41,59.94,11.75,139.36,Energy Minerals,Coal,-9.95
225,SGML,100,11.26,9.89,8.94,3.84,17.36,Non-Energy Minerals,Other Metals/Minerals,6.25
44,BTU,100,18.71,14.86,13.89,3.06,27.7,Energy Minerals,Coal,-3.96
213,ROCC,99,33.55,29.68,27.16,11.81,42.66,Energy Minerals,Oil & Gas Production,-1.52
214,RRC,99,24.04,21.8,20.11,8.47,32.33,Energy Minerals,Oil & Gas Production,-1.33
27,ARLP,99,14.18,12.05,10.85,5.45,16.35,Energy Minerals,Coal,-1.56
260,VET,99,18.81,13.37,11.87,5.51,23.93,Energy Minerals,Oil & Gas Production,3.06
25,ARCH,99,125.71,100.36,90.97,41.43,163.99,Energy Minerals,Coal,-3.23
24,AR,99,23.85,20.23,18.58,8.81,31.85,Energy Minerals,Oil & Gas Production,0.03
270,WFRD,99,31.99,27.63,24.9,10.0,36.87,Industrial Services,Oilfield Services/Equipment,1.92
146,KZR,99,14.6,12.23,10.57,4.61,18.55,Health Technology,Biotechnology,0.94
0,AA,99,76.8,59.6,54.31,30.02,98.09,Non-Energy Minerals,Aluminum,0.31
124,HMHC,99,19.73,16.54,15.38,6.85,21.13,Consumer Services,Other Consumer Services,0.33
152,LPI,99,73.48,71.44,68.82,31.85,99.26,Energy Minerals,Oil & Gas Production,0.12
95,ERF,99,12.4,10.25,9.22,4.78,14.59,Energy Minerals,Oil & Gas Production,2.82
88,DVN,99,55.96,45.1,40.49,20.14,63.26,Energy Minerals,Oil & Gas Production,0.83
174,MUR,99,35.57,29.55,27.58,14.91,43.2,Energy Minerals,Oil & Gas Production,0.56
178,NEX,99,7.79,5.51,5.16,3.06,10.74,Industrial Services,Oilfield Services/Equipment,-0.59
191,OAS,99,140.11,123.67,115.61,59.61,158.48,Energy Minerals,Oil & Gas Production,-0.64
151,LNTH,99,41.28,31.46,30.14,19.3,59.13,Health Technology,Medical Specialties,-2.83
230,SM,98,36.9,31.98,29.01,14.79,43.69,Energy Minerals,Oil & Gas Production,-0.88
91,ENLC,98,8.83,7.57,7.06,4.15,10.28,Industrial Services,Oil & Gas Pipelines,0.62
259,VAL,98,44.63,38.18,35.46,20.25,54.84,Industrial Services,Contract Drilling,1.06
79,CVE,98,15.56,12.88,11.78,7.16,17.37,Energy Minerals,Integrated Oil,2.18
74,CRK,98,9.18,9.0,8.25,4.67,14.38,Energy Minerals,Oil & Gas Production,-2.86
115,GLNG,98,17.68,14.29,13.67,9.26,26.23,Transportation,Marine Shipping,-1.12
243,TRGP,98,65.78,56.49,53.12,30.6,77.85,Energy Minerals,Oil Refining/Marketing,-0.45
56,CF,98,85.01,68.37,63.09,43.19,109.8,Process Industries,Chemicals: Agricultural,1.95
129,ICL,98,10.58,9.0,8.31,6.12,12.7,Process Industries,Chemicals: Agricultural,0.93
20,APA,98,36.34,29.2,26.64,15.55,43.69,Energy Minerals,Integrated Oil,1.8
184,NOG,98,25.24,22.66,21.33,11.76,29.88,Energy Minerals,Oil & Gas Production,4.21
195,OVV,98,44.79,37.9,35.17,21.07,56.31,Energy Minerals,Oil & Gas Production,-1.39
196,OXY,98,47.61,36.31,34.04,21.62,63.24,Energy Minerals,Oil & Gas Production,-0.55
171,MTDR,98,48.96,42.28,39.48,21.8,57.69,Energy Minerals,Oil & Gas Production,-1.36
170,MRO,98,22.51,17.8,16.38,9.7,26.4,Energy Minerals,Oil & Gas Production,-0.27
202,PDCE,98,64.36,54.53,51.05,32.17,78.13,Energy Minerals,Oil & Gas Production,0.41
147,LAC,98,28.64,28.25,24.99,11.84,41.56,Process Industries,Chemicals: Agricultural,-0.44
273,WLL,98,76.63,67.97,63.01,32.39,90.89,Energy Minerals,Oil & Gas Production,-1.08
205,PTEN,98,13.53,10.27,9.79,6.07,17.09,Industrial Services,Contract Drilling,0.69
134,IPI,98,59.85,46.44,42.76,22.82,93.87,Non-Energy Minerals,Other Metals/Minerals,0.76
61,CLR,98,57.27,49.92,46.35,24.51,65.32,Energy Minerals,Oil & Gas Production,-0.3
113,GDEN,97,52.73,49.9,48.97,27.03,59.96,Consumer Services,Casinos/Gaming,-1.25
150,LNG,97,125.87,109.65,103.59,70.51,149.42,Industrial Services,Oil & Gas Pipelines,-0.46
210,RES,97,8.77,6.15,5.71,3.33,11.97,Industrial Services,Oilfield Services/Equipment,0.72
161,MGY,97,22.34,20.15,18.7,10.29,25.6,Energy Minerals,Oil & Gas Production,1.34
166,MOS,97,53.19,42.69,39.77,28.26,71.5,Process Industries,Chemicals: Agricultural,1.7
239,TECK,97,37.05,30.62,28.46,19.32,43.18,Non-Energy Minerals,Other Metals/Minerals,-2.96
219,SBLK,97,27.37,23.56,22.78,13.88,32.0,Transportation,Marine Shipping,-7.51
119,HCC,97,33.57,27.36,25.07,15.07,42.95,Energy Minerals,Coal,-6.49
66,CNQ,97,55.95,45.23,42.02,28.86,64.1,Energy Minerals,Oil & Gas Production,1.51
218,RYI,97,28.08,25.69,23.58,13.39,39.58,Non-Energy Minerals,Steel,-0.49
132,IMO,97,44.08,36.87,34.48,23.94,50.27,Energy Minerals,Integrated Oil,2.2
94,EQT,97,25.35,22.31,21.56,15.71,36.87,Energy Minerals,Oil & Gas Production,0.92
57,CHK,97,74.65,66.03,62.49,43.5,91.8,Energy Minerals,Integrated Oil,-1.13
264,VNOM,97,28.37,24.31,22.74,14.24,31.59,Energy Minerals,Integrated Oil,1.77
12,AMPH,97,29.78,23.69,22.8,16.91,38.1,Health Technology,Pharmaceuticals: Major,1.28
52,CDEV,97,8.15,7.11,6.74,3.69,9.3,Energy Minerals,Integrated Oil,1.71
188,NUE,96,126.76,114.34,111.54,75.6,157.69,Non-Energy Minerals,Steel,0.17
271,WHD,96,51.45,43.57,41.72,27.26,64.18,Industrial Services,Oilfield Services/Equipment,-0.37
