,Stock,RS_Rating,50 Day MA,150 Day Ma,200 Day MA,52 Week Low,52 week High,Sector,Industry,Daily_change
259,ZIM,100,68.36,57.29,53.39,22.68,91.23,Transportation,Marine Shipping,-1.88
141,LXU,100,13.3,10.18,8.96,2.96,22.03,Process Industries,Chemicals: Agricultural,8.19
40,BTU,100,15.7,14.0,12.92,2.61,27.28,Energy Minerals,Coal,8.3
47,CEIX,100,27.64,26.02,24.24,8.65,38.44,Energy Minerals,Coal,10.17
113,HMHC,100,18.53,15.95,14.76,5.53,21.13,Consumer Services,Other Consumer Services,0.33
114,HPK,100,19.31,14.51,13.52,6.0,26.0,Industrial Services,Contract Drilling,6.7
21,ARCH,100,114.21,94.5,85.82,39.02,163.99,Energy Minerals,Coal,4.94
10,AMR,100,85.6,63.05,53.54,11.71,137.0,Energy Minerals,Coal,4.49
234,UAN,100,101.0,81.32,75.22,33.87,118.1,Process Industries,Chemicals: Agricultural,7.95
175,OAS,99,136.41,118.56,112.11,56.36,158.48,Energy Minerals,Oil & Gas Production,4.0
137,LNTH,99,34.52,29.08,28.33,19.3,56.19,Health Technology,Medical Specialties,-0.05
199,RRC,99,21.7,20.52,19.23,8.47,28.36,Energy Minerals,Oil & Gas Production,5.57
212,SM,99,35.34,30.13,27.93,14.79,43.69,Energy Minerals,Oil & Gas Production,7.69
96,FLNG,99,21.08,19.18,17.62,8.49,26.26,Energy Minerals,Oil & Gas Production,4.87
88,ERF,99,11.97,9.63,8.85,4.71,14.59,Energy Minerals,Oil & Gas Production,4.1
85,DVN,99,53.12,42.4,38.57,20.14,63.1,Energy Minerals,Oil & Gas Production,9.65
55,CLR,99,54.24,47.77,44.69,24.4,62.97,Energy Minerals,Oil & Gas Production,6.7
242,VET,99,17.19,12.18,11.13,5.51,23.93,Energy Minerals,Oil & Gas Production,4.1
252,WLL,99,74.1,64.77,61.07,31.26,90.89,Energy Minerals,Oil & Gas Production,4.13
22,ARLP,99,13.84,11.45,10.33,5.33,16.16,Energy Minerals,Coal,4.15
0,AA,99,69.46,55.66,51.05,27.11,92.32,Non-Energy Minerals,Aluminum,6.74
20,AR,99,21.3,18.88,17.63,8.64,27.31,Energy Minerals,Oil & Gas Production,2.31
203,RYI,98,25.24,24.6,22.31,13.39,36.61,Non-Energy Minerals,Steel,3.84
82,DAC,98,88.77,79.18,76.61,44.26,107.47,Transportation,Marine Shipping,0.77
107,HCC,98,31.0,25.93,23.88,15.07,42.95,Energy Minerals,Coal,3.16
121,ICL,98,10.28,8.72,8.17,5.74,12.21,Process Industries,Chemicals: Agricultural,5.87
64,CNQ,98,53.29,43.23,40.89,28.5,61.83,Energy Minerals,Oil & Gas Production,4.21
143,MCB,98,103.38,94.26,87.0,48.24,115.78,Finance,Major Banks,-1.81
148,MGY,98,21.44,19.33,18.12,10.29,25.21,Energy Minerals,Oil & Gas Production,6.94
155,MRO,98,20.89,16.7,15.67,9.7,25.7,Energy Minerals,Oil & Gas Production,6.86
158,MTDR,98,46.02,40.07,38.18,21.55,57.5,Energy Minerals,Oil & Gas Production,5.07
160,MUR,98,33.1,27.94,26.54,14.91,39.41,Energy Minerals,Oil & Gas Production,4.52
167,NOG,98,23.94,21.64,20.78,11.4,29.1,Energy Minerals,Oil & Gas Production,4.81
180,OXY,98,41.93,33.67,32.35,21.62,59.6,Energy Minerals,Oil & Gas Production,9.47
187,PDCE,98,59.99,52.21,49.97,30.25,72.9,Energy Minerals,Oil & Gas Production,4.38
198,ROCC,98,32.24,28.23,26.45,11.81,42.66,Energy Minerals,Oil & Gas Production,5.71
202,RXDX,98,39.44,32.47,30.17,16.11,51.96,Health Technology,Biotechnology,4.09
16,APA,98,33.96,27.3,25.52,15.55,41.2,Energy Minerals,Integrated Oil,7.0
226,TRGP,98,61.39,54.01,51.41,29.95,72.03,Energy Minerals,Oil Refining/Marketing,2.98
23,ASIX,98,42.72,42.71,39.75,25.55,56.85,Process Industries,Chemicals: Specialty,10.69
245,VNOM,97,27.35,23.31,22.06,14.24,30.86,Energy Minerals,Integrated Oil,6.11
3,ACLS,97,65.82,59.04,54.13,33.36,77.6,Electronic Technology,Electronic Production Equipment,4.94
9,AMPH,97,27.09,22.34,21.81,16.91,35.74,Health Technology,Pharmaceuticals: Other,-0.12
239,VAL,97,42.04,36.17,34.06,20.25,50.81,Industrial Services,Contract Drilling,5.68
68,COP,97,90.29,74.87,70.49,47.85,104.44,Energy Minerals,Oil & Gas Production,4.23
71,CRC,97,42.42,41.28,38.39,21.79,47.18,Energy Minerals,Oil & Gas Production,3.5
124,IMO,97,42.27,35.16,33.64,22.73,47.72,Energy Minerals,Integrated Oil,2.04
50,CF,97,76.6,63.79,60.12,43.19,100.52,Process Industries,Chemicals: Agricultural,4.59
170,NUE,97,117.87,112.39,109.15,66.92,140.78,Non-Energy Minerals,Steel,-0.13
179,OVV,97,41.48,35.76,33.96,21.07,50.87,Energy Minerals,Oil & Gas Production,8.39
78,CVE,97,15.05,12.23,11.4,7.16,16.84,Energy Minerals,Integrated Oil,3.76
191,PTEN,97,12.21,9.65,9.53,6.07,17.09,Industrial Services,Contract Drilling,3.42
195,RES,97,7.59,5.6,5.43,3.33,11.79,Industrial Services,Oilfield Services/Equipment,0.72
101,GDEN,97,49.88,49.11,48.21,24.47,59.32,Consumer Services,Casinos/Gaming,2.33
250,WIRE,96,118.22,116.44,106.62,65.26,151.64,Producer Manufacturing,Metal Fabrication,2.3
126,IPI,96,50.09,42.38,39.57,22.82,87.64,Non-Energy Minerals,Other Metals/Minerals,14.36
135,KRP,96,15.19,13.74,13.18,9.77,17.1,Miscellaneous,Investment Trusts/Mutual Funds,3.65
136,LNG,96,118.58,105.37,100.45,69.56,143.4,Industrial Services,Oil & Gas Pipelines,1.91
86,EOG,96,110.13,90.75,86.97,62.81,122.5,Energy Minerals,Oil & Gas Production,4.31
13,ANET,96,123.75,114.51,108.91,70.53,148.57,Electronic Technology,Computer Communications,1.46
19,AQUA,96,41.9,41.86,39.71,23.55,49.38,Industrial Services,Environmental Services,2.14
204,SBLK,96,25.57,22.94,22.3,13.26,32.0,Transportation,Marine Shipping,2.7
52,CHK,96,71.34,64.86,62.14,40.0,88.75,Energy Minerals,Integrated Oil,2.6
53,CIVI,96,53.41,50.5,48.78,29.62,59.65,Energy Minerals,Integrated Oil,0.88
219,SWCH,96,25.95,25.87,24.72,15.33,29.15,Technology Services,Information Technology Services,2.99
182,PANW,96,522.91,504.68,473.61,311.56,598.96,Electronic Technology,Computer Communications,1.85
222,TECK,96,35.16,29.12,27.41,17.31,42.38,Non-Energy Minerals,Other Metals/Minerals,4.1
169,NTR,96,78.91,70.87,68.13,52.28,102.25,Process Industries,Chemicals: Agricultural,4.71
92,FANG,96,128.65,108.5,102.69,65.93,142.09,Energy Minerals,Oil & Gas Production,6.57
151,MNRL,96,22.48,20.98,20.54,13.66,28.2,Miscellaneous,Investment Trusts/Mutual Funds,2.85
153,MOS,96,46.99,39.87,37.79,28.26,64.71,Process Industries,Chemicals: Agricultural,6.13
249,WHD,95,48.84,41.95,40.87,27.26,64.18,Industrial Services,Oilfield Services/Equipment,6.22
42,CARG,95,35.6,34.17,32.38,22.63,50.03,Technology Services,Internet Software/Services,0.02
34,BLDR,95,72.32,66.07,60.57,39.24,86.48,Producer Manufacturing,Building Products,2.17
257,XENE,95,29.76,26.92,24.72,14.65,36.42,Health Technology,Biotechnology,4.61
