,Stock,RS_Rating,50 Day MA,150 Day Ma,200 Day MA,52 Week Low,52 week High,Sector,Industry,Daily_change
246,UAN,100,115.93,88.92,79.98,42.0,154.44,Process Industries,Chemicals: Agricultural,2.39
42,CEIX,100,33.31,27.95,26.19,8.65,47.7,Energy Minerals,Coal,10.46
149,LXU,100,18.22,12.3,10.69,3.58,27.24,Process Industries,Chemicals: Agricultural,4.88
14,AMR,100,110.08,74.47,63.72,11.75,151.19,Energy Minerals,Coal,5.5
36,BTU,100,20.95,15.3,14.58,3.44,30.73,Energy Minerals,Coal,5.39
218,SGML,100,12.24,10.3,9.34,3.84,19.48,Non-Energy Minerals,Other Metals/Minerals,-1.73
23,ARCH,100,132.44,103.36,94.04,44.2,163.99,Energy Minerals,Coal,5.89
121,HPK,100,21.06,16.18,14.7,7.0,29.84,Industrial Services,Contract Drilling,31.76
22,AR,100,25.76,21.03,19.22,8.81,34.75,Energy Minerals,Oil & Gas Production,4.18
109,GLNG,99,19.2,14.91,14.07,9.95,26.23,Transportation,Marine Shipping,2.68
257,VRTV,99,116.64,113.23,103.05,40.6,158.99,Distribution Services,Wholesale Distributors,4.63
119,HMHC,99,19.97,16.69,15.53,7.42,21.18,Consumer Services,Other Consumer Services,0.0
252,VET,99,19.65,14.07,12.33,5.51,23.93,Energy Minerals,Oil & Gas Production,3.88
100,FLNG,99,23.68,20.9,18.97,9.72,30.58,Energy Minerals,Oil & Gas Production,5.32
198,PTEN,99,14.38,10.69,10.03,6.07,17.54,Industrial Services,Contract Drilling,5.05
88,ERF,99,12.62,10.58,9.43,4.78,14.59,Energy Minerals,Oil & Gas Production,3.37
131,IPI,99,68.46,49.69,45.2,22.82,113.3,Non-Energy Minerals,Other Metals/Minerals,-0.52
133,ISEE,99,15.81,15.76,14.14,5.62,19.34,Health Technology,Pharmaceuticals: Major,4.44
66,CRK,99,10.18,9.36,8.54,4.67,16.61,Energy Minerals,Oil & Gas Production,7.33
262,WFRD,99,32.68,28.52,25.47,10.0,38.31,Industrial Services,Oilfield Services/Equipment,-0.03
81,DVN,99,56.84,45.98,41.0,20.14,64.29,Energy Minerals,Oil & Gas Production,2.39
211,RYI,99,30.1,26.19,24.27,13.39,39.8,Non-Energy Minerals,Steel,10.16
24,ARLP,99,14.49,12.39,11.18,5.45,17.52,Energy Minerals,Coal,4.54
0,AA,99,80.58,61.44,56.06,31.0,98.09,Non-Energy Minerals,Aluminum,5.0
146,LNTH,99,46.0,32.97,31.28,19.3,61.26,Health Technology,Medical Specialties,2.73
169,MUR,99,36.94,30.5,28.17,14.91,43.2,Energy Minerals,Oil & Gas Production,1.85
207,RRC,99,25.86,22.52,20.67,8.47,33.57,Energy Minerals,Oil & Gas Production,2.93
206,ROCC,99,34.14,30.41,27.56,11.81,42.66,Energy Minerals,Oil & Gas Production,3.75
195,PDS,99,62.27,46.82,43.66,24.5,83.69,Industrial Services,Contract Drilling,9.71
237,TRGP,98,68.42,58.01,54.24,31.37,78.17,Energy Minerals,Oil Refining/Marketing,1.35
53,CLR,98,58.65,51.06,47.23,24.68,66.14,Energy Minerals,Oil & Gas Production,3.9
87,EQT,98,27.85,23.19,22.17,15.71,41.85,Energy Minerals,Oil & Gas Production,4.29
188,OXY,98,50.63,37.91,35.06,21.62,63.24,Energy Minerals,Oil & Gas Production,0.81
251,VAL,98,46.22,39.19,36.28,20.25,55.71,Industrial Services,Contract Drilling,4.67
182,OAS,98,141.76,126.33,117.41,68.11,158.48,Energy Minerals,Oil & Gas Production,2.2
46,CF,98,90.13,71.23,65.06,43.19,113.49,Process Industries,Chemicals: Agricultural,-0.74
20,APA,98,37.6,30.26,27.35,15.55,43.99,Energy Minerals,Integrated Oil,3.39
176,NOG,98,25.97,23.19,21.64,11.9,30.44,Energy Minerals,Oil & Gas Production,3.4
156,MGY,98,22.82,20.57,19.04,10.29,26.61,Energy Minerals,Oil & Gas Production,1.88
266,WLL,98,77.48,69.4,63.94,33.13,90.89,Energy Minerals,Oil & Gas Production,2.24
167,MTDR,98,50.4,43.51,40.16,21.8,58.11,Energy Minerals,Oil & Gas Production,2.11
147,LPI,98,75.26,72.54,68.78,32.52,99.26,Energy Minerals,Oil & Gas Production,4.37
162,MOS,98,57.69,44.58,41.22,28.26,76.99,Process Industries,Chemicals: Agricultural,-0.57
166,MRO,98,23.33,18.46,16.8,9.7,26.95,Energy Minerals,Oil & Gas Production,1.14
223,SM,98,37.79,32.94,29.55,14.79,43.69,Energy Minerals,Oil & Gas Production,2.51
13,AMPH,98,31.95,24.68,23.49,17.01,43.2,Health Technology,Pharmaceuticals: Major,0.45
179,NUE,97,134.78,116.53,113.94,75.6,163.88,Non-Energy Minerals,Steel,3.81
