,Stock,RS_Rating,50 Day MA,150 Day Ma,200 Day MA,52 Week Low,52 week High,Sector,Industry,Daily_change
239,ZIM,100,67.75,55.35,50.99,22.68,89.25,Transportation,Marine Shipping,3.97
217,UAN,100,100.49,80.93,74.94,33.87,118.1,Process Industries,Chemicals: Agricultural,-0.85
129,LXU,100,13.1,10.09,8.88,2.96,22.03,Process Industries,Chemicals: Agricultural,4.53
11,AMR,100,84.58,62.52,53.07,11.32,137.0,Energy Minerals,Coal,-2.8
106,HPK,100,19.23,14.45,13.46,6.0,26.0,Industrial Services,Contract Drilling,3.93
105,HMHC,100,18.44,15.9,14.71,5.53,21.13,Consumer Services,Other Consumer Services,-0.05
0,AA,99,68.99,55.42,50.85,27.11,92.32,Non-Energy Minerals,Aluminum,2.6
225,VET,99,17.03,12.1,11.07,5.51,23.93,Energy Minerals,Oil & Gas Production,-1.25
183,RRC,99,21.54,20.43,19.17,8.47,28.36,Energy Minerals,Oil & Gas Production,0.04
75,DAC,99,88.07,78.95,76.4,44.26,106.25,Transportation,Marine Shipping,7.62
78,DVN,99,52.12,41.47,37.72,20.14,63.1,Energy Minerals,Oil & Gas Production,-1.04
22,ARCH,99,113.08,93.96,85.38,39.02,163.99,Energy Minerals,Coal,-0.48
21,AR,99,21.15,18.8,17.57,8.64,27.31,Energy Minerals,Oil & Gas Production,-0.08
81,ERF,99,11.94,9.59,8.83,4.71,14.59,Energy Minerals,Oil & Gas Production,-0.57
89,FLNG,99,21.05,19.12,17.57,8.47,26.26,Energy Minerals,Oil & Gas Production,2.74
161,OAS,99,136.11,118.15,111.8,56.36,158.48,Energy Minerals,Oil & Gas Production,1.16
44,CEIX,99,27.46,25.95,24.16,8.65,38.44,Energy Minerals,Coal,-4.12
234,WLL,99,73.86,64.51,60.89,31.26,90.89,Energy Minerals,Oil & Gas Production,0.88
126,LNTH,99,34.0,28.89,28.18,19.17,56.19,Health Technology,Medical Specialties,4.58
51,CLR,98,53.98,47.61,44.57,24.4,62.97,Energy Minerals,Oil & Gas Production,0.46
195,SM,98,35.25,30.0,27.86,14.79,43.69,Energy Minerals,Oil & Gas Production,-2.95
60,CNQ,98,52.25,42.49,40.24,28.5,61.83,Energy Minerals,Oil & Gas Production,1.78
136,MGY,98,21.39,19.27,18.07,10.29,25.21,Energy Minerals,Oil & Gas Production,0.93
131,MCB,98,103.43,94.06,86.8,48.24,115.78,Finance,Major Banks,3.84
186,RXDX,98,39.32,32.32,30.06,16.11,51.96,Health Technology,Biotechnology,1.75
94,GDEN,98,49.74,49.05,48.15,24.47,59.32,Consumer Services,Casinos/Gaming,3.49
210,TRGP,98,61.12,53.85,51.28,29.95,72.03,Energy Minerals,Oil Refining/Marketing,1.12
143,MRO,98,20.77,16.63,15.62,9.7,25.7,Energy Minerals,Oil & Gas Production,-0.28
113,ICL,98,10.25,8.69,8.15,5.74,12.21,Process Industries,Chemicals: Agricultural,-2.35
146,MTDR,98,45.83,39.91,38.08,21.55,57.5,Energy Minerals,Oil & Gas Production,-0.58
148,MUR,98,32.92,27.83,26.47,14.91,39.41,Energy Minerals,Oil & Gas Production,0.55
157,NUE,98,117.51,112.31,108.99,66.92,140.78,Non-Energy Minerals,Steel,-0.3
98,HCC,98,30.75,25.8,23.78,15.07,42.95,Energy Minerals,Coal,-3.88
181,ROCC,98,32.12,28.11,26.39,11.81,42.66,Energy Minerals,Oil & Gas Production,-1.46
187,RYI,98,25.04,24.51,22.21,13.39,35.08,Non-Energy Minerals,Steel,5.89
222,VAL,98,41.89,36.04,33.95,20.25,50.81,Industrial Services,Contract Drilling,-1.33
10,AMPH,98,26.87,22.24,21.74,16.91,35.74,Health Technology,Pharmaceuticals: Other,-1.5
165,OXY,97,41.44,33.46,32.21,21.62,59.6,Energy Minerals,Oil & Gas Production,-2.82
17,APA,97,33.75,27.17,25.44,15.55,41.2,Energy Minerals,Integrated Oil,0.41
155,NOG,97,23.87,21.58,20.75,11.4,29.1,Energy Minerals,Oil & Gas Production,0.41
232,WIRE,97,118.48,116.18,106.38,65.26,151.64,Producer Manufacturing,Metal Fabrication,2.76
188,SBLK,97,25.47,22.88,22.25,13.26,32.0,Transportation,Marine Shipping,4.95
171,PDCE,97,59.71,52.02,49.85,30.25,72.9,Energy Minerals,Oil & Gas Production,2.57
46,CF,97,76.18,63.49,59.92,43.19,100.52,Process Industries,Chemicals: Agricultural,-7.06
12,ANAT,97,188.45,188.32,179.83,104.4,195.89,Finance,Multi-Line Insurance,-0.12
203,SWCH,97,25.94,25.84,24.67,15.22,29.15,Technology Services,Information Technology Services,1.22
206,TECK,97,34.96,29.01,27.34,17.31,42.38,Non-Energy Minerals,Other Metals/Minerals,-0.48
116,ITCI,96,50.05,42.74,41.73,28.4,59.88,Health Technology,Biotechnology,2.33
178,RES,96,7.51,5.56,5.41,3.33,11.79,Industrial Services,Oilfield Services/Equipment,-3.27
20,AQUA,96,41.91,41.8,39.64,23.55,49.38,Industrial Services,Environmental Services,3.62
83,EVA,96,71.64,64.6,61.0,46.93,81.53,Process Industries,Industrial Specialties,1.0
39,CARG,96,35.43,34.08,32.3,22.63,50.03,Technology Services,Internet Software/Services,7.22
4,ACLS,96,65.81,58.83,53.96,33.36,77.6,Electronic Technology,Electronic Production Equipment,11.45
175,PTEN,96,12.1,9.6,9.5,6.07,17.09,Industrial Services,Contract Drilling,-0.75
65,COST,96,515.4,499.68,475.81,322.38,571.49,Retail Trade,Department Stores,0.2
64,COP,96,89.84,74.58,70.28,47.85,104.44,Energy Minerals,Oil & Gas Production,-0.24
14,ANET,96,124.0,114.28,108.7,70.37,148.57,Electronic Technology,Computer Communications,2.5
124,KRP,96,15.17,13.71,13.15,9.77,17.1,Miscellaneous,Investment Trusts/Mutual Funds,0.9
125,LNG,96,118.1,105.1,100.24,69.56,143.4,Industrial Services,Oil & Gas Pipelines,-0.54
48,CHK,96,71.1,64.73,62.01,40.0,88.75,Energy Minerals,Integrated Oil,2.05
49,CIVI,96,52.66,49.43,47.69,29.62,59.65,Energy Minerals,Integrated Oil,0.76
141,MOS,96,46.57,39.69,37.67,28.26,64.71,Process Industries,Chemicals: Agricultural,-1.47
156,NTR,96,78.38,70.64,67.94,52.28,102.25,Process Industries,Chemicals: Agricultural,-3.71
164,OVV,96,41.28,35.61,33.87,21.07,50.87,Energy Minerals,Oil & Gas Production,1.46
57,CMRE,95,13.64,13.47,12.87,9.18,16.72,Transportation,Marine Shipping,4.33
209,THC,95,80.85,75.56,73.82,49.15,91.89,Health Services,Hospital/Nursing Management,0.18
34,BLDR,95,72.49,65.9,60.4,39.24,86.48,Producer Manufacturing,Building Products,2.6
139,MNRL,95,22.88,21.34,20.9,13.66,28.2,Miscellaneous,Investment Trusts/Mutual Funds,0.04
227,VNOM,95,27.23,23.24,22.01,14.24,30.86,Energy Minerals,Integrated Oil,0.65
214,TSEM,95,40.83,35.59,33.64,24.81,47.64,Electronic Technology,Semiconductors,0.78
122,KR,95,48.11,44.24,42.91,34.52,62.58,Retail Trade,Food Retail,-2.14
204,SYNA,95,221.12,219.63,202.03,114.05,299.39,Electronic Technology,Semiconductors,7.21
79,EOG,95,108.78,89.66,86.12,62.81,122.5,Energy Minerals,Oil & Gas Production,-0.72
119,KBR,95,47.42,43.97,42.62,30.95,56.07,Technology Services,Information Technology Services,-0.85
167,PANW,95,522.1,503.38,472.57,311.56,598.96,Electronic Technology,Computer Communications,2.57
19,APR,94,36.76,34.82,33.21,21.78,40.0,Health Services,Medical/Nursing Services,0.24
95,GLNG,94,15.28,13.26,13.04,9.26,19.32,Transportation,Marine Shipping,0.71
173,PFE,94,51.4,49.02,46.76,35.12,61.71,Health Technology,Pharmaceuticals: Major,1.36
132,MCK,94,265.18,230.54,221.21,180.42,293.4,Distribution Services,Medical Distributors,0.25
13,ANDE,94,40.45,35.56,33.89,25.2,50.4,Process Industries,Agricultural Commodities/Milling,1.94
107,HRMY,94,38.71,38.5,36.26,25.09,47.74,Health Technology,Pharmaceuticals: Major,8.9
73,CVX,94,138.43,117.0,112.82,92.86,174.76,Energy Minerals,Integrated Oil,-0.36
130,MATX,94,96.44,87.48,81.79,59.65,119.41,Transportation,Marine Shipping,1.59
200,STLD,94,63.69,63.63,63.18,44.44,77.57,Non-Energy Minerals,Steel,2.6
67,CSL,94,230.82,223.83,215.91,152.44,250.23,Producer Manufacturing,Miscellaneous Manufacturing,3.31
197,SPTN,94,27.04,24.38,23.13,18.08,33.11,Distribution Services,Food Distributors,0.46
179,RHI,94,114.61,109.93,104.97,73.17,125.77,Commercial Services,Personnel Services,2.75
1,ABBV,94,141.86,123.66,120.76,102.05,156.82,Health Technology,Pharmaceuticals: Major,0.11
