,Stock,RS_Rating,50 Day MA,150 Day Ma,200 Day MA,52 Week Low,52 week High,Sector,Industry,Daily_change
194,ZIM,100,66.58,56.4,52.75,22.68,83.88,Transportation,Marine Shipping,4.73
30,CEIX,100,27.16,25.85,24.02,8.65,38.44,Energy Minerals,Coal,-5.83
185,WFRD,100,31.07,25.9,23.64,10.0,36.87,Industrial Services,Oilfield Services/Equipment,-6.25
172,UAN,100,99.6,80.19,74.45,30.55,118.1,Process Industries,Chemicals: Agricultural,4.29
6,AMR,100,82.59,61.5,52.15,11.13,137.0,Energy Minerals,Coal,-14.6
104,LXU,100,12.8,9.93,8.74,2.96,22.03,Process Industries,Chemicals: Agricultural,-9.88
82,HMHC,100,18.24,15.8,14.6,5.53,21.13,Consumer Services,Other Consumer Services,-0.1
189,WLL,99,73.34,64.06,60.57,31.26,90.89,Energy Minerals,Oil & Gas Production,-2.54
178,VET,99,16.74,11.93,10.95,5.51,23.93,Energy Minerals,Oil & Gas Production,-10.02
147,RRC,99,21.24,20.29,19.06,8.47,28.36,Energy Minerals,Oil & Gas Production,-7.16
130,OAS,99,135.5,117.44,111.24,56.36,158.48,Energy Minerals,Oil & Gas Production,-0.81
103,LNTH,99,33.01,28.52,27.89,19.14,56.19,Health Technology,Medical Specialties,-3.76
93,IPI,99,48.9,41.82,39.06,22.82,87.64,Non-Energy Minerals,Other Metals/Minerals,-7.78
64,ERF,99,11.88,9.51,8.79,4.71,14.59,Energy Minerals,Oil & Gas Production,-5.08
60,DVN,99,52.61,41.86,38.18,20.14,63.1,Energy Minerals,Oil & Gas Production,-10.15
0,AA,99,68.4,55.02,50.5,27.11,92.32,Non-Energy Minerals,Aluminum,-7.01
14,ARCH,99,111.09,92.96,84.55,39.02,163.99,Energy Minerals,Coal,-9.71
13,AR,99,20.85,18.65,17.45,8.64,27.31,Energy Minerals,Oil & Gas Production,-4.99
15,ARLP,99,13.77,11.33,10.21,5.33,16.16,Energy Minerals,Coal,-9.26
32,CF,98,75.33,62.9,59.54,43.19,100.52,Process Industries,Chemicals: Agricultural,-1.17
57,DAC,98,86.91,78.53,76.01,44.26,102.95,Transportation,Marine Shipping,-1.35
134,OXY,98,40.49,33.1,31.94,21.62,59.6,Energy Minerals,Oil & Gas Production,-4.07
146,ROCC,98,31.88,27.89,26.25,11.81,42.66,Energy Minerals,Oil & Gas Production,-9.21
7,ANAT,98,188.42,188.32,179.42,102.69,195.89,Finance,Multi-Line Insurance,-0.02
151,RXDX,98,39.23,32.07,29.87,16.11,51.96,Health Technology,Biotechnology,-8.14
42,CNQ,98,52.29,42.78,40.62,28.5,61.83,Energy Minerals,Oil & Gas Production,-4.99
152,RYI,98,24.73,24.36,22.04,13.39,33.62,Non-Energy Minerals,Steel,1.74
119,MUR,98,32.53,27.63,26.33,14.91,39.41,Energy Minerals,Oil & Gas Production,0.79
118,MTDR,98,45.34,39.63,37.89,21.55,57.5,Energy Minerals,Oil & Gas Production,-4.43
115,MRO,98,20.57,16.5,15.54,9.7,25.7,Energy Minerals,Oil & Gas Production,-4.27
127,NUE,98,116.64,112.1,108.69,66.92,140.25,Non-Energy Minerals,Steel,-2.37
157,SM,98,35.02,29.77,27.71,14.79,43.69,Energy Minerals,Oil & Gas Production,-5.18
37,CLR,98,53.51,47.34,44.33,24.4,62.97,Energy Minerals,Oil & Gas Production,-2.03
79,HCC,98,30.28,25.55,23.59,15.07,42.95,Energy Minerals,Coal,-10.6
