,Stock,RS_Rating,50 Day MA,150 Day Ma,200 Day MA,52 Week Low,52 week High,Sector,Industry,Daily_change
18,AR,100,26.03,21.16,19.32,8.81,35.86,Energy Minerals,Oil & Gas Production,1.91
149,LXU,100,18.52,12.43,10.79,3.58,27.24,Process Industries,Chemicals: Agricultural,2.65
223,SGML,100,12.35,10.35,9.39,3.84,19.48,Non-Energy Minerals,Other Metals/Minerals,-0.25
129,IPI,100,69.78,50.24,45.6,22.82,114.29,Non-Energy Minerals,Other Metals/Minerals,4.0
119,HPK,100,21.32,16.3,14.79,7.0,34.74,Industrial Services,Contract Drilling,6.07
12,AMR,100,111.8,75.15,64.38,11.75,159.34,Energy Minerals,Coal,4.52
252,UAN,100,119.02,92.74,83.5,42.0,158.27,Process Industries,Chemicals: Agricultural,4.08
268,WFRD,100,32.8,28.66,25.57,10.0,38.92,Industrial Services,Oilfield Services/Equipment,4.04
33,BTU,100,21.36,15.39,14.7,3.44,32.69,Energy Minerals,Coal,5.92
39,CEIX,100,33.81,28.09,26.34,8.65,49.39,Energy Minerals,Coal,3.35
202,PTEN,99,14.51,10.73,10.03,6.07,17.8,Industrial Services,Contract Drilling,1.03
210,ROCC,99,34.28,30.54,27.64,11.81,42.66,Energy Minerals,Oil & Gas Production,4.77
77,DVN,99,57.04,46.21,41.17,20.14,64.29,Energy Minerals,Oil & Gas Production,-1.87
212,RRC,99,26.09,22.62,20.75,8.47,33.57,Energy Minerals,Oil & Gas Production,-0.89
216,RYI,99,30.5,26.31,24.4,13.39,41.37,Non-Energy Minerals,Steel,3.27
198,PDS,99,63.0,47.14,43.86,24.5,84.0,Industrial Services,Contract Drilling,-1.39
20,ARLP,99,14.57,12.44,11.23,5.45,17.68,Energy Minerals,Coal,-0.34
19,ARCH,99,133.66,103.91,94.59,44.2,167.76,Energy Minerals,Coal,2.63
0,AA,99,81.16,61.7,56.32,31.0,98.09,Non-Energy Minerals,Aluminum,0.4
146,LNTH,99,46.68,33.19,31.44,19.3,61.26,Health Technology,Medical Specialties,1.34
85,ERF,99,12.65,10.64,9.47,4.78,14.59,Energy Minerals,Oil & Gas Production,-0.22
61,CRK,99,10.33,9.42,8.59,4.67,16.84,Energy Minerals,Oil & Gas Production,1.83
117,HMHC,99,19.97,16.69,15.53,7.46,21.18,Consumer Services,Other Consumer Services,0.0
258,VET,99,19.73,14.15,12.37,5.51,23.93,Energy Minerals,Oil & Gas Production,0.37
105,GLNG,99,19.42,15.01,14.13,10.01,26.6,Transportation,Marine Shipping,1.13
263,VRTV,99,117.55,113.54,103.43,40.6,158.99,Distribution Services,Wholesale Distributors,-0.84
131,ISEE,99,15.87,15.78,14.19,5.62,19.34,Health Technology,Pharmaceuticals: Major,-0.57
97,FLNG,99,23.91,21.01,19.06,10.55,32.14,Energy Minerals,Oil & Gas Production,4.79
162,MOS,98,58.33,44.88,41.45,28.26,77.05,Process Industries,Chemicals: Agricultural,1.33
167,MTDR,98,50.62,43.7,40.26,21.8,58.13,Energy Minerals,Oil & Gas Production,0.07
166,MRO,98,23.45,18.56,16.87,9.7,26.95,Energy Minerals,Oil & Gas Production,0.15
156,MGY,98,22.9,20.64,19.09,10.29,26.61,Energy Minerals,Oil & Gas Production,0.81
43,CF,98,90.81,71.65,65.35,43.19,113.49,Process Industries,Chemicals: Agricultural,-0.55
48,CLR,98,58.86,51.24,47.37,24.68,66.71,Energy Minerals,Oil & Gas Production,-0.65
106,GOGL,98,11.52,9.3,9.07,7.13,13.7,Transportation,Marine Shipping,9.65
147,LPI,98,75.58,72.68,68.74,32.52,99.26,Energy Minerals,Oil & Gas Production,-0.34
169,MUR,98,37.13,30.65,28.27,14.91,43.2,Energy Minerals,Oil & Gas Production,1.63
84,EQT,98,28.26,23.35,22.27,15.71,42.58,Energy Minerals,Oil & Gas Production,1.29
228,SM,98,37.92,33.08,29.64,14.79,43.69,Energy Minerals,Oil & Gas Production,-1.64
11,AMPH,98,32.28,24.83,23.59,17.01,44.46,Health Technology,Pharmaceuticals: Major,-1.77
272,WLL,98,77.59,69.61,64.09,33.13,90.89,Energy Minerals,Oil & Gas Production,-0.14
184,OAS,98,140.12,124.08,115.01,69.57,158.48,Energy Minerals,Oil & Gas Production,-0.68
190,OXY,98,50.98,38.08,35.14,21.62,63.24,Energy Minerals,Oil & Gas Production,-0.47
17,APA,98,37.78,30.42,27.46,15.55,44.28,Energy Minerals,Integrated Oil,0.16
217,SBLK,98,27.67,22.17,21.06,15.1,32.0,Transportation,Marine Shipping,8.28
208,RES,98,9.63,6.55,5.95,3.33,12.68,Industrial Services,Oilfield Services/Equipment,2.9
243,TRGP,98,68.76,58.25,54.41,31.37,79.43,Energy Minerals,Oil Refining/Marketing,0.83
127,IMO,97,45.58,38.22,35.34,23.94,51.75,Energy Minerals,Integrated Oil,-0.45
125,ICL,97,11.1,9.53,8.85,6.16,12.96,Process Industries,Chemicals: Agricultural,0.63
112,HCC,97,35.27,28.05,25.88,15.07,42.95,Energy Minerals,Coal,-0.65
180,NTR,97,92.29,76.54,72.25,52.28,112.88,Process Industries,Chemicals: Agricultural,2.05
66,CVE,97,15.98,13.37,12.1,7.16,17.78,Energy Minerals,Integrated Oil,-0.17
