,Stock,RS_Rating,50 Day MA,150 Day Ma,200 Day MA,52 Week Low,52 week High,Sector,Industry,Daily_change,returnsMultiple
266,SGML,100,12.76,10.53,9.57,4.03,19.48,Non-Energy Minerals,Other Metals/Minerals,0.41,3.97
47,BTU,100,22.48,15.67,15.05,3.44,33.29,Energy Minerals,Coal,0.45,7.6
182,LXU,100,19.47,12.83,11.12,3.58,27.45,Process Industries,Chemicals: Agricultural,-0.52,5.36
146,HPK,100,22.25,16.78,15.12,7.2,34.74,Industrial Services,Contract Drilling,-0.3,4.09
15,AMR,100,116.76,77.26,66.38,11.75,164.69,Energy Minerals,Coal,-0.69,10.88
53,CEIX,100,35.25,28.52,26.8,8.66,50.39,Energy Minerals,Coal,2.83,4.94
297,UAN,100,123.24,95.04,85.2,42.01,179.74,Process Industries,Chemicals: Agricultural,-0.23,3.89
24,AR,100,26.95,21.54,19.64,8.81,37.34,Energy Minerals,Oil & Gas Production,2.19,3.78
252,ROCC,99,34.69,30.91,27.86,12.01,42.66,Energy Minerals,Oil & Gas Production,4.57,2.96
258,RYI,99,31.8,26.7,24.83,13.39,43.91,Non-Energy Minerals,Steel,0.33,2.8
254,RRC,99,26.86,22.9,21.0,8.47,34.61,Energy Minerals,Oil & Gas Production,1.01,3.49
79,CRK,99,10.91,9.6,8.75,4.67,18.55,Energy Minerals,Oil & Gas Production,2.31,3.45
214,NEX,99,8.77,6.0,5.46,3.06,11.72,Industrial Services,Oilfield Services/Equipment,1.25,3.21
26,ARLP,99,14.79,12.6,11.39,5.45,17.69,Energy Minerals,Coal,0.65,2.74
178,LNTH,99,48.81,33.93,31.94,19.3,64.14,Health Technology,Medical Specialties,3.79,2.77
243,PTEN,99,14.98,10.96,10.2,6.08,18.72,Industrial Services,Contract Drilling,0.22,2.68
241,PDS,99,64.97,48.02,44.4,24.5,85.29,Industrial Services,Contract Drilling,-0.47,2.72
25,ARCH,99,137.49,105.62,96.25,44.2,175.99,Energy Minerals,Coal,1.91,3.31
157,IPI,99,74.2,52.03,46.89,22.82,121.72,Non-Energy Minerals,Other Metals/Minerals,-0.05,3.76
310,VRTV,99,120.9,114.65,104.68,40.6,158.99,Distribution Services,Wholesale Distributors,1.74,3.31
110,ERF,99,12.75,10.78,9.56,4.78,14.59,Energy Minerals,Oil & Gas Production,2.37,2.58
101,DVN,99,58.15,47.56,42.34,20.14,64.98,Energy Minerals,Oil & Gas Production,2.56,2.97
315,WFRD,99,33.19,29.09,25.87,10.0,40.16,Industrial Services,Oilfield Services/Equipment,-1.62,3.39
304,VET,99,20.15,14.48,12.6,5.51,23.93,Energy Minerals,Oil & Gas Production,1.92,3.2
209,MUR,99,37.75,31.1,28.57,14.91,44.63,Energy Minerals,Oil & Gas Production,0.72,2.63
275,SRRA,99,35.29,26.68,24.91,14.91,54.97,Health Technology,Biotechnology,-0.26,2.88
122,FLNG,99,24.49,21.3,19.31,11.14,32.77,Energy Minerals,Oil & Gas Production,-1.84,2.64
109,EQT,98,29.67,23.84,22.63,15.71,45.5,Energy Minerals,Oil & Gas Production,1.55,2.42
104,ENLC,98,9.27,7.88,7.28,4.16,10.78,Industrial Services,Oil & Gas Pipelines,2.67,2.45
70,CNQ,98,59.06,47.72,43.84,28.86,69.25,Energy Minerals,Oil & Gas Production,2.76,2.25
64,CLR,98,59.38,51.73,47.77,24.68,66.86,Energy Minerals,Oil & Gas Production,1.62,2.42
179,LPI,98,76.49,73.03,68.64,32.52,99.26,Energy Minerals,Oil & Gas Production,6.37,2.32
84,CVE,98,16.14,13.55,12.23,7.16,18.39,Energy Minerals,Integrated Oil,1.67,2.28
191,MGY,98,23.15,20.84,19.25,10.29,26.83,Energy Minerals,Oil & Gas Production,1.35,2.31
204,MRO,98,23.8,18.86,17.07,9.7,27.72,Energy Minerals,Oil & Gas Production,3.25,2.51
206,MTDR,98,51.39,44.27,40.6,21.8,59.12,Energy Minerals,Oil & Gas Production,0.9,2.37
159,ISEE,98,16.01,15.8,14.32,5.7,19.34,Health Technology,Pharmaceuticals: Major,4.94,2.55
0,AA,98,82.6,62.46,57.08,31.0,98.09,Non-Energy Minerals,Aluminum,0.4,2.38
232,OXY,98,52.22,38.76,35.57,21.62,63.24,Energy Minerals,Oil & Gas Production,1.81,2.36
231,OVV,98,47.72,39.69,36.35,21.07,56.72,Energy Minerals,Oil & Gas Production,4.22,2.41
21,APA,98,38.37,30.91,27.8,15.55,45.22,Energy Minerals,Integrated Oil,-0.14,2.44
250,RES,98,9.96,6.72,6.06,3.33,12.91,Industrial Services,Oilfield Services/Equipment,1.37,2.44
240,PDCE,98,67.81,56.91,52.6,32.17,79.39,Energy Minerals,Oil & Gas Production,1.81,2.23
271,SM,98,38.21,33.46,29.87,14.79,43.69,Energy Minerals,Oil & Gas Production,0.52,2.33
16,AMRK,98,75.68,67.99,62.88,35.04,89.1,Distribution Services,Wholesale Distributors,0.28,2.37
288,TRGP,98,69.88,58.94,54.94,31.52,81.13,Energy Minerals,Oil Refining/Marketing,2.0,2.34
319,WLL,98,78.03,70.22,64.5,33.13,90.89,Energy Minerals,Oil & Gas Production,0.94,2.27
287,TMST,97,19.79,16.34,15.72,10.59,24.99,Non-Energy Minerals,Steel,0.45,1.99
111,ESTE,97,13.21,11.8,11.12,6.48,16.24,Energy Minerals,Integrated Oil,6.98,2.18
57,CF,97,92.87,72.87,66.21,43.19,113.49,Process Industries,Chemicals: Agricultural,-0.8,2.12
303,VAL,97,47.13,39.77,36.75,20.25,55.71,Industrial Services,Contract Drilling,0.27,2.09
317,WHD,97,53.62,45.18,42.84,27.26,64.18,Industrial Services,Oilfield Services/Equipment,1.19,2.08
131,GLNG,97,20.06,15.28,14.3,10.01,26.6,Transportation,Marine Shipping,-2.42,2.08
14,AMPH,97,33.07,25.25,23.87,17.01,44.46,Health Technology,Pharmaceuticals: Major,0.18,2.08
62,CIVI,97,55.92,52.8,49.09,29.69,66.42,Energy Minerals,Integrated Oil,3.75,2.11
218,NOG,97,26.23,23.41,21.74,11.9,30.44,Energy Minerals,Oil & Gas Production,3.77,2.2
211,NBR,97,148.27,115.38,107.84,65.58,207.67,Industrial Services,Contract Drilling,-1.56,2.09
18,ANDE,97,46.98,39.03,36.31,25.2,58.94,Process Industries,Agricultural Commodities/Milling,3.15,1.99
171,LAC,97,29.9,28.96,25.93,11.84,41.56,Process Industries,Chemicals: Agricultural,-1.06,2.16
221,NTR,97,94.79,77.59,73.06,52.28,117.25,Process Industries,Chemicals: Agricultural,-0.19,2.01
222,NUE,97,139.08,117.81,115.09,75.6,173.0,Non-Energy Minerals,Steel,-1.5,2.01
225,OAS,97,140.82,125.29,115.83,69.73,158.48,Energy Minerals,Oil & Gas Production,1.36,2.09
200,MOS,97,60.35,45.77,42.14,28.26,79.28,Process Industries,Chemicals: Agricultural,-2.83,2.14
237,PBF,97,22.05,16.89,15.13,7.24,30.13,Energy Minerals,Oil Refining/Marketing,-1.7,2.09
192,MIME,96,79.54,76.76,72.72,40.34,85.48,Technology Services,Packaged Software,-0.05,1.78
184,MCB,96,100.55,97.64,91.15,52.28,115.78,Finance,Major Banks,1.57,1.82
283,TECK,96,39.03,31.86,29.5,19.32,44.93,Non-Energy Minerals,Other Metals/Minerals,0.69,1.88
132,GOGL,96,11.78,9.38,9.15,7.59,14.27,Transportation,Marine Shipping,-0.3,1.9
78,CRC,96,43.49,42.81,39.77,21.79,50.44,Energy Minerals,Oil & Gas Production,2.84,1.89
133,GOGO,96,17.18,15.21,14.37,9.61,23.69,Communications,Wireless Telecommunications,-3.7,1.96
138,HAL,96,35.98,28.33,26.27,17.82,42.6,Industrial Services,Oilfield Services/Equipment,-4.14,1.96
169,KRP,96,16.12,14.68,13.72,9.82,17.7,Miscellaneous,Investment Trusts/Mutual Funds,1.45,1.79
140,HCC,96,35.85,28.32,26.2,15.07,42.95,Energy Minerals,Coal,-4.0,1.96
160,ITCI,96,58.48,47.53,44.13,28.4,66.0,Health Technology,Pharmaceuticals: Major,-1.75,1.92
145,HP,96,40.43,32.14,30.92,20.93,50.34,Industrial Services,Contract Drilling,0.79,1.87
260,SBLK,96,28.21,22.37,21.26,16.56,32.41,Transportation,Marine Shipping,-4.21,1.91
153,ICL,96,11.29,9.64,8.94,6.16,12.96,Process Industries,Chemicals: Agricultural,-0.87,1.88
155,IMO,96,46.07,38.68,35.66,23.94,51.76,Energy Minerals,Integrated Oil,2.26,1.95
164,KEN,96,60.9,48.86,45.12,30.4,72.9,Utilities,Electric Utilities,1.22,1.93
52,CCJ,96,26.26,24.18,22.71,15.34,32.49,Non-Energy Minerals,Other Metals/Minerals,4.4,1.8
59,CHK,96,80.33,68.52,64.74,44.78,97.61,Energy Minerals,Integrated Oil,1.34,1.96
73,COP,96,97.31,81.8,75.15,47.85,107.52,Energy Minerals,Oil & Gas Production,1.09,1.98
45,BRY,96,10.29,9.11,8.23,4.72,12.55,Energy Minerals,Oil & Gas Production,1.9,1.96
246,PXD,95,239.38,201.67,186.65,133.73,260.0,Energy Minerals,Oil & Gas Production,1.0,1.7
