,Stock,RS_Rating,50 Day MA,150 Day Ma,200 Day MA,52 Week Low,52 week High,Sector,Industry,Daily_change
209,ZIM,100,65.66,54.15,50.12,20.65,77.45,Transportation,Marine Shipping,2.17
6,AMR,100,80.05,60.28,51.09,11.13,136.96,Energy Minerals,Coal,12.35
93,HPK,100,18.89,14.2,13.25,6.0,26.0,Industrial Services,Contract Drilling,-3.87
13,ARCH,100,108.94,91.87,83.65,39.02,163.99,Energy Minerals,Coal,10.18
25,BTU,100,14.64,13.72,12.56,2.61,27.28,Energy Minerals,Coal,11.54
114,LXU,100,12.43,9.74,8.59,2.96,21.42,Process Industries,Chemicals: Agricultural,12.91
186,UAN,100,94.62,75.89,70.62,27.52,118.1,Process Industries,Chemicals: Agricultural,2.34
27,CEIX,100,26.8,25.72,23.84,8.65,38.44,Energy Minerals,Coal,6.23
170,SM,99,34.75,29.51,27.53,14.79,43.69,Energy Minerals,Oil & Gas Production,2.64
159,RRC,99,20.93,20.13,18.93,8.47,28.36,Energy Minerals,Oil & Gas Production,5.43
157,ROCC,99,31.55,27.62,26.08,11.81,42.66,Energy Minerals,Oil & Gas Production,6.01
139,OAS,99,135.0,116.74,110.67,56.36,158.48,Energy Minerals,Oil & Gas Production,1.61
192,VET,99,16.39,11.74,10.81,5.51,23.93,Energy Minerals,Oil & Gas Production,5.21
112,LNTH,99,32.16,28.19,27.59,19.14,54.1,Health Technology,Medical Specialties,-1.1
199,WFRD,99,30.76,25.65,23.41,10.0,36.0,Industrial Services,Oilfield Services/Equipment,6.01
203,WLL,99,72.78,63.6,60.22,31.26,90.89,Energy Minerals,Oil & Gas Production,2.05
92,HMHC,99,18.05,15.7,14.49,5.53,21.13,Consumer Services,Other Consumer Services,-0.62
88,HCC,99,29.72,25.26,23.38,15.07,42.95,Energy Minerals,Coal,8.56
77,FLNG,99,21.16,18.9,17.43,8.32,26.26,Energy Minerals,Oil & Gas Production,-0.74
67,ERF,99,11.79,9.42,8.72,4.71,14.59,Energy Minerals,Oil & Gas Production,0.97
63,DVN,99,52.14,41.4,37.78,20.14,63.1,Energy Minerals,Oil & Gas Production,2.77
36,CLMT,99,14.88,11.87,10.58,4.7,17.43,Process Industries,Industrial Specialties,-0.6
0,AA,99,67.72,54.54,50.11,27.11,92.32,Non-Energy Minerals,Aluminum,4.3
14,ARLP,99,13.66,11.23,10.12,5.33,15.98,Energy Minerals,Coal,6.06
12,AR,99,20.54,18.48,17.31,8.64,27.13,Energy Minerals,Oil & Gas Production,0.99
99,ICL,98,10.17,8.73,8.26,5.74,12.21,Process Industries,Chemicals: Agricultural,2.43
37,CLR,98,53.0,47.04,44.07,24.4,62.97,Energy Minerals,Oil & Gas Production,1.78
85,GSL,98,25.11,23.04,21.65,12.52,29.43,Transportation,Marine Shipping,4.27
82,GDEN,98,49.45,48.94,47.92,24.47,59.32,Consumer Services,Casinos/Gaming,0.98
125,MRO,98,20.32,16.36,15.43,9.7,25.7,Energy Minerals,Oil & Gas Production,2.05
60,DAC,98,85.98,78.19,75.67,44.26,102.95,Transportation,Marine Shipping,0.44
181,TRGP,98,59.98,53.24,50.72,29.95,72.03,Energy Minerals,Oil Refining/Marketing,1.99
128,MTDR,98,44.75,39.31,37.67,21.55,57.5,Energy Minerals,Oil & Gas Production,2.9
130,MUR,98,32.09,27.42,26.17,14.91,39.41,Energy Minerals,Oil & Gas Production,1.89
136,NUE,98,115.86,111.72,108.35,66.92,140.25,Non-Energy Minerals,Steel,2.73
