,Stock,RS_Rating,50 Day MA,150 Day Ma,200 Day MA,52 Week Low,52 week High,Sector,Industry,Daily_change
109,FLNG,100,21.49,19.73,18.04,8.67,29.34,Energy Minerals,Oil & Gas Production,-2.92
17,AMR,100,94.37,67.39,57.27,11.75,137.0,Energy Minerals,Coal,-0.3
55,CEIX,100,29.38,26.73,24.93,8.65,41.31,Energy Minerals,Coal,-7.13
47,BTU,100,17.46,14.53,13.48,2.61,27.7,Energy Minerals,Coal,-5.86
274,UAN,100,107.92,85.25,77.93,34.39,150.3,Process Industries,Chemicals: Agricultural,-6.84
165,LXU,100,15.09,10.96,9.59,3.42,24.93,Process Industries,Chemicals: Agricultural,-1.46
135,HPK,100,19.92,15.1,13.94,6.0,26.0,Industrial Services,Contract Drilling,-0.13
244,SGML,99,10.84,9.65,8.69,3.84,15.22,Non-Energy Minerals,Other Metals/Minerals,-3.85
233,RRC,99,22.92,21.24,19.71,8.47,32.06,Energy Minerals,Oil & Gas Production,-0.98
232,ROCC,99,33.03,29.14,26.86,11.81,42.66,Energy Minerals,Oil & Gas Production,-6.0
95,DVN,99,54.82,44.04,39.68,20.14,63.26,Energy Minerals,Oil & Gas Production,-3.28
282,VET,99,18.24,12.91,11.59,5.51,23.93,Energy Minerals,Oil & Gas Production,-7.3
101,ERF,99,12.25,10.0,9.07,4.78,14.59,Energy Minerals,Oil & Gas Production,-4.18
29,ARLP,99,14.04,11.8,10.64,5.45,16.16,Energy Minerals,Coal,-1.41
28,ARCH,99,121.52,98.26,88.9,39.39,163.99,Energy Minerals,Coal,-2.19
27,AR,99,22.62,19.64,18.15,8.81,31.28,Energy Minerals,Oil & Gas Production,-0.54
0,AA,99,73.69,58.0,52.9,30.02,98.09,Non-Energy Minerals,Aluminum,0.54
163,LPI,99,72.15,70.3,68.37,28.31,99.26,Energy Minerals,Oil & Gas Production,-1.83
290,WFRD,99,31.7,27.03,24.52,10.0,36.87,Industrial Services,Oilfield Services/Equipment,-2.82
301,ZIM,99,70.85,58.74,54.57,24.1,91.23,Transportation,Marine Shipping,5.76
133,HMHC,99,19.32,16.29,15.11,6.67,21.13,Consumer Services,Other Consumer Services,-0.43
162,LNTH,99,38.23,30.42,29.34,19.3,58.28,Health Technology,Medical Specialties,4.71
157,KZR,99,14.19,11.88,10.28,4.61,18.55,Health Technology,Biotechnology,-4.6
145,IPI,99,55.77,44.75,41.44,22.82,93.87,Non-Energy Minerals,Other Metals/Minerals,-5.5
190,NEX,98,7.39,5.31,5.06,3.06,9.67,Industrial Services,Oilfield Services/Equipment,-6.55
120,GLNG,98,16.59,13.85,13.39,9.26,24.86,Transportation,Marine Shipping,-4.21
237,RYI,98,26.89,25.29,23.07,13.39,39.58,Non-Energy Minerals,Steel,-4.27
65,CLR,98,56.1,49.08,45.67,24.51,65.32,Energy Minerals,Oil & Gas Production,-3.6
158,LAC,98,27.7,27.63,24.4,11.84,41.56,Process Industries,Chemicals: Agricultural,-4.12
209,OVV,98,43.37,37.1,34.7,21.07,55.45,Energy Minerals,Oil & Gas Production,-2.34
265,TRGP,98,63.77,55.42,52.37,30.6,75.93,Energy Minerals,Oil Refining/Marketing,-1.26
59,CF,98,81.51,66.49,61.83,43.19,109.8,Process Industries,Chemicals: Agricultural,-4.02
140,ICL,98,10.47,8.96,8.34,5.75,12.7,Process Industries,Chemicals: Agricultural,3.41
97,ENLC,98,8.62,7.42,6.96,4.15,10.28,Industrial Services,Oil & Gas Pipelines,-3.52
196,NOG,98,24.69,22.23,21.09,11.4,29.69,Energy Minerals,Oil & Gas Production,-4.53
204,OAS,98,138.67,121.63,114.26,58.67,158.48,Energy Minerals,Oil & Gas Production,-5.85
118,GDEN,98,51.34,49.67,48.63,24.82,59.38,Consumer Services,Casinos/Gaming,0.3
183,MRO,98,21.85,17.34,16.08,9.7,26.22,Energy Minerals,Oil & Gas Production,-2.88
185,MTDR,98,47.83,41.39,38.93,21.8,57.5,Energy Minerals,Oil & Gas Production,-1.83
126,HCC,98,32.62,26.84,24.56,15.07,42.95,Energy Minerals,Coal,-1.62
187,MUR,98,34.57,28.9,27.15,14.91,43.2,Energy Minerals,Oil & Gas Production,-8.51
248,SM,98,36.24,31.24,28.54,14.79,43.69,Energy Minerals,Oil & Gas Production,-2.45
293,WLL,98,75.84,66.75,62.25,32.39,90.89,Energy Minerals,Oil & Gas Production,-6.44
179,MOS,97,50.76,41.56,38.91,28.26,71.5,Process Industries,Chemicals: Agricultural,-4.72
72,CNQ,97,55.41,44.71,41.82,28.86,64.1,Energy Minerals,Oil & Gas Production,-2.26
215,PDCE,97,62.53,53.8,50.85,32.17,78.13,Energy Minerals,Oil & Gas Production,-4.91
86,CVE,97,15.37,12.62,11.63,7.16,16.84,Energy Minerals,Integrated Oil,-2.74
210,OXY,97,45.45,35.3,33.39,21.62,63.24,Energy Minerals,Oil & Gas Production,-3.53
