,Stock,RS_Rating,50 Day MA,150 Day Ma,200 Day MA,52 Week Low,52 week High,Sector,Industry,Daily_change
184,ZIM,100,64.48,55.25,51.91,18.81,75.33,Transportation,Marine Shipping,-4.09
6,AMR,100,75.85,58.29,49.41,11.13,132.3,Energy Minerals,Coal,0.42
32,CLMT,100,14.72,11.69,10.44,4.32,17.43,Process Industries,Industrial Specialties,1.94
81,HMHC,100,17.77,15.53,14.32,5.53,21.07,Consumer Services,Other Consumer Services,-0.19
99,LXU,100,11.93,9.49,8.37,2.96,20.1,Process Industries,Chemicals: Agricultural,0.11
22,BTU,100,13.94,13.49,12.31,2.61,27.28,Energy Minerals,Coal,-16.51
25,CEIX,100,26.16,25.43,23.51,8.65,38.44,Energy Minerals,Coal,-3.51
166,UAN,100,97.18,78.34,73.22,26.0,118.1,Process Industries,Chemicals: Agricultural,-3.01
169,VET,100,15.82,11.43,10.58,5.51,22.17,Energy Minerals,Oil & Gas Production,12.08
147,SM,99,34.18,29.08,27.2,14.79,42.38,Energy Minerals,Oil & Gas Production,2.33
141,SBLK,99,23.07,20.32,19.61,13.26,32.0,Transportation,Marine Shipping,-1.98
136,RRC,99,20.44,19.89,18.73,8.47,27.42,Energy Minerals,Oil & Gas Production,0.94
98,LNTH,99,30.85,27.68,27.13,18.82,54.1,Health Technology,Medical Specialties,-1.01
90,ISEE,99,14.64,14.53,12.79,5.6,19.32,Health Technology,Biotechnology,0.59
82,HPK,99,18.41,13.96,13.06,6.0,26.0,Industrial Services,Contract Drilling,6.77
176,WFRD,99,30.37,25.29,23.07,10.0,35.58,Industrial Services,Oilfield Services/Equipment,3.63
70,FLNG,99,21.17,18.71,17.3,8.05,26.26,Energy Minerals,Oil & Gas Production,6.18
61,ERF,99,11.59,9.25,8.59,4.71,14.59,Energy Minerals,Oil & Gas Production,2.88
57,DVN,99,51.18,40.78,37.35,20.14,62.79,Energy Minerals,Oil & Gas Production,0.54
179,WLL,99,71.73,62.82,59.6,31.26,90.89,Energy Minerals,Oil & Gas Production,1.83
123,OAS,99,133.82,115.56,109.69,55.3,157.61,Energy Minerals,Oil & Gas Production,5.51
0,AA,99,66.46,53.75,49.48,27.11,92.32,Non-Energy Minerals,Aluminum,-5.8
14,ARLP,99,13.45,11.07,9.97,5.33,15.66,Energy Minerals,Coal,-2.94
13,ARCH,99,105.38,90.18,82.2,39.02,163.99,Energy Minerals,Coal,-2.47
12,AR,99,20.08,18.22,17.11,8.64,27.13,Energy Minerals,Oil & Gas Production,3.27
112,MTDR,98,43.86,38.83,37.31,21.55,57.5,Energy Minerals,Oil & Gas Production,0.91
33,CLR,98,52.19,46.53,43.65,24.4,62.38,Energy Minerals,Oil & Gas Production,-0.9
48,CVE,98,14.53,11.83,11.11,7.16,16.84,Energy Minerals,Integrated Oil,1.87
134,ROCC,98,30.86,27.14,25.76,11.81,39.38,Energy Minerals,Oil & Gas Production,0.44
74,GOGL,98,9.57,8.68,8.58,6.61,13.09,Transportation,Marine Shipping,-3.05
75,GSL,98,24.72,22.81,21.47,12.52,29.28,Transportation,Marine Shipping,-2.37
159,TRGP,98,58.97,52.7,50.26,29.95,72.03,Energy Minerals,Oil Refining/Marketing,-1.31
87,ICL,98,10.07,8.65,8.19,5.74,12.21,Process Industries,Chemicals: Agricultural,3.91
37,CNQ,98,50.53,41.87,39.95,28.5,60.65,Energy Minerals,Oil & Gas Production,1.03
120,NUE,98,114.95,111.2,107.91,62.92,140.25,Non-Energy Minerals,Steel,-4.92
29,CHK,98,67.7,61.97,59.37,40.0,88.75,Energy Minerals,Integrated Oil,1.05
111,MRO,98,19.87,16.11,15.24,9.7,25.39,Energy Minerals,Oil & Gas Production,2.18
114,MUR,98,31.46,27.1,25.93,14.91,38.69,Energy Minerals,Oil & Gas Production,0.35
108,MOS,98,43.83,38.42,36.85,28.26,64.71,Process Industries,Chemicals: Agricultural,2.19
118,NOG,98,23.26,21.2,20.48,11.4,29.1,Energy Minerals,Oil & Gas Production,-1.13
