,Stock,RS_Rating,50 Day MA,150 Day Ma,200 Day MA,52 Week Low,52 week High,Sector,Industry,Daily_change,returnsMultiple
120,HAL,96,35.64,28.07,26.1,17.82,42.25,Industrial Services,Oilfield Services/Equipment,2.16,1.93
94,ESTE,96,13.13,11.71,11.09,6.44,15.27,Energy Minerals,Integrated Oil,6.25,1.98
168,MNRL,96,24.36,22.09,21.11,15.27,28.84,Miscellaneous,Investment Trusts/Mutual Funds,1.36,1.81
97,EVA,96,75.69,68.7,64.54,47.0,89.42,Process Industries,Industrial Specialties,1.22,1.88
32,BKR,96,33.41,27.71,26.12,18.75,39.78,Industrial Services,Oilfield Services/Equipment,0.38,1.82
249,TECK,96,38.65,31.64,29.3,19.32,44.93,Non-Energy Minerals,Other Metals/Minerals,2.85,1.88
252,TMST,96,19.4,16.2,15.61,10.52,24.17,Non-Energy Minerals,Steel,4.72,1.96
127,HP,96,39.74,31.83,30.74,20.93,50.15,Industrial Services,Contract Drilling,1.04,1.84
70,CTRA,96,25.2,21.85,20.22,14.28,31.42,Energy Minerals,Integrated Oil,4.59,1.9
270,VNOM,96,29.13,25.04,23.27,15.98,32.22,Energy Minerals,Integrated Oil,0.86,1.83
16,ANDE,96,46.15,38.66,36.03,25.2,58.94,Process Industries,Agricultural Commodities/Milling,-3.31,1.94
66,CRC,96,43.37,42.75,39.59,21.79,50.44,Energy Minerals,Oil & Gas Production,0.47,1.8
166,MIME,96,79.54,76.61,72.46,40.34,85.48,Technology Services,Packaged Software,0.03,1.82
228,SBLK,96,28.46,23.83,23.01,16.1,32.15,Transportation,Marine Shipping,4.1,1.79
148,KRP,96,16.01,14.61,13.66,9.82,17.7,Miscellaneous,Investment Trusts/Mutual Funds,0.99,1.81
140,ITCI,96,58.06,47.17,43.95,28.4,66.0,Health Technology,Pharmaceuticals: Major,-5.74,1.91
244,STLD,95,74.96,65.67,65.27,49.53,91.79,Non-Energy Minerals,Steel,2.48,1.7
240,SPTN,95,30.94,26.28,24.68,18.08,35.66,Distribution Services,Food Distributors,0.06,1.68
101,FANG,95,134.47,117.58,107.79,65.93,147.99,Energy Minerals,Oil & Gas Production,1.13,1.72
131,HRMY,95,44.6,40.76,38.3,25.09,53.34,Health Technology,Pharmaceuticals: Major,-2.15,1.76
237,SLCA,95,15.24,11.6,11.14,7.23,21.54,Non-Energy Minerals,Other Metals/Minerals,2.74,1.67
89,EOG,95,117.26,98.66,91.25,62.81,127.95,Energy Minerals,Oil & Gas Production,0.31,1.73
153,LNG,95,131.02,112.75,106.02,71.9,149.42,Industrial Services,Oil & Gas Pipelines,-0.2,1.78
216,PXD,95,238.23,200.3,185.69,133.73,260.0,Energy Minerals,Oil & Gas Production,0.75,1.73
64,CPE,95,57.35,53.49,49.54,25.32,66.48,Energy Minerals,Oil & Gas Production,1.63,1.68
74,CVX,95,155.44,127.39,119.74,92.86,174.76,Energy Minerals,Integrated Oil,1.34,1.67
23,ASIX,95,46.14,44.9,42.02,26.95,57.1,Process Industries,Chemicals: Specialty,3.64,1.76
248,TALO,94,15.44,12.81,12.56,8.57,20.6,Energy Minerals,Oil & Gas Production,0.25,1.61
15,ANAT,94,188.94,188.3,184.46,111.25,195.89,Finance,Multi-Line Insurance,0.02,1.62
236,SLB,94,40.86,35.09,33.37,24.52,46.27,Industrial Services,Oilfield Services/Equipment,0.99,1.59
56,CMRE,94,14.68,13.37,12.9,9.18,18.01,Transportation,Marine Shipping,4.15,1.64
60,CNR,94,22.72,17.94,17.58,13.3,24.44,Producer Manufacturing,Building Products,0.12,1.65
160,MCK,94,290.89,246.6,234.41,180.42,329.39,Distribution Services,Medical Distributors,1.05,1.61
35,BSM,94,12.77,11.65,11.2,9.47,15.71,Energy Minerals,Oil & Gas Production,2.42,1.6
123,HES,94,101.12,87.95,84.12,61.93,117.06,Energy Minerals,Oil & Gas Production,0.86,1.6
172,MPC,94,80.05,69.87,66.27,50.19,90.61,Energy Minerals,Oil Refining/Marketing,3.34,1.66
73,CVI,94,22.28,19.36,17.97,11.22,28.65,Energy Minerals,Oil Refining/Marketing,7.96,1.61
179,MUSA,94,191.65,183.6,174.59,126.56,241.59,Retail Trade,Specialty Stores,5.34,1.62
246,SWCH,94,28.05,26.68,25.7,17.62,31.8,Technology Services,Information Technology Services,-0.39,1.64
