,Stock,RS_Rating,50 Day MA,150 Day Ma,200 Day MA,52 Week Low,52 week High,Sector,Industry,Daily_change,returnsMultiple
218,REGN,89,659.18,631.41,628.06,478.4,747.42,Health Technology,Pharmaceuticals: Major,-1.34,1.37
206,PBA,89,35.87,32.61,31.99,28.89,40.08,Industrial Services,Oil & Gas Pipelines,-0.4,1.36
205,PAYX,89,125.98,123.09,120.56,95.91,141.92,Technology Services,Data Processing Services,-0.69,1.35
173,MPLX,89,32.94,30.36,29.34,25.85,34.79,Industrial Services,Oil & Gas Pipelines,-0.12,1.36
193,NVGS,89,11.15,9.6,9.53,7.84,14.21,Transportation,Marine Shipping,-0.14,1.35
276,WES,89,25.23,22.67,21.78,17.97,27.29,Energy Minerals,Oil Refining/Marketing,-1.57,1.35
132,HSY,89,210.02,191.62,187.6,157.94,228.46,Consumer Non-Durables,Food: Specialty/Candy,-0.69,1.35
250,TENB,89,54.17,51.77,49.64,35.53,63.61,Technology Services,Packaged Software,-4.05,1.36
264,USAC,89,17.7,16.24,15.82,14.06,20.14,Industrial Services,Oilfield Services/Equipment,2.2,1.36
274,VST,89,22.6,20.94,20.31,15.47,24.87,Utilities,Electric Utilities,3.37,1.35
229,SEAS,89,67.77,63.82,60.09,41.94,76.0,Consumer Services,Movies/Entertainment,0.52,1.37
34,BRO,89,68.47,65.37,62.85,49.15,74.0,Finance,Insurance Brokers/Services,-1.88,1.35
215,PWR,89,118.98,114.95,110.23,84.4,137.72,Industrial Services,Engineering & Construction,0.91,1.35
12,AM,88,10.36,10.13,9.9,8.42,11.71,Industrial Services,Oil & Gas Pipelines,-0.18,1.33
162,MDRX,88,21.52,18.0,17.68,13.05,23.24,Technology Services,Information Technology Services,-0.94,1.34
255,TSC,88,32.46,29.41,27.14,18.36,34.55,Finance,Regional Banks,-0.88,1.33
8,AIG,88,60.94,58.07,56.03,44.54,64.9,Finance,Multi-Line Insurance,1.38,1.33
143,KBR,88,51.04,46.22,44.32,36.71,56.94,Technology Services,Information Technology Services,-1.91,1.34
18,AON,88,305.36,297.22,288.4,223.19,336.41,Finance,Insurance Brokers/Services,0.24,1.33
106,FLR,88,26.0,22.57,21.06,14.41,31.32,Industrial Services,Engineering & Construction,1.47,1.33
259,TVTY,87,29.11,26.38,25.76,21.25,32.89,Health Services,Medical/Nursing Services,0.03,1.31
141,JNPR,87,34.76,32.36,31.2,24.93,38.14,Technology Services,Information Technology Services,-0.09,1.32
192,NVEE,87,122.28,116.28,111.74,79.58,141.48,Industrial Services,Engineering & Construction,-0.89,1.32
167,MMI,87,49.38,47.1,44.97,34.8,58.33,Finance,Real Estate Development,-1.84,1.32
69,CSL,87,237.12,229.54,222.37,174.51,255.0,Producer Manufacturing,Miscellaneous Manufacturing,-0.37,1.32
58,CNP,87,29.12,27.34,26.84,23.58,32.72,Utilities,Electric Utilities,-0.37,1.32
211,PFE,87,50.98,49.95,48.37,37.96,61.71,Health Technology,Pharmaceuticals: Major,-2.41,1.31
68,CSGS,87,62.25,56.05,53.52,42.58,65.94,Technology Services,Data Processing Services,-0.57,1.32
262,UNH,87,498.35,466.24,452.96,383.12,553.29,Health Services,Managed Health Care,-0.14,1.31
125,HLLY,87,13.17,12.46,12.12,9.24,14.68,Producer Manufacturing,Auto Parts: OEM,1.63,1.31
102,FCX,86,46.75,40.79,39.45,30.02,51.99,Non-Energy Minerals,Other Metals/Minerals,3.21,1.3
2,ABC,86,149.11,132.94,129.33,111.34,166.9,Distribution Services,Medical Distributors,0.43,1.3
203,PAGP,86,11.62,10.98,10.75,9.1,12.96,Industrial Services,Oil & Gas Pipelines,0.67,1.3
258,TU,86,25.71,23.75,23.31,20.36,27.5,Communications,Major Telecommunications,-0.49,1.28
200,ORLY,86,680.31,658.98,643.73,519.32,747.0,Retail Trade,Specialty Stores,1.08,1.28
146,KNSL,86,215.83,201.51,195.12,153.12,245.17,Finance,Multi-Line Insurance,-2.37,1.3
103,FE,86,43.73,40.25,39.53,35.42,47.99,Utilities,Electric Utilities,-0.23,1.3
186,NOC,86,432.62,392.37,384.06,336.03,490.82,Electronic Technology,Aerospace & Defense,-0.35,1.3
234,SII,86,45.04,42.25,40.74,32.57,55.06,Finance,Investment Banks/Brokers,2.54,1.29
37,CALM,86,48.09,40.7,39.41,33.85,59.95,Consumer Non-Durables,Food: Specialty/Candy,-0.77,1.3
174,MRC,86,10.65,8.72,8.66,6.38,12.58,Distribution Services,Wholesale Distributors,4.32,1.3
226,RTX,86,98.25,90.64,89.05,76.07,105.46,Electronic Technology,Aerospace & Defense,0.03,1.29
104,FHN,86,21.68,18.28,17.6,14.67,24.24,Finance,Regional Banks,0.26,1.29
181,NEM,86,73.49,62.36,61.38,52.6,86.37,Non-Energy Minerals,Precious Metals,0.77,1.29
17,ANTM,86,472.81,437.12,422.11,355.43,526.62,Health Services,Managed Health Care,-0.73,1.3
222,ROG,86,272.62,252.87,239.35,172.84,274.17,Process Industries,Chemicals: Specialty,0.39,1.29
217,QLYS,85,131.52,127.82,122.84,92.0,150.1,Technology Services,Packaged Software,-3.27,1.27
11,AJG,85,163.9,161.18,155.92,134.84,184.92,Finance,Insurance Brokers/Services,-0.24,1.27
113,GD,85,231.89,211.93,207.34,182.66,254.99,Electronic Technology,Aerospace & Defense,0.05,1.27
280,WLK,85,114.86,102.74,98.13,78.06,127.21,Process Industries,Chemicals: Specialty,3.38,1.27
121,HCA,85,254.22,248.78,246.95,192.2,272.26,Health Services,Hospital/Nursing Management,-0.39,1.27
284,WRB,85,63.26,56.17,54.29,47.13,69.45,Finance,Property/Casualty Insurance,1.77,1.27
7,AGO,85,59.83,53.91,52.32,44.34,65.68,Finance,Specialty Insurance,-0.12,1.27
225,RTLR,84,13.6,12.3,11.89,9.51,14.99,Industrial Services,Oil & Gas Pipelines,-1.93,1.26
144,KFRC,84,72.08,70.39,67.66,54.12,81.47,Commercial Services,Personnel Services,-0.34,1.26
39,CB,84,207.98,194.26,188.88,155.78,218.99,Finance,Property/Casualty Insurance,0.66,1.26
161,MCRI,84,81.05,72.72,70.59,56.35,89.07,Consumer Services,Hotels/Resorts/Cruise lines,0.35,1.26
51,CINF,84,128.29,120.56,119.78,105.64,139.82,Finance,Property/Casualty Insurance,0.29,1.25
24,ATI,84,26.06,19.94,19.81,13.85,30.74,Non-Energy Minerals,Steel,-3.07,1.26
142,JOE,84,54.41,50.04,48.59,39.8,62.21,Finance,Real Estate Development,-0.29,1.26
78,CYXT,84,12.11,10.94,10.55,7.51,13.64,Technology Services,Data Processing Services,-0.68,1.25
169,MOH,84,322.94,302.62,292.25,239.2,347.62,Health Services,Managed Health Care,-0.95,1.24
57,CNC,83,84.58,76.94,74.63,59.33,89.79,Health Services,Managed Health Care,-1.92,1.23
239,SMPL,83,38.23,37.76,37.36,31.09,43.85,Consumer Non-Durables,Food: Major Diversified,-0.76,1.23
273,VRTX,83,249.33,217.48,212.55,176.36,292.75,Health Technology,Pharmaceuticals: Major,-1.73,1.22
76,CWST,83,82.62,81.85,78.62,62.47,92.75,Industrial Services,Environmental Services,-0.81,1.22
86,ED,83,89.73,81.94,79.75,71.17,98.65,Utilities,Electric Utilities,-1.11,1.22
220,RJF,83,106.85,101.32,98.12,81.96,117.37,Finance,Investment Banks/Brokers,-0.79,1.23
71,CTVA,83,54.58,48.46,47.13,40.6,61.74,Process Industries,Chemicals: Agricultural,-0.1,1.23
177,MTOR,82,33.08,27.6,26.62,20.5,36.24,Producer Manufacturing,Auto Parts: OEM,0.17,1.21
45,CERN,82,92.85,83.56,82.09,69.08,93.87,Technology Services,Information Technology Services,0.01,1.2
184,NI,82,30.09,27.09,26.49,23.65,32.59,Utilities,Gas Distributors,-0.03,1.21
247,SWX,82,73.89,69.57,69.38,62.54,90.7,Utilities,Gas Distributors,5.65,1.2
118,GPOR,82,76.78,76.69,74.29,58.71,94.57,Energy Minerals,Oil & Gas Production,0.67,1.2
224,RS,82,181.56,163.29,160.16,135.46,198.44,Non-Energy Minerals,Steel,0.14,1.2
136,INSW,82,17.64,16.7,16.66,13.05,21.27,Transportation,Marine Shipping,0.34,1.2
9,AIR,82,45.61,39.52,38.35,30.9,51.4,Electronic Technology,Aerospace & Defense,0.02,1.2
241,SRE,82,152.21,135.77,134.12,119.56,172.84,Utilities,Electric Utilities,-0.08,1.21
112,GATX,81,114.37,103.39,99.64,84.5,127.58,Transportation,Railroads,0.61,1.19
108,FOE,81,21.73,21.42,21.26,16.63,22.1,Process Industries,Industrial Specialties,0.05,1.19
47,CFR,81,140.2,131.74,126.03,100.35,147.39,Finance,Regional Banks,0.67,1.19
145,KMI,81,18.09,16.98,16.86,15.01,19.65,Industrial Services,Oil & Gas Pipelines,0.93,1.19
91,EPD,81,24.97,23.06,22.77,20.42,27.11,Industrial Services,Oil & Gas Pipelines,-0.04,1.19
40,CBZ,81,39.71,37.94,36.6,30.68,42.62,Commercial Services,Miscellaneous Commercial Services,1.27,1.19
26,AXP,81,184.42,174.56,172.38,140.68,199.55,Finance,Finance/Rental/Leasing,1.83,1.19
10,AIZ,81,173.31,162.22,161.61,144.18,190.92,Finance,Multi-Line Insurance,0.01,1.19
257,TSN,80,91.45,85.72,82.81,69.88,100.72,Consumer Non-Durables,Food: Meat/Fish/Dairy,-0.39,1.17
288,Y,80,738.93,687.0,682.51,585.1,862.87,Finance,Property/Casualty Insurance,-0.73,1.18
230,SEDG,80,298.45,294.89,289.09,199.33,389.71,Producer Manufacturing,Electrical Products,0.54,1.17
159,MAR,80,169.65,161.15,155.26,127.23,184.99,Consumer Services,Hotels/Resorts/Cruise lines,1.46,1.17
107,FMC,80,125.16,109.41,106.69,87.27,140.35,Process Industries,Chemicals: Agricultural,0.43,1.17
126,HLT,80,148.27,144.88,139.87,114.7,160.96,Consumer Services,Hotels/Resorts/Cruise lines,0.64,1.18
3,ACGL,79,47.07,44.21,43.1,36.53,49.51,Finance,Multi-Line Insurance,-0.69,1.16
44,CEQP,79,29.95,28.12,27.65,23.57,33.94,Industrial Services,Oil & Gas Pipelines,-0.26,1.16
28,BANF,79,79.73,70.87,67.16,53.77,84.83,Finance,Regional Banks,0.02,1.16
152,LMT,79,430.84,375.82,371.45,324.23,479.99,Electronic Technology,Aerospace & Defense,-0.05,1.16
25,ATO,78,113.35,101.44,100.33,85.8,122.5,Utilities,Gas Distributors,-0.12,1.14
87,EIX,78,65.65,63.31,61.49,54.14,72.64,Utilities,Electric Utilities,-0.13,1.15
75,CW,78,146.32,136.49,131.94,111.26,162.98,Electronic Technology,Aerospace & Defense,0.2,1.15
268,VIVO,78,25.89,21.7,21.27,17.0,28.72,Health Technology,Biotechnology,-1.25,1.14
53,CLBK,77,21.62,20.25,19.65,16.34,22.71,Finance,Savings Banks,0.09,1.13
50,CHKP,77,137.52,123.83,123.74,107.85,149.62,Technology Services,Internet Software/Services,-0.49,1.13
90,EPAY,77,56.66,50.98,48.32,36.05,56.86,Technology Services,Packaged Software,-0.02,1.13
278,WH,77,84.67,83.06,79.82,65.24,93.72,Consumer Services,Hotels/Resorts/Cruise lines,0.68,1.13
267,VIRT,76,35.43,29.89,28.69,23.19,38.63,Finance,Investment Banks/Brokers,-2.02,1.12
263,UNM,76,29.5,26.71,26.57,22.25,33.09,Finance,Life/Health Insurance,0.76,1.12
119,H,75,94.4,88.62,85.21,67.7,108.1,Consumer Services,Hotels/Resorts/Cruise lines,-0.54,1.11
117,GOLD,75,23.48,20.34,20.32,17.27,26.07,Non-Energy Minerals,Precious Metals,0.71,1.11
