,Stock,RS_Rating,50 Day MA,150 Day Ma,200 Day MA,52 Week Low,52 week High,Sector,Industry,Daily_change,returnsMultiple
101,ESTE,97,13.16,11.75,11.1,6.44,15.27,Energy Minerals,Integrated Oil,1.92,2.09
167,LPI,97,76.1,72.93,68.64,32.52,99.26,Energy Minerals,Oil & Gas Production,-4.15,2.19
130,HCC,97,35.68,28.24,26.09,15.07,42.95,Energy Minerals,Coal,-1.03,2.06
244,SBLK,97,28.06,22.31,21.19,16.1,32.15,Transportation,Marine Shipping,0.32,2.13
124,GOGO,97,17.01,15.15,14.31,9.61,23.69,Communications,Wireless Telecommunications,-1.62,2.12
197,NBR,97,146.76,114.7,107.43,65.58,207.67,Industrial Services,Contract Drilling,-3.17,2.15
211,OAS,97,140.58,124.9,115.54,69.73,158.48,Energy Minerals,Oil & Gas Production,-2.54,2.1
203,NOG,97,26.13,23.34,21.69,11.9,30.44,Energy Minerals,Oil & Gas Production,-2.94,2.15
206,NTR,97,93.98,77.25,72.79,52.28,117.25,Process Industries,Chemicals: Agricultural,-1.01,2.04
270,TMST,97,19.59,16.27,15.66,10.52,24.39,Non-Energy Minerals,Steel,2.49,2.09
207,NUE,97,137.91,117.41,114.7,75.6,172.27,Non-Energy Minerals,Steel,0.88,2.06
58,CIVI,97,55.69,52.65,48.99,29.62,66.42,Energy Minerals,Integrated Oil,-3.13,2.04
14,AMPH,97,32.82,25.11,23.78,17.01,44.46,Health Technology,Pharmaceuticals: Major,1.59,2.11
299,WHD,97,53.37,45.01,42.71,27.26,64.18,Industrial Services,Oilfield Services/Equipment,-0.78,2.07
285,VAL,97,46.9,39.63,36.64,20.25,55.71,Industrial Services,Contract Drilling,-1.64,2.06
53,CF,97,92.19,72.48,65.93,43.19,113.49,Process Industries,Chemicals: Agricultural,-2.75,2.19
267,TECK,96,38.85,31.75,29.41,19.32,44.93,Non-Energy Minerals,Other Metals/Minerals,-2.73,1.88
17,ANDE,96,46.55,38.84,36.17,25.2,58.94,Process Industries,Agricultural Commodities/Milling,-0.35,1.95
27,ASIX,96,46.4,45.01,42.14,26.95,57.1,Process Industries,Chemicals: Specialty,1.96,1.82
151,ITCI,96,58.3,47.35,44.04,28.4,66.0,Health Technology,Pharmaceuticals: Major,0.81,1.85
145,IMO,96,45.91,38.53,35.55,23.94,51.76,Energy Minerals,Integrated Oil,-2.19,1.94
143,ICL,96,11.23,9.61,8.91,6.16,12.96,Process Industries,Chemicals: Agricultural,-0.24,1.9
290,VNOM,96,29.06,24.74,22.86,15.98,32.22,Energy Minerals,Integrated Oil,-1.57,1.84
135,HP,96,40.08,31.99,30.82,20.93,50.15,Industrial Services,Contract Drilling,-0.2,1.86
128,HAL,96,35.83,28.21,26.18,17.82,42.6,Industrial Services,Oilfield Services/Equipment,-0.79,1.95
121,GDEN,96,54.42,50.43,49.4,27.5,59.96,Consumer Services,Casinos/Gaming,2.75,1.81
104,EVA,96,76.11,68.95,64.73,47.0,91.06,Process Industries,Industrial Specialties,0.97,1.86
55,CHK,96,79.78,68.31,64.53,44.31,97.61,Energy Minerals,Integrated Oil,-3.45,1.94
71,CRC,96,43.41,42.78,39.67,21.79,50.44,Energy Minerals,Oil & Gas Production,1.56,1.86
75,CTRA,96,25.35,21.93,20.28,14.28,31.42,Energy Minerals,Integrated Oil,-0.97,1.85
67,COP,96,97.1,81.51,74.93,47.85,107.52,Energy Minerals,Oil & Gas Production,-1.85,2.0
172,MCB,95,100.61,97.46,90.94,52.0,115.78,Finance,Major Banks,4.56,1.79
96,EOG,95,117.42,99.02,91.45,62.81,127.95,Energy Minerals,Oil & Gas Production,-1.26,1.73
188,MPC,95,80.31,70.1,66.43,50.19,91.21,Energy Minerals,Oil Refining/Marketing,0.37,1.67
39,BKR,95,33.61,27.8,26.19,18.75,39.78,Industrial Services,Oilfield Services/Equipment,-1.84,1.8
183,MNRL,95,24.7,22.54,21.58,15.27,28.84,Miscellaneous,Investment Trusts/Mutual Funds,-3.36,1.7
180,MIME,95,79.54,76.69,72.59,40.34,85.48,Technology Services,Packaged Software,0.0,1.8
165,LNG,95,131.53,113.1,106.28,71.9,149.42,Industrial Services,Oil & Gas Pipelines,-0.09,1.77
108,FANG,95,134.39,117.49,107.38,65.93,147.99,Energy Minerals,Oil & Gas Production,-1.49,1.75
254,SLCA,95,15.46,11.69,11.18,7.23,21.54,Non-Energy Minerals,Other Metals/Minerals,-1.81,1.75
65,CNR,95,22.93,18.0,17.61,13.3,24.45,Producer Manufacturing,Building Products,0.04,1.66
159,KRP,95,16.06,14.64,13.69,9.82,17.7,Miscellaneous,Investment Trusts/Mutual Funds,-0.92,1.76
140,HRMY,95,44.88,40.87,38.41,25.09,53.35,Health Technology,Pharmaceuticals: Major,3.41,1.76
48,CCJ,95,26.03,24.13,22.65,15.34,32.49,Non-Energy Minerals,Other Metals/Minerals,-1.24,1.76
231,PXD,95,238.76,201.0,186.15,133.73,260.0,Energy Minerals,Oil & Gas Production,-2.28,1.68
257,SPTN,95,31.13,26.38,24.77,18.08,35.66,Distribution Services,Food Distributors,1.93,1.66
307,XENE,95,31.27,29.09,26.23,14.65,36.42,Health Technology,Pharmaceuticals: Major,2.21,1.66
262,STLD,95,75.63,65.88,65.43,49.53,92.15,Non-Energy Minerals,Steel,1.62,1.73
50,CENX,94,24.5,18.13,16.69,10.39,30.36,Non-Energy Minerals,Aluminum,-5.95,1.61
253,SLB,94,40.96,35.2,33.43,24.52,46.27,Industrial Services,Oilfield Services/Equipment,-0.57,1.62
78,CVI,94,22.43,19.46,18.03,11.22,29.26,Energy Minerals,Oil Refining/Marketing,-0.66,1.61
69,CPE,94,57.47,53.66,49.56,25.32,66.48,Energy Minerals,Oil & Gas Production,-2.81,1.65
79,CVX,94,156.18,127.91,120.09,92.86,174.76,Energy Minerals,Integrated Oil,-1.18,1.65
266,TALO,94,15.6,12.85,12.58,8.57,20.6,Energy Minerals,Oil & Gas Production,-2.0,1.63
229,PUMP,94,13.47,10.64,9.91,6.39,16.28,Industrial Services,Oilfield Services/Equipment,1.9,1.63
264,SWCH,94,28.15,26.67,25.71,17.62,31.86,Technology Services,Information Technology Services,2.54,1.63
161,LBRT,94,13.92,12.44,12.04,8.5,17.99,Industrial Services,Oilfield Services/Equipment,-1.08,1.6
263,SU,94,31.3,26.58,24.74,17.1,34.63,Energy Minerals,Integrated Oil,-0.58,1.64
85,DCP,94,32.74,29.78,29.02,22.0,37.93,Industrial Services,Oil & Gas Pipelines,1.7,1.64
219,PANW,94,569.81,531.2,500.81,322.23,635.89,Electronic Technology,Computer Communications,1.74,1.62
306,X,94,31.55,25.95,25.83,17.98,39.25,Non-Energy Minerals,Steel,1.67,1.64
196,MUSA,94,192.87,184.26,175.14,126.56,246.88,Retail Trade,Specialty Stores,1.27,1.63
187,MP,94,46.53,41.82,40.13,23.18,60.19,Non-Energy Minerals,Other Metals/Minerals,2.0,1.6
18,ANET,93,127.64,120.83,113.73,75.65,148.57,Electronic Technology,Computer Communications,2.09,1.54
16,ANAT,93,188.95,188.3,184.65,111.25,195.89,Finance,Multi-Line Insurance,0.0,1.59
173,MCK,93,292.08,247.41,235.08,180.42,329.39,Distribution Services,Medical Distributors,-0.6,1.56
273,TRQ,93,25.02,18.23,17.47,9.75,30.89,Non-Energy Minerals,Other Metals/Minerals,0.82,1.52
308,XOM,93,81.86,69.48,65.85,52.1,91.51,Energy Minerals,Integrated Oil,-0.89,1.55
66,CNX,93,18.55,15.56,14.68,10.41,23.33,Energy Minerals,Integrated Oil,-2.12,1.52
149,IRTC,93,135.72,109.18,94.56,41.66,169.54,Health Technology,Medical Specialties,2.0,1.57
4,ACI,93,32.67,31.42,29.88,17.73,37.99,Retail Trade,Food Retail,0.3,1.54
275,TSEM,93,46.21,38.62,36.01,24.81,49.09,Electronic Technology,Semiconductors,0.27,1.59
6,ADM,93,84.84,71.81,68.57,56.91,97.7,Process Industries,Agricultural Commodities/Milling,-0.55,1.55
131,HES,93,101.5,88.25,84.25,61.93,117.06,Energy Minerals,Oil & Gas Production,-1.15,1.59
289,VLO,93,92.88,80.46,76.34,58.85,111.52,Energy Minerals,Oil Refining/Marketing,-2.37,1.53
116,FTNT,93,320.19,319.71,312.0,192.78,371.77,Electronic Technology,Computer Communications,1.44,1.53
43,BSM,93,12.84,11.68,11.23,9.47,15.73,Energy Minerals,Oil & Gas Production,-2.11,1.56
132,HESM,92,31.16,27.85,26.83,21.89,35.71,Energy Minerals,Integrated Oil,1.06,1.5
303,WMK,92,70.57,63.46,61.09,49.66,83.54,Retail Trade,Food Retail,4.09,1.5
204,NOV,92,18.8,15.69,15.12,11.46,24.06,Industrial Services,Oilfield Services/Equipment,-4.01,1.49
68,COST,92,545.65,518.2,497.61,365.29,612.27,Retail Trade,Department Stores,2.09,1.49
105,EVH,92,28.29,27.65,26.59,17.62,34.6,Commercial Services,Miscellaneous Commercial Services,0.0,1.47
144,IMKTA,92,88.73,80.12,75.78,56.95,100.04,Retail Trade,Food Retail,4.62,1.5
163,LLY,92,271.43,256.11,254.38,178.58,314.0,Health Technology,Pharmaceuticals: Major,-0.61,1.47
302,WMB,92,32.1,28.75,27.56,23.21,35.82,Industrial Services,Oil & Gas Pipelines,0.28,1.49
162,LFG,92,19.6,18.94,18.4,13.27,23.75,Finance,Financial Conglomerates,-1.87,1.47
61,CMC,92,39.65,35.32,34.43,27.69,45.15,Non-Energy Minerals,Steel,3.18,1.5
268,TENB,91,54.39,51.87,49.75,35.53,63.61,Technology Services,Packaged Software,5.42,1.45
168,LPLA,91,181.64,170.1,162.92,127.03,219.1,Finance,Investment Banks/Brokers,2.58,1.44
227,PSTG,91,30.56,29.08,27.1,16.79,36.71,Electronic Technology,Computer Peripherals,1.28,1.42
176,MEOH,91,52.32,47.06,43.88,29.61,56.79,Process Industries,Chemicals: Specialty,-1.31,1.46
158,KR,91,53.33,46.21,45.15,35.6,62.78,Retail Trade,Food Retail,-0.05,1.45
269,TGI,91,24.16,20.97,20.4,14.12,27.85,Electronic Technology,Aerospace & Defense,3.76,1.45
106,EXC,91,44.68,40.3,38.72,30.53,50.29,Utilities,Electric Utilities,0.55,1.42
279,TWNK,91,21.55,19.68,18.76,14.83,23.86,Consumer Non-Durables,Food: Specialty/Candy,1.84,1.46
213,OPCH,91,26.44,25.87,25.1,16.02,30.32,Health Services,Medical/Nursing Services,2.15,1.45
36,BG,91,108.76,95.75,90.66,71.73,127.97,Process Industries,Agricultural Commodities/Milling,-2.78,1.44
23,AQUA,91,44.02,42.87,41.08,27.05,49.38,Industrial Services,Environmental Services,2.22,1.46
107,EXLS,91,131.4,130.24,126.56,91.59,149.69,Technology Services,Data Processing Services,2.39,1.44
38,BJ,91,64.45,62.67,60.14,42.62,74.09,Retail Trade,Specialty Stores,4.23,1.46
102,ET,91,10.48,9.49,9.43,7.75,11.78,Industrial Services,Oil & Gas Pipelines,0.86,1.46
178,MGPI,90,83.49,78.03,74.49,58.0,97.61,Process Industries,Agricultural Commodities/Milling,0.26,1.38
1,ABBV,90,153.3,130.3,125.78,105.56,175.91,Health Technology,Pharmaceuticals: Major,-1.89,1.39
230,PWR,90,119.7,115.04,110.42,84.4,139.22,Industrial Services,Engineering & Construction,1.86,1.38
103,EURN,90,10.98,9.95,9.55,7.55,13.24,Transportation,Marine Shipping,-1.75,1.38
248,SFL,90,9.82,8.62,8.22,6.67,10.84,Transportation,Marine Shipping,-1.21,1.4
190,MRC,90,10.76,8.75,8.68,6.38,13.11,Distribution Services,Wholesale Distributors,4.14,1.41
117,FWONA,90,58.11,55.08,52.14,37.8,64.21,Consumer Services,Movies/Entertainment,0.13,1.41
118,FWONK,90,63.55,59.77,56.98,42.84,70.55,Consumer Services,Movies/Entertainment,0.4,1.38
200,NFG,90,65.35,60.87,58.29,49.16,74.32,Energy Minerals,Integrated Oil,0.3,1.38
212,OKE,90,67.17,62.34,59.53,48.51,73.38,Industrial Services,Oil & Gas Pipelines,-0.46,1.41
82,CYTK,90,37.41,37.08,35.0,17.72,47.9,Health Technology,Pharmaceuticals: Major,-0.84,1.39
274,TSC,90,32.49,29.51,27.21,18.36,34.55,Finance,Regional Banks,1.67,1.38
251,SII,89,45.42,42.13,40.51,32.57,56.84,Finance,Investment Banks/Brokers,3.61,1.35
189,MPLX,89,32.97,30.56,29.61,25.85,35.08,Industrial Services,Oil & Gas Pipelines,1.66,1.36
252,SJI,89,31.92,26.49,26.0,20.75,35.32,Utilities,Gas Distributors,0.03,1.35
74,CSL,89,237.87,229.93,222.68,174.62,255.0,Producer Manufacturing,Miscellaneous Manufacturing,3.93,1.35
88,DLTR,89,150.65,130.53,122.35,84.26,174.35,Retail Trade,Discount Stores,-0.09,1.37
260,SSRM,89,20.81,18.11,17.6,14.19,24.58,Non-Energy Minerals,Precious Metals,-1.66,1.35
40,BOX,89,27.51,26.16,25.78,20.36,32.49,Technology Services,Information Technology Services,2.12,1.37
122,GEL,89,11.98,11.16,10.58,7.49,13.48,Industrial Services,Oil & Gas Pipelines,1.36,1.37
295,WDOFF,88,11.67,9.89,9.87,7.2,13.23,Non-Energy Minerals,Precious Metals,-0.26,1.34
33,AZO,88,1974.52,1904.8,1826.97,1367.96,2221.57,Retail Trade,Specialty Stores,1.02,1.34
9,AIG,88,61.0,58.14,56.11,44.54,64.9,Finance,Multi-Line Insurance,-0.45,1.33
220,PAYX,88,126.33,122.7,119.96,96.12,141.92,Technology Services,Data Processing Services,1.26,1.34
152,JNPR,88,34.78,32.41,31.24,24.93,38.14,Technology Services,Information Technology Services,1.91,1.34
221,PBA,88,35.94,32.66,32.06,28.89,40.08,Industrial Services,Oil & Gas Pipelines,0.68,1.33
296,WES,88,25.23,22.71,21.81,17.97,27.29,Energy Minerals,Oil Refining/Marketing,1.67,1.34
175,MDRX,88,21.55,18.06,17.7,13.05,23.24,Technology Services,Information Technology Services,1.04,1.33
70,CQP,88,52.63,45.65,44.33,38.0,61.91,Industrial Services,Oil & Gas Pipelines,-2.23,1.33
73,CSGS,88,62.4,56.17,53.61,42.58,65.94,Technology Services,Data Processing Services,1.31,1.33
42,BRO,88,68.52,65.47,62.93,49.15,74.0,Finance,Insurance Brokers/Services,0.34,1.33
13,AM,88,10.38,10.14,9.91,8.42,11.71,Industrial Services,Oil & Gas Pipelines,1.33,1.34
111,FHN,87,21.85,18.42,17.73,14.67,24.24,Finance,Regional Banks,0.78,1.32
245,SEAS,87,68.04,63.95,60.2,41.94,76.29,Consumer Services,Movies/Entertainment,0.74,1.32
233,REGN,87,661.04,631.89,628.72,478.4,747.42,Health Technology,Pharmaceuticals: Major,-0.97,1.32
141,HSY,87,210.53,191.98,187.87,157.94,228.46,Consumer Non-Durables,Food: Specialty/Candy,1.15,1.32
294,VST,87,22.66,20.99,20.34,15.47,25.21,Utilities,Electric Utilities,-0.08,1.32
109,FCX,87,47.13,41.05,39.68,30.02,51.99,Non-Energy Minerals,Other Metals/Minerals,-0.26,1.32
20,AON,87,306.15,297.49,288.86,223.19,336.41,Finance,Insurance Brokers/Services,0.53,1.32
45,CALM,87,48.37,40.83,39.51,33.85,59.95,Consumer Non-Durables,Food: Specialty/Candy,2.89,1.32
182,MMI,87,49.5,47.18,45.04,34.8,58.33,Finance,Real Estate Development,1.29,1.32
113,FLR,87,26.17,22.66,21.13,14.41,31.32,Industrial Services,Engineering & Construction,-1.68,1.32
174,MCRI,86,81.57,72.91,70.72,56.35,91.19,Consumer Services,Hotels/Resorts/Cruise lines,4.45,1.3
209,NVGS,86,11.23,9.63,9.55,7.84,14.21,Transportation,Marine Shipping,-2.93,1.3
157,KNSL,86,216.48,201.96,195.43,153.12,245.17,Finance,Multi-Line Insurance,2.19,1.3
208,NVEE,86,122.81,116.47,111.92,79.58,141.48,Industrial Services,Engineering & Construction,0.06,1.3
237,ROG,86,272.65,253.41,239.73,172.84,274.51,Process Industries,Chemicals: Specialty,-0.0,1.3
133,HLLY,86,13.22,12.47,12.14,9.24,14.68,Producer Manufacturing,Auto Parts: OEM,1.09,1.3
154,KBR,86,51.2,46.25,44.32,36.71,56.94,Technology Services,Information Technology Services,-1.08,1.31
218,PAGP,86,11.61,11.0,10.75,9.1,12.96,Industrial Services,Oil & Gas Pipelines,1.41,1.31
232,QLYS,86,131.87,128.0,123.06,92.0,150.1,Technology Services,Packaged Software,2.88,1.31
283,UNVR,86,30.68,28.04,26.94,21.56,34.0,Distribution Services,Wholesale Distributors,3.07,1.31
300,WLK,86,115.41,103.03,98.33,78.06,129.28,Process Industries,Chemicals: Specialty,1.66,1.3
247,SEE,86,66.56,63.73,62.27,47.67,70.72,Process Industries,Containers/Packaging,2.45,1.31
305,WSC,85,37.53,36.85,34.69,26.15,42.0,Finance,Finance/Rental/Leasing,4.53,1.28
284,USAC,85,17.76,16.27,15.85,14.06,20.14,Industrial Services,Oilfield Services/Equipment,-2.05,1.29
241,RTX,85,98.49,90.79,89.15,76.07,105.66,Electronic Technology,Aerospace & Defense,0.24,1.29
281,UNH,85,499.44,467.09,453.61,383.12,553.29,Health Services,Managed Health Care,0.68,1.27
155,KFRC,85,72.35,70.84,68.15,54.12,81.47,Commercial Services,Personnel Services,2.52,1.27
8,AGO,85,59.93,54.01,52.38,44.34,65.68,Finance,Specialty Insurance,0.0,1.27
202,NOC,85,434.54,393.14,384.56,336.03,490.82,Electronic Technology,Aerospace & Defense,-0.25,1.27
2,ABC,85,149.64,133.21,129.57,111.34,166.9,Distribution Services,Medical Distributors,0.59,1.27
28,ATI,85,26.2,20.03,19.85,13.85,30.74,Non-Energy Minerals,Steel,1.12,1.28
22,APOG,85,46.35,44.51,43.37,33.88,50.45,Producer Manufacturing,Building Products,2.43,1.29
129,HCA,85,254.4,248.4,246.74,192.88,272.26,Health Services,Hospital/Nursing Management,0.79,1.27
19,ANTM,85,474.25,438.14,422.78,355.43,526.62,Health Services,Managed Health Care,0.8,1.27
153,JOE,85,54.61,50.07,48.58,39.8,62.21,Finance,Real Estate Development,0.48,1.28
277,TU,84,25.65,23.62,23.19,20.36,27.5,Communications,Major Telecommunications,0.04,1.26
31,AVGO,84,593.85,568.23,544.71,419.14,677.76,Electronic Technology,Semiconductors,1.9,1.25
256,SMPL,84,38.41,37.82,37.4,31.09,45.14,Consumer Non-Durables,Food: Major Diversified,3.31,1.25
120,GD,84,232.57,212.27,207.64,182.66,254.99,Electronic Technology,Aerospace & Defense,1.12,1.26
278,TVTY,84,29.25,26.44,25.78,21.25,32.89,Health Services,Medical/Nursing Services,-0.09,1.25
240,RTLR,84,13.63,12.32,11.9,9.51,14.99,Industrial Services,Oil & Gas Pipelines,0.49,1.26
235,RJF,84,106.9,101.48,98.25,81.96,117.37,Finance,Investment Banks/Brokers,1.92,1.26
110,FE,84,43.85,40.32,39.58,35.42,47.99,Utilities,Electric Utilities,0.44,1.26
215,ORLY,84,681.99,659.91,644.47,519.32,747.0,Retail Trade,Specialty Stores,1.2,1.26
194,MTRN,84,84.4,83.02,80.15,64.48,96.0,Non-Energy Minerals,Other Metals/Minerals,4.52,1.25
63,CNP,84,29.21,27.38,26.87,23.58,32.72,Utilities,Electric Utilities,-0.34,1.26
304,WRB,83,63.45,56.32,54.39,47.13,69.68,Finance,Property/Casualty Insurance,-0.33,1.23
57,CINF,83,128.65,120.71,119.9,106.29,139.82,Finance,Property/Casualty Insurance,0.18,1.23
119,GATX,83,114.7,103.62,99.8,84.5,127.58,Transportation,Railroads,1.35,1.23
12,AJG,83,164.37,161.42,156.12,135.5,184.92,Finance,Insurance Brokers/Services,-0.38,1.24
171,MAR,83,170.17,161.46,155.5,127.23,189.55,Consumer Services,Hotels/Resorts/Cruise lines,3.07,1.23
193,MTOR,83,33.33,27.7,26.68,20.5,36.24,Producer Manufacturing,Auto Parts: OEM,0.75,1.24
134,HLT,83,148.63,145.09,140.05,114.7,163.35,Consumer Services,Hotels/Resorts/Cruise lines,4.2,1.24
185,MOH,83,323.67,303.11,292.64,239.2,347.62,Health Services,Managed Health Care,0.84,1.23
10,AIR,83,45.83,39.65,38.41,30.9,51.69,Electronic Technology,Aerospace & Defense,1.05,1.23
239,RS,82,182.05,163.05,159.78,135.46,198.85,Non-Energy Minerals,Steel,2.04,1.22
54,CFR,82,140.25,131.97,126.2,100.35,147.39,Finance,Regional Banks,2.0,1.22
83,CYXT,82,12.14,10.97,10.56,7.51,13.64,Technology Services,Data Processing Services,-0.08,1.22
62,CNC,82,84.69,77.11,74.69,59.33,89.79,Health Services,Managed Health Care,1.31,1.22
46,CB,82,208.06,194.47,189.13,155.78,218.99,Finance,Property/Casualty Insurance,-0.94,1.22
138,HRB,82,25.44,24.23,24.2,21.08,27.74,Consumer Services,Other Consumer Services,1.84,1.22
7,AEL,82,39.33,36.81,35.46,27.12,44.49,Finance,Life/Health Insurance,3.76,1.22
76,CTVA,82,54.8,48.59,47.22,40.6,61.83,Process Industries,Chemicals: Agricultural,0.31,1.22
47,CBZ,81,39.82,38.01,36.65,30.68,43.2,Commercial Services,Miscellaneous Commercial Services,2.32,1.21
32,AXP,81,184.46,174.75,172.48,140.68,199.55,Finance,Finance/Rental/Leasing,1.46,1.21
81,CWST,81,82.87,81.94,78.73,62.47,92.75,Industrial Services,Environmental Services,1.24,1.21
92,ED,81,89.98,82.11,79.89,71.17,98.65,Utilities,Electric Utilities,1.1,1.19
34,BANF,81,79.92,71.08,67.28,53.77,85.08,Finance,Regional Banks,2.06,1.2
41,BRK-B,81,334.06,305.84,299.87,266.8,362.1,Finance,Multi-Line Insurance,0.53,1.21
293,VRTX,81,250.14,218.11,212.96,176.36,292.75,Health Technology,Pharmaceuticals: Major,-0.17,1.19
115,FOE,81,21.73,21.43,21.27,16.63,22.1,Process Industries,Industrial Specialties,0.09,1.19
198,NEM,81,73.93,62.54,61.49,52.6,86.37,Non-Energy Minerals,Precious Metals,-3.0,1.21
181,MLI,81,56.13,54.0,51.21,39.0,63.07,Producer Manufacturing,Metal Fabrication,7.36,1.19
98,EPD,80,25.03,23.1,22.79,20.42,27.3,Industrial Services,Oil & Gas Pipelines,1.12,1.18
276,TSN,80,91.65,85.88,82.94,69.88,100.72,Consumer Non-Durables,Food: Meat/Fish/Dairy,2.52,1.18
35,BCC,80,75.79,67.6,63.57,46.51,85.06,Non-Energy Minerals,Forest Products,4.64,1.18
