,Stock,RS_Rating,50 Day MA,150 Day Ma,200 Day MA,52 Week Low,52 week High,Sector,Industry,Daily_change,returnsMultiple
170,LXU,100,19.15,12.7,11.01,3.58,27.24,Process Industries,Chemicals: Agricultural,1.36,5.23
280,UAN,100,120.04,91.17,81.64,42.0,177.93,Process Industries,Chemicals: Agricultural,1.35,4.28
148,IPI,100,72.73,51.44,46.46,22.82,121.72,Non-Energy Minerals,Other Metals/Minerals,-1.42,3.88
24,AR,100,26.63,21.42,19.53,8.81,37.34,Energy Minerals,Oil & Gas Production,-1.85,3.66
250,SGML,100,12.64,10.47,9.51,4.01,19.48,Non-Energy Minerals,Other Metals/Minerals,-1.45,3.92
44,BTU,100,22.11,15.58,14.93,3.44,33.29,Energy Minerals,Coal,-2.97,7.89
15,AMR,100,115.15,76.58,65.72,11.75,164.69,Energy Minerals,Coal,-1.87,11.52
49,CEIX,100,34.76,28.37,26.64,8.65,50.39,Energy Minerals,Coal,-2.15,4.92
136,HPK,100,21.95,16.62,15.01,7.0,34.74,Industrial Services,Contract Drilling,-0.12,4.12
90,DVN,99,57.91,47.33,42.16,20.14,64.43,Energy Minerals,Oil & Gas Production,-0.85,2.89
297,WFRD,99,33.07,28.96,25.77,10.0,40.16,Industrial Services,Oilfield Services/Equipment,-0.54,3.42
286,VET,99,19.99,14.35,12.51,5.51,23.93,Energy Minerals,Oil & Gas Production,-3.24,3.2
292,VRTV,99,119.72,114.26,104.23,40.6,158.99,Distribution Services,Wholesale Distributors,4.6,3.16
238,RRC,99,26.6,22.81,20.92,8.47,34.61,Energy Minerals,Oil & Gas Production,-3.89,3.45
228,PTEN,99,14.81,10.86,10.11,6.07,18.53,Industrial Services,Contract Drilling,2.11,2.71
242,RYI,99,31.36,26.57,24.68,13.39,43.25,Non-Energy Minerals,Steel,3.35,2.93
26,ARLP,99,14.72,12.55,11.34,5.45,17.69,Energy Minerals,Coal,-1.85,2.92
25,ARCH,99,136.17,105.05,95.69,44.2,175.99,Energy Minerals,Coal,-2.52,3.27
72,CRK,99,10.71,9.54,8.7,4.67,18.55,Energy Minerals,Oil & Gas Production,-4.32,3.35
225,PDS,99,64.34,47.74,44.23,24.5,85.29,Industrial Services,Contract Drilling,-4.64,2.7
150,ISEE,99,15.97,15.8,14.28,5.62,19.34,Health Technology,Pharmaceuticals: Major,-3.32,2.54
166,LNTH,99,48.07,33.68,31.76,19.3,63.0,Health Technology,Medical Specialties,1.07,2.7
112,FLNG,99,24.32,21.21,19.23,10.55,32.77,Energy Minerals,Oil & Gas Production,-7.92,2.79
236,ROCC,99,34.51,30.79,27.78,11.81,42.66,Energy Minerals,Oil & Gas Production,-3.45,2.84
199,NEX,99,8.67,5.96,5.42,3.06,11.72,Industrial Services,Oilfield Services/Equipment,-1.41,3.19
259,SRRA,99,34.86,26.45,24.74,14.91,54.97,Health Technology,Biotechnology,0.04,2.91
100,ERF,99,12.72,10.73,9.53,4.78,14.59,Energy Minerals,Oil & Gas Production,-1.96,2.53
195,MUR,99,37.54,30.96,28.46,14.91,44.63,Energy Minerals,Oil & Gas Production,-1.1,2.62
255,SM,98,38.11,33.35,29.79,14.79,43.69,Energy Minerals,Oil & Gas Production,-1.84,2.29
77,CVE,98,16.08,13.49,12.19,7.16,18.34,Energy Minerals,Integrated Oil,-0.94,2.29
99,EQT,98,29.2,23.68,22.5,15.71,45.5,Energy Minerals,Oil & Gas Production,-3.36,2.36
64,CNQ,98,58.75,47.49,43.67,28.86,67.75,Energy Minerals,Oil & Gas Production,-0.39,2.2
94,ENLC,98,9.22,7.85,7.25,4.15,10.57,Industrial Services,Oil & Gas Pipelines,3.66,2.43
123,GLNG,98,19.86,15.2,14.25,10.01,26.6,Transportation,Marine Shipping,-2.29,2.25
0,AA,98,82.14,62.22,56.83,31.0,98.09,Non-Energy Minerals,Aluminum,-3.21,2.44
234,RES,98,9.85,6.66,6.02,3.33,12.91,Industrial Services,Oilfield Services/Equipment,-0.8,2.41
222,PBF,98,21.86,16.77,15.05,7.24,29.98,Energy Minerals,Oil Refining/Marketing,-1.04,2.2
216,OVV,98,47.4,39.52,36.22,21.07,56.31,Energy Minerals,Oil & Gas Production,-0.94,2.32
217,OXY,98,51.8,38.54,35.42,21.62,63.24,Energy Minerals,Oil & Gas Production,-1.61,2.42
192,MTDR,98,51.12,44.08,40.48,21.8,59.12,Energy Minerals,Oil & Gas Production,-1.89,2.35
301,WLL,98,77.88,70.03,64.36,33.13,90.89,Energy Minerals,Oil & Gas Production,-2.35,2.26
191,MRO,98,23.68,18.76,17.0,9.7,27.36,Energy Minerals,Oil & Gas Production,-0.37,2.49
179,MGY,98,23.06,20.78,19.2,10.29,26.83,Energy Minerals,Oil & Gas Production,-1.52,2.29
186,MOS,98,59.72,45.49,41.91,28.26,79.28,Process Industries,Chemicals: Agricultural,-0.22,2.26
21,APA,98,38.16,30.75,27.69,15.55,45.22,Energy Minerals,Integrated Oil,0.93,2.44
160,LAC,98,29.81,28.91,25.84,11.84,41.56,Process Industries,Chemicals: Agricultural,7.59,2.23
271,TRGP,98,69.49,58.71,54.75,31.37,79.7,Energy Minerals,Oil Refining/Marketing,0.32,2.3
60,CLR,98,59.21,51.58,47.63,24.68,66.86,Energy Minerals,Oil & Gas Production,-2.15,2.37
224,PDCE,97,67.46,56.69,52.43,32.17,79.39,Energy Minerals,Oil & Gas Production,-2.58,2.16
