,Stock,RS_Rating,50 Day MA,150 Day Ma,200 Day MA,52 Week Low,52 week High,Sector,Industry,Daily_change
208,ZIM,100,66.09,54.42,50.32,22.68,80.41,Transportation,Marine Shipping,2.66
6,AMR,100,81.52,60.96,51.68,11.13,137.0,Energy Minerals,Coal,-2.88
14,ARCH,100,110.14,92.45,84.14,39.02,163.99,Energy Minerals,Coal,-2.96
93,HMHC,100,18.14,15.75,14.54,5.53,21.13,Consumer Services,Other Consumer Services,0.24
26,BTU,100,14.9,13.79,12.64,2.61,27.28,Energy Minerals,Coal,-2.42
113,LXU,100,12.63,9.84,8.67,2.96,22.03,Process Industries,Chemicals: Agricultural,1.76
188,UAN,100,95.06,76.25,70.85,30.55,118.1,Process Industries,Chemicals: Agricultural,-5.96
199,WFRD,100,30.93,25.78,23.53,10.0,36.87,Industrial Services,Oilfield Services/Equipment,-0.39
31,CEIX,100,26.99,25.79,23.94,8.65,38.44,Energy Minerals,Coal,-7.86
160,RRC,99,21.1,20.22,19.0,8.47,28.36,Energy Minerals,Oil & Gas Production,-2.13
158,ROCC,99,31.74,27.76,26.18,11.81,42.66,Energy Minerals,Oil & Gas Production,-6.98
139,OAS,99,134.82,116.43,110.18,56.36,158.48,Energy Minerals,Oil & Gas Production,-4.33
193,VET,99,16.59,11.84,10.89,5.51,23.93,Energy Minerals,Oil & Gas Production,-1.54
112,LNTH,99,32.6,28.36,27.75,19.14,56.19,Health Technology,Medical Specialties,-0.21
94,HPK,99,19.0,14.27,13.3,6.0,26.0,Industrial Services,Contract Drilling,-4.74
203,WLL,99,73.06,63.84,60.4,31.26,90.89,Energy Minerals,Oil & Gas Production,-4.54
89,HCC,99,30.04,25.41,23.5,15.07,42.95,Energy Minerals,Coal,-2.46
85,GOGL,99,9.86,8.79,8.65,6.62,13.09,Transportation,Marine Shipping,0.84
70,ERF,99,11.84,9.47,8.75,4.71,14.59,Energy Minerals,Oil & Gas Production,-2.87
66,DVN,99,52.43,41.68,38.04,20.14,63.1,Energy Minerals,Oil & Gas Production,-3.19
39,CLMT,99,14.93,11.92,10.62,4.96,17.43,Process Industries,Industrial Specialties,1.47
0,AA,99,68.11,54.8,50.33,27.11,92.32,Non-Energy Minerals,Aluminum,-4.7
13,AR,99,20.7,18.57,17.38,8.64,27.31,Energy Minerals,Oil & Gas Production,0.34
15,ARLP,99,13.73,11.29,10.16,5.33,16.16,Energy Minerals,Coal,-2.32
82,GDEN,98,49.51,48.95,47.99,24.47,59.32,Consumer Services,Casinos/Gaming,-1.53
63,DAC,98,86.47,78.36,75.85,44.26,102.95,Transportation,Marine Shipping,2.16
143,OXY,98,39.87,32.82,31.72,21.62,59.6,Energy Minerals,Oil & Gas Production,-0.31
59,CVE,98,14.84,12.05,11.28,7.16,16.84,Energy Minerals,Integrated Oil,1.07
129,MUR,98,32.3,27.53,26.25,14.91,39.41,Energy Minerals,Oil & Gas Production,-0.81
127,MTDR,98,45.06,39.47,37.79,21.55,57.5,Energy Minerals,Oil & Gas Production,-1.82
124,MRO,98,20.46,16.43,15.48,9.7,25.7,Energy Minerals,Oil & Gas Production,-2.97
163,RXDX,98,39.07,31.92,29.74,16.11,51.96,Health Technology,Biotechnology,-0.24
165,SBLK,98,25.19,22.72,22.13,13.26,32.0,Transportation,Marine Shipping,0.7
45,CNQ,98,51.97,42.61,40.5,28.5,61.83,Energy Minerals,Oil & Gas Production,1.11
136,NUE,98,116.28,111.94,108.53,66.92,140.25,Non-Energy Minerals,Steel,1.27
40,CLR,98,53.26,47.19,44.21,24.4,62.97,Energy Minerals,Oil & Gas Production,-2.08
171,SM,98,34.89,29.64,27.63,14.79,43.69,Energy Minerals,Oil & Gas Production,-5.0
98,ICL,98,10.19,8.61,8.08,5.74,12.21,Process Industries,Chemicals: Agricultural,-2.64
178,TECK,98,34.42,28.71,27.15,17.31,42.38,Non-Energy Minerals,Other Metals/Minerals,-0.99
34,CF,98,74.86,62.58,59.33,43.19,100.52,Process Industries,Chemicals: Agricultural,-1.23
86,GSL,98,25.25,23.11,21.72,12.52,29.86,Transportation,Marine Shipping,2.19
182,TRGP,98,60.31,53.41,50.88,29.95,72.03,Energy Minerals,Oil Refining/Marketing,-1.68
36,CHK,97,69.1,62.73,60.01,40.0,88.75,Energy Minerals,Integrated Oil,-0.38
177,SWCH,97,25.97,25.74,24.5,15.19,29.15,Technology Services,Information Technology Services,-1.59
201,WIRE,97,119.62,115.44,105.75,65.26,151.64,Producer Manufacturing,Metal Fabrication,0.55
134,NOG,97,23.65,21.43,20.65,11.4,29.1,Energy Minerals,Oil & Gas Production,-0.83
101,IMO,97,41.73,34.73,33.44,22.73,47.72,Energy Minerals,Integrated Oil,1.89
152,PTEN,97,11.7,9.42,9.36,6.07,17.09,Industrial Services,Contract Drilling,-0.12
5,AMPH,97,26.18,21.95,21.5,16.91,34.96,Health Technology,Pharmaceuticals: Other,12.57
53,CRC,97,42.35,40.69,37.89,21.79,47.18,Energy Minerals,Oil & Gas Production,-3.28
7,ANAT,97,188.4,188.3,179.22,102.69,195.89,Finance,Multi-Line Insurance,0.11
135,NTR,97,77.1,69.94,67.41,52.28,102.25,Process Industries,Chemicals: Agricultural,-0.49
49,COP,97,88.45,73.79,69.68,47.85,104.44,Energy Minerals,Oil & Gas Production,-1.31
164,RYI,97,24.6,24.27,21.96,13.39,33.62,Non-Energy Minerals,Steel,-4.4
121,MOS,97,45.46,39.2,37.35,28.26,64.71,Process Industries,Chemicals: Agricultural,-0.43
118,MGY,97,21.23,19.12,17.94,10.29,25.21,Energy Minerals,Oil & Gas Production,-2.26
10,APA,97,33.17,26.8,25.21,15.55,41.2,Energy Minerals,Integrated Oil,-2.47
73,EVA,96,71.24,64.11,60.54,46.93,80.55,Process Industries,Industrial Specialties,2.2
103,ITCI,96,49.68,42.17,41.44,28.4,59.88,Health Technology,Biotechnology,3.37
17,ASIX,96,42.33,42.32,39.36,25.55,50.95,Process Industries,Chemicals: Specialty,4.04
105,KBR,96,47.09,43.67,42.43,30.95,56.07,Technology Services,Information Technology Services,2.54
67,EOG,96,108.15,89.47,86.23,62.81,122.5,Energy Minerals,Oil & Gas Production,-2.67
111,LNG,96,116.57,104.27,99.6,69.56,143.4,Industrial Services,Oil & Gas Pipelines,-2.35
109,KRP,96,15.06,13.61,13.1,9.77,17.1,Miscellaneous,Investment Trusts/Mutual Funds,-1.98
84,GLNG,96,14.94,13.11,12.96,9.26,19.32,Transportation,Marine Shipping,-1.17
149,PDCE,96,58.57,50.93,48.87,30.25,72.9,Energy Minerals,Oil & Gas Production,-4.55
142,OVV,96,40.71,35.24,33.62,21.07,50.87,Energy Minerals,Oil & Gas Production,-3.51
37,CIVI,96,53.05,49.74,48.14,29.62,59.65,Energy Minerals,Integrated Oil,-2.94
200,WHD,96,48.06,41.57,40.6,27.26,64.18,Industrial Services,Oilfield Services/Equipment,-6.54
196,VNOM,96,26.5,22.55,21.26,14.24,30.86,Energy Minerals,Integrated Oil,-3.33
175,SST,96,11.39,10.41,10.28,7.7,18.21,Finance,Financial Conglomerates,-0.52
22,BLDR,95,73.18,65.42,59.97,39.24,86.48,Producer Manufacturing,Building Products,-0.44
145,PANW,95,522.96,500.13,469.93,311.56,598.96,Electronic Technology,Computer Communications,-1.05
28,CARG,95,35.05,33.87,32.12,22.63,50.03,Technology Services,Internet Software/Services,-1.43
12,APR,95,36.45,34.69,33.11,21.78,40.0,Health Services,Medical/Nursing Services,0.11
186,TSEM,95,40.37,35.23,33.34,24.81,47.5,Electronic Technology,Semiconductors,-0.3
60,CVX,95,135.78,115.75,111.92,92.86,174.76,Energy Minerals,Integrated Oil,0.05
